PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
VA5019370,STALLION RUN ESTATES,Region 3,Virginia,Community water system,35,,Bedford,5,8,20
VA6177005,LAKE COUNTRY MARINE GROUP - UPPER,Region 3,Virginia,Transient non-community system,50,,Spotsylvania,5,5,8
VA6177380,LAKE COUNTRY MARINE GROUP - LOWER,Region 3,Virginia,Transient non-community system,25,,Spotsylvania,4,1,3
VA6107240,"BEAUTIFUL SOUTH, THE",Region 3,Virginia,Transient non-community system,25,,Loudoun,5,59,10
VA3001065,BOJANGLE`S (ONLEY),Region 3,Virginia,Non-Transient non-community system,38,,Accomack,5,2,5
VA4119412,FISHING BAY TRACE,Region 3,Virginia,Transient non-community system,25,,Middlesex,4,8,7
VA2079600,"GDS HOLDINGS, LLC",Region 3,Virginia,Non-Transient non-community system,338,,Greene,7,25,25
VA5037100,CARDINAL HOMES INC,Region 3,Virginia,Non-Transient non-community system,50,,Charlotte,5,21,22
VA2069795,VDOT - WINCHESTER COMPLEX,Region 3,Virginia,Transient non-community system,42,,Frederick,4,10,18
VA4057710,TAPPAHANNOCK JR. ACADEMY,Region 3,Virginia,Non-Transient non-community system,80,,Essex,4,10,10
VA5089095,BLUE RIDGE AIRPORT,Region 3,Virginia,Transient non-community system,30,,Henry,4,1,13
VA4085133,CAMP HANOVER,Region 3,Virginia,Transient non-community system,212,,Hanover,8,17,14
VA6113136,GRAVES MOUNTAIN LODGE,Region 3,Virginia,Transient non-community system,370,,Madison,12,24,12
VA6113114,POPLAR MOTEL AT GRAVES MOUNTAIN LODGE,Region 3,Virginia,Transient non-community system,25,,Madison,5,4,6
VA6059641,POHICK BAY - COMFORT STATION #3,Region 3,Virginia,Transient non-community system,50,,Fairfax,6,9,8
VA6059635,POHICK BAY - POOL,Region 3,Virginia,Transient non-community system,200,,Fairfax,5,5,8
VA6059642,POHICK BAY - COMFORT STATION #2,Region 3,Virginia,Transient non-community system,50,,Fairfax,4,11,9
VA6059643,POHICK BAY - COMFORT STATION #1,Region 3,Virginia,Transient non-community system,100,,Fairfax,5,6,8
VA2163266,CAMP ROSS,Region 3,Virginia,Transient non-community system,30,,Rockbridge,5,1,9
VA2163261,CAMP OLMSTED,Region 3,Virginia,Transient non-community system,50,,Rockbridge,5,1,9
VA2163262,CAMP BOWMAN,Region 3,Virginia,Transient non-community system,30,,Rockbridge,7,2,11
VA2163263,CAMP PMI,Region 3,Virginia,Transient non-community system,40,,Rockbridge,5,1,9
VA2163264,CAMP MARRIOTT,Region 3,Virginia,Transient non-community system,40,,Rockbridge,5,1,9
