PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
WA53AB548,Cougar Campers,Region 10,Washington,Community water system,44,,Grant,1,1,2
WA53AB160,SOUTH BAY,Region 10,Washington,Non-Transient non-community system,114,,Thurston,2,6,2
WA5306972,Camp Beausite NW,Region 10,Washington,Transient non-community system,68,,Jefferson,2,4,2
WA5308154,ST JOHNS BAKERY,Region 10,Washington,Transient non-community system,143,,Klickitat,2,1,3
WA53AC014,VALLEY NUT & BOLT,Region 10,Washington,Non-Transient non-community system,25,,Thurston,1,33,2
WA5376658,SCHMID,Region 10,Washington,Community water system,35,,Kitsap,1,0,2
WA5329489,SOOS CREEK SALMON HATCHERY,Region 10,Washington,Transient non-community system,73,,King,6,5,2
WA5323661,WWW 1,Region 10,Washington,Transient non-community system,40,,Chelan,3,8,3
WA5380345,SLEEPY HOLLOW APTS,Region 10,Washington,Community water system,35,,Spokane,1,97,1
WA5337378,KACHESS COMMUNITY ASSOCIATION,Region 10,Washington,Transient non-community system,51,,Kittitas,2,13,2
WA53AB775,BRIDGE ROAD,Region 10,Washington,Community water system,25,,Clark,2,1,2
WA5307744,IGLESIA BETHEL,Region 10,Washington,Transient non-community system,197,,Adams,2,14,2
WA53AC445,Johnson Water System,Region 10,Washington,Transient non-community system,1,,Klickitat,1,9,1
WA53AC625,Country Christian Center,Region 10,Washington,Transient non-community system,25,,Franklin,2,6,2
WA53AC650,Alta Forest Products,Region 10,Washington,Non-Transient non-community system,25,,Mason,2,3,2
WA53AC535,Wet Planet Rafting,Region 10,Washington,Transient non-community system,25,,Klickitat,1,12,1
WA5325112,Cowlitz Family Health Center,Region 10,Washington,Transient non-community system,68,,Cowlitz,1,16,2
WA53AB720,SHELTON PRESBYTERIAN,Region 10,Washington,Transient non-community system,57,,Mason,1,1,2
WA5302498,DESERT CANYON DOMESTIC WATER SYSTEM,Region 10,Washington,Community water system,299,,Douglas,5,100,2
WA53AC376,Thompson Properties,Region 10,Washington,Transient non-community system,25,,Lewis,1,1,1
WA53AC383,Project Patch,Region 10,Washington,Transient non-community system,1,,Klickitat,1,12,3
WA53AC478,Operating Engineers Rgnl Training,Region 10,Washington,Transient non-community system,50,,Kittitas,1,1,2
WA53AC483,Breidablik Baptist Church,Region 10,Washington,Transient non-community system,25,,Kitsap,1,0,2
WA53NR510,LAKE SPOKANE CAMPGROUND,Region 10,Washington,Transient non-community system,390,,Stevens,1,0,2
WA5320527,MOUNTAIN VIEW ASSOCIATION,Region 10,Washington,Community water system,60,,Klickitat,1,23,2
WA53SP820,SOUTH WHIDBEY STATE PARK,Region 10,Washington,Transient non-community system,1203,,Island,3,4,2
WA53SP104,CAMA BEACH STATE PARK,Region 10,Washington,Transient non-community system,1210,,Island,2,1,2
WA53SP130,CAMANO ISLAND STATE PARK,Region 10,Washington,Transient non-community system,1718,,Island,5,13,2
