PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
WY5601424,BLACKWATER CREEK RANCH,Region 8,Wyoming,Transient non-community system,40,CODY,Park,5,25,5
WY5600979,MEDICINE LODGE ST HIST SITE,Region 8,Wyoming,Transient non-community system,115,HYATTVILLE,Big Horn,6,5,7
WY5600054,"SINCLAIR, TOWN OF",Region 8,Wyoming,Community water system,433,SINCLAIR,Carbon,7,20,15
WY5600041,PINEDALE MUNICIPAL WS,Region 8,Wyoming,Community water system,2030,PINEDALE,Sublette,11,58,21
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,Region 8,Wyoming,Community water system,58182,CHEYENNE,Laramie,59,9,11
WY5600370,DEVIL'S TOWER KOA-CAMPSTOOL CG,Region 8,Wyoming,Transient non-community system,250,DEVILS TOWER,Crook,6,19,8
WY5601487,MHVC SIXTH CROSSING RANCH RV PARK,Region 8,Wyoming,Transient non-community system,200,,Fremont,19,5,5
WY5601444,MHVC CHERRY CREEK CG,Region 8,Wyoming,Transient non-community system,25,ALCOVA,Natrona,6,4,4
WY5601445,MHVC JACKSON CG,Region 8,Wyoming,Transient non-community system,25,ALCOVA,Natrona,6,1,5
WY5601446,MHVC 66 RANCH,Region 8,Wyoming,Transient non-community system,96,ALCOVA,Natrona,15,2,6
WY5601431,MHVC VISITORS CENTER,Region 8,Wyoming,Transient non-community system,612,ALCOVA,Natrona,12,4,5
WY5601438,ROCK CREEK HOLLOW LDS CHURCH CG,Region 8,Wyoming,Transient non-community system,100,LANDER,Fremont,8,8,5
WY5601559,MHVC SAGE CG,Region 8,Wyoming,Transient non-community system,120,AFTON,Fremont,3,1,4
WY5601462,BURLINGTON RESOURCES,Region 8,Wyoming,Non-Transient non-community system,66,LYSITE,Fremont,11,13,4
WY5600422,OLD BALDY CLUB,Region 8,Wyoming,Community water system,117,SARATOGA,Carbon,7,10,10
WY5601561,ALTA SCHOOL,Region 8,Wyoming,Non-Transient non-community system,60,,Teton,6,2,3
WY5600904,KELLY SCHOOL (TCSD #1),Region 8,Wyoming,Non-Transient non-community system,100,KELLY,Teton,7,105,7
WY5601714,MUNGER MOUNTAIN ELEMENTARY SCHOOL,Region 8,Wyoming,Non-Transient non-community system,645,JACKSON,Teton,4,0,0
WY5600039,"PAVILLION, TOWN OF",Region 8,Wyoming,Community water system,240,PAVILLION,Fremont,19,12,11
WY5600209,HYATTVILLE S&I DISTRICT,Region 8,Wyoming,Community water system,66,HYATTVILLE,Big Horn,5,125,12
WY5601599,GRAY ROCK CONFERENCE CENTER,Region 8,Wyoming,Transient non-community system,50,GUERNSEY,Platte,7,3,3
