State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FID
Alabama,Baldwin,2010,274,188,80,6,0,0,0,150,71,43,0,0,192,82,0,20
Alabama,Clay,2010,113,79,34,0,0,0,0,86,60,42,0,0,0,113,0,65
Alabama,Colbert,2010,355,208,146,1,0,0,0,105,67,47,0,0,114,241,0,73
Alabama,DeKalb,2010,358,248,106,4,0,0,0,101,74,43,0,0,303,55,0,112
Alabama,Elmore,2010,241,181,55,5,0,0,0,112,71,43,0,0,241,0,0,118
Alabama,Etowah,2010,363,148,214,1,0,0,0,104,74,54,0,0,78,285,0,131
Alabama,Houston,2010,357,195,158,4,0,0,0,115,67,48,0,0,116,241,0,160
Alabama,Jefferson,2010,365,106,229,26,4,0,0,166,97,59,1,0,125,209,30,171
Alabama,Lawrence,2010,112,93,19,0,0,0,0,59,53,34,0,0,0,112,0,181
Alabama,Madison,2010,335,230,101,4,0,0,0,136,74,44,0,0,201,84,50,217
Alabama,Mobile,2010,363,270,85,8,0,0,0,140,71,40,0,0,205,70,88,240
Alabama,Montgomery,2010,364,186,172,6,0,0,0,129,70,50,0,0,105,258,1,256
Alabama,Morgan,2010,361,187,171,3,0,0,0,108,74,50,0,0,149,212,0,262
Alabama,Russell,2010,287,174,111,2,0,0,0,108,74,47,0,0,191,96,0,288
Alabama,Shelby,2010,278,175,96,5,2,0,0,156,80,46,0,0,207,71,0,298
Alabama,Sumter,2010,242,206,35,1,0,0,0,119,64,39,0,0,242,0,0,303
Alabama,Talladega,2010,117,64,53,0,0,0,0,76,62,48,0,0,0,117,0,306
Alabama,Tuscaloosa,2010,365,127,238,0,0,0,0,89,72,55,0,0,21,344,0,313
Alabama,Walker,2010,113,68,45,0,0,0,0,74,61,45,0,0,0,113,0,317
Alaska,Aleutians East,2010,102,102,0,0,0,0,0,34,17,8,0,0,0,102,0,346
Alaska,Anchorage,2010,365,295,68,2,0,0,0,127,59,32,17,0,112,172,64,400
Alaska,Denali,2010,363,363,0,0,0,0,0,49,44,33,0,0,363,0,0,426
Alaska,Fairbanks North Star,2010,355,222,98,27,8,0,0,172,99,36,2,0,0,353,0,454
Alaska,Juneau,2010,359,264,94,1,0,0,0,112,66,26,0,0,0,359,0,482
Alaska,Kenai Peninsula,2010,121,121,0,0,0,0,0,17,10,5,0,0,0,121,0,494
Alaska,Matanuska-Susitna,2010,317,295,19,3,0,0,0,118,45,13,0,0,0,306,11,556
Alaska,Yukon-Koyukuk,2010,115,114,1,0,0,0,0,79,19,5,0,0,0,115,0,753
Arizona,Apache,2010,360,360,0,0,0,0,0,45,24,14,0,0,0,45,315,761
Arizona,Cochise,2010,363,258,101,4,0,0,0,112,67,45,0,0,337,21,5,763
Arizona,Coconino,2010,363,237,122,4,0,0,0,136,74,46,0,0,343,6,14,771
Arizona,Gila,2010,362,237,122,3,0,0,0,136,77,44,0,0,190,4,168,787
Arizona,La Paz,2010,213,121,88,4,0,0,0,105,80,48,0,0,213,0,0,3
Arizona,Maricopa,2010,365,100,236,27,2,0,0,165,100,61,0,68,213,48,36,9
Arizona,Mohave,2010,118,118,0,0,0,0,0,38,26,14,0,0,0,65,53,15
Arizona,Navajo,2010,364,279,83,2,0,0,0,112,61,44,0,0,360,1,3,17
Arizona,Pima,2010,365,208,152,5,0,0,0,141,80,49,0,5,296,5,59,21
Arizona,Pinal,2010,365,90,234,39,0,0,2,1657,101,69,0,0,137,6,222,26
Arizona,Santa Cruz,2010,165,100,59,6,0,0,0,119,84,42,0,0,0,28,137,32
Arizona,Yavapai,2010,263,219,43,1,0,0,0,122,61,42,0,0,209,53,1,35
Arizona,Yuma,2010,358,261,89,8,0,0,0,147,80,40,0,0,188,14,156,42
Arkansas,Arkansas,2010,118,68,50,0,0,0,0,83,64,48,0,0,0,118,0,46
Arkansas,Ashley,2010,120,73,47,0,0,0,0,72,62,45,0,0,0,120,0,50
Arkansas,Clark,2010,359,310,45,4,0,0,0,126,58,35,0,0,359,0,0,86
Arkansas,Crittenden,2010,365,243,106,14,2,0,0,164,80,42,0,47,256,62,0,119
Arkansas,Faulkner,2010,120,71,49,0,0,0,0,78,60,45,0,0,0,120,0,141
Arkansas,Garland,2010,121,71,50,0,0,0,0,72,62,45,0,0,0,121,0,151
Arkansas,Jackson,2010,120,72,48,0,0,0,0,90,63,44,0,0,0,120,0,209
Arkansas,Newton,2010,365,291,72,2,0,0,0,105,64,39,0,0,342,23,0,311
Arkansas,Phillips,2010,120,64,56,0,0,0,0,75,62,46,0,0,0,120,0,322
Arkansas,Polk,2010,362,245,108,9,0,0,0,136,74,43,0,0,306,56,0,337
Arkansas,Pope,2010,119,73,46,0,0,0,0,93,60,44,0,0,0,119,0,340
Arkansas,Pulaski,2010,365,142,215,8,0,0,0,133,80,55,0,3,137,225,0,350
Arkansas,Sebastian,2010,110,66,44,0,0,0,0,84,64,46,0,0,0,110,0,378
Arkansas,Union,2010,120,67,53,0,0,0,0,95,62,47,0,0,0,120,0,403
Arkansas,Van Buren,2010,174,163,11,0,0,0,0,93,45,31,0,0,174,0,0,407
Arkansas,Washington,2010,365,276,88,1,0,0,0,112,65,40,0,0,302,63,0,417
Arkansas,White,2010,117,60,57,0,0,0,0,89,62,48,0,0,0,117,0,428
California,Alameda,2010,365,245,115,4,1,0,0,179,68,43,0,30,137,198,0,457
California,Amador,2010,361,302,48,10,1,0,0,151,64,35,0,0,361,0,0,472
California,Butte,2010,365,208,144,13,0,0,0,126,84,47,0,0,264,101,0,486
California,Calaveras,2010,365,271,81,12,1,0,0,154,84,41,0,0,311,54,0,489
California,Colusa,2010,353,322,30,1,0,0,0,119,49,38,0,0,306,42,5,497
California,Contra Costa,2010,365,307,49,8,1,0,0,154,64,39,0,11,289,63,2,503
California,Del Norte,2010,110,109,1,0,0,0,0,52,26,12,0,0,0,65,45,511
California,El Dorado,2010,365,251,89,23,2,0,0,192,93,42,0,0,365,0,0,522
California,Fresno,2010,365,99,179,65,21,1,0,209,130,70,0,1,211,153,0,527
California,Glenn,2010,365,279,86,0,0,0,0,91,58,42,0,0,250,114,1,537
California,Humboldt,2010,365,358,7,0,0,0,0,71,39,29,5,6,316,35,3,551
California,Imperial,2010,365,163,151,51,0,0,0,140,108,53,1,53,265,42,4,557
California,Inyo,2010,365,248,86,13,1,6,11,4466,93,44,0,0,259,31,75,562
California,Kern,2010,365,80,160,85,38,2,0,202,151,79,0,1,220,140,4,84
California,Kings,2010,365,66,216,65,15,3,0,208,129,70,0,1,151,211,2,94
California,Lake,2010,361,356,5,0,0,0,0,74,44,35,0,0,360,1,0,100
California,Los Angeles,2010,365,32,219,99,15,0,0,200,138,76,0,39,170,155,1,139
California,Madera,2010,364,215,121,18,9,1,0,201,90,46,0,21,268,73,2,153
California,Marin,2010,365,270,91,4,0,0,0,128,58,38,0,18,103,244,0,168
California,Mariposa,2010,365,197,142,23,3,0,0,187,93,49,0,0,311,52,2,178
California,Mendocino,2010,361,315,46,0,0,0,0,72,52,34,0,0,83,225,53,190
California,Merced,2010,365,149,177,33,6,0,0,177,101,55,0,3,194,165,3,204
California,Mono,2010,365,308,35,4,5,1,12,4240,61,18,0,0,0,12,353,214
California,Monterey,2010,365,336,29,0,0,0,0,100,48,36,0,3,269,91,2,228
California,Napa,2010,365,293,70,1,1,0,0,159,60,39,0,3,184,178,0,236
California,Nevada,2010,365,251,92,21,1,0,0,154,90,44,0,1,346,18,0,243
California,Orange,2010,365,118,239,7,1,0,0,177,80,56,0,22,100,243,0,257
California,Placer,2010,365,186,149,26,4,0,0,200,97,50,0,6,229,130,0,266
California,Plumas,2010,124,85,36,3,0,0,0,110,75,33,0,0,0,124,0,275
California,Riverside,2010,365,31,188,95,48,3,0,217,156,87,0,6,193,135,31,281
California,Sacramento,2010,365,202,135,20,7,1,0,207,97,49,0,14,228,122,1,289
California,San Benito,2010,365,310,48,7,0,0,0,126,58,40,0,0,332,33,0,295
California,San Bernardino,2010,365,37,193,80,48,7,0,219,164,81,0,11,229,125,0,302
California,San Diego,2010,365,89,251,21,4,0,0,181,93,61,0,42,172,148,3,315
California,San Francisco,2010,365,249,113,3,0,0,0,125,67,40,0,51,96,217,1,331
California,San Joaquin,2010,365,225,127,12,1,0,0,174,81,45,0,20,196,149,0,339
California,San Luis Obispo,2010,365,179,152,33,1,0,0,161,97,51,0,0,258,66,41,351
California,San Mateo,2010,362,295,65,2,0,0,0,122,56,35,2,23,165,172,0,368
California,Santa Barbara,2010,365,281,77,7,0,0,0,143,65,44,0,1,299,64,1,391
California,Santa Clara,2010,365,259,94,10,2,0,0,164,66,42,0,20,172,173,0,406
California,Santa Cruz,2010,365,353,12,0,0,0,0,95,44,34,0,0,241,124,0,415
California,Shasta,2010,365,279,71,15,0,0,0,119,84,43,0,0,354,11,0,431
California,Siskiyou,2010,361,352,9,0,0,0,0,90,44,33,0,0,352,8,1,446
California,Solano,2010,365,281,80,4,0,0,0,136,64,39,0,21,225,119,0,453
California,Sonoma,2010,365,317,48,0,0,0,0,93,53,32,0,8,182,174,1,463
California,Stanislaus,2010,365,166,161,32,6,0,0,177,102,53,0,0,216,149,0,473
California,Sutter,2010,365,234,127,3,1,0,0,170,69,44,0,15,168,182,0,483
California,Tehama,2010,365,186,161,18,0,0,0,136,90,50,0,0,214,150,1,492
California,Trinity,2010,122,122,0,0,0,0,0,35,21,10,0,0,0,84,38,500
California,Tulare,2010,365,100,153,78,34,0,0,197,150,69,0,1,219,144,1,501
California,Tuolumne,2010,365,274,83,8,0,0,0,147,80,41,0,0,365,0,0,513
California,Ventura,2010,365,222,125,14,4,0,0,161,87,47,0,11,322,32,0,521
California,Yolo,2010,362,301,58,3,0,0,0,109,57,38,0,9,275,74,4,525
Colorado,Adams,2010,363,284,79,0,0,0,0,93,58,43,0,75,149,52,87,545
Colorado,Alamosa,2010,355,337,14,2,2,0,0,166,41,20,0,0,0,6,349,549
Colorado,Arapahoe,2010,365,222,136,7,0,0,0,122,80,47,0,0,355,10,0,558
Colorado,Archuleta,2010,310,298,7,4,1,0,0,198,33,17,0,0,0,0,310,560
Colorado,Boulder,2010,365,235,118,12,0,0,0,143,77,45,5,0,333,25,2,570
Colorado,Chaffee,2010,128,70,55,3,0,0,0,101,77,50,0,0,128,0,0,582
Colorado,Clear Creek,2010,105,4,78,21,2,0,0,161,115,74,0,0,105,0,0,591
Colorado,Delta,2010,115,111,4,0,0,0,0,86,32,19,0,0,0,0,115,617
Colorado,Denver,2010,365,209,153,3,0,0,0,108,74,49,0,145,156,58,6,628
Colorado,Douglas,2010,354,237,104,13,0,0,0,136,80,45,0,0,338,16,0,644
Colorado,El Paso,2010,365,260,101,3,1,0,0,151,74,45,0,0,353,11,1,661
Colorado,Elbert,2010,59,58,1,0,0,0,0,54,29,17,0,0,0,59,0,655
Colorado,Fremont,2010,54,54,0,0,0,0,0,29,22,14,0,0,0,0,54,664
Colorado,Garfield,2010,365,167,188,10,0,0,0,150,84,51,0,0,364,0,1,667
Colorado,Gunnison,2010,365,308,55,2,0,0,0,129,57,42,0,0,299,0,66,682
Colorado,Jackson,2010,111,111,0,0,0,0,0,35,12,7,0,0,0,111,0,701
Colorado,Jefferson,2010,365,233,106,26,0,0,0,143,93,46,0,0,365,0,0,706
Colorado,La Plata,2010,365,222,133,9,1,0,0,183,80,48,0,8,352,1,4,727
Colorado,Larimer,2010,365,170,174,21,0,0,0,140,90,51,0,0,357,8,0,734
Colorado,Mesa,2010,365,227,132,6,0,0,0,120,74,47,2,0,310,31,22,751
Colorado,Montezuma,2010,365,271,93,1,0,0,0,122,64,46,0,0,356,9,0,766
Colorado,Park,2010,191,93,93,5,0,0,0,133,84,51,0,0,191,0,0,782
Colorado,Pitkin,2010,362,214,142,5,1,0,0,164,77,49,0,0,360,0,2,789
Colorado,Prowers,2010,365,341,24,0,0,0,0,91,44,24,0,0,0,0,365,792
Colorado,Pueblo,2010,142,134,8,0,0,0,0,66,39,24,0,0,0,111,31,795
Colorado,Rio Blanco,2010,351,267,82,2,0,0,0,108,61,45,0,2,336,13,0,799
Colorado,Routt,2010,351,331,20,0,0,0,0,73,37,16,0,0,0,0,351,809
Colorado,San Juan,2010,119,117,2,0,0,0,0,84,17,8,0,0,0,119,0,347
Colorado,San Miguel,2010,147,129,17,0,1,0,0,200,54,19,0,0,47,0,100,359
Colorado,Summit,2010,312,311,1,0,0,0,0,63,25,12,0,0,0,0,312,373
