NAME,STREET,CITY,STATE,ZIP,AFFILIATION,RULING,FOUNDATION,ACTIVITY,ORGANIZATION,x,y
MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,454 ESSEX ST,LAWRENCE,MA,1840,3,200401,10,0,1,-7922044.883133859,5267360.843998927
CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,569 BROADWAY,NEWARK,NJ,7104,3,197912,10,1000000,1,-8255767.46951269,4978466.1253188085
GENERAL COUNCIL OF ASSEMBLIES OF GOD FULL GOSPEL TABERNACLE,3210 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127,9,196408,10,29002000,5,-8766166.778202394,5281356.921423744
THE BIBLE SPEAKS,27 W CENTRAL ST,NATICK,MA,1760,3,197407,10,29000000,1,-7942578.319808135,5203550.001428064
IGLESIA BETHESDA INC,157 ANDOVER ST,LOWELL,MA,1852,3,200401,10,0,1,-7936984.960673735,5257640.952931041
PALMER SECOND BAPTIST CHURCH,1050 THORNDIKE ST,PALMER,MA,1069,9,195504,10,1000000,5,-8051614.425206257,5184967.420651091
MERCY CHAPEL INTERNATIONAL,75 MORTON VILLAGE DR APT 408,MATTAPAN,MA,2126,3,200404,10,0,1,-7913162.589643974,5203074.235167102
BETHANY PRESBYTERIAN CHURCH,32 HARVARD ST,BROOKLINE,MA,2445,3,200504,10,0,1,-7916942.554273349,5211198.339997624
TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC,PO BOX 102,DEERFIELD ST,NJ,8313,3,200308,10,0,1,-8375242.782798932,4796997.606273607
IMMANUEL CHRISTIAN FELLOWSHIP,562 WINGATE DR,EAST MEADOW,NY,11554,3,200210,10,0,1,-8185142.822329732,4969676.969748781
CENTER HEART INC,508 MOUNT LUCAS RD,PRINCETON,NJ,8540,3,200410,10,0,1,-8310793.36172875,4920991.313454466
BOSTON CHURCH FOR MISSION KMC,30 GORDON ST,ALLSTON,MA,2134,3,200310,10,0,1,-7919299.85581039,5213954.21835102
NEW CITY GATEWAY COMMUNITY INC,8 ZOAR AVE,ALBANY,NY,12209,3,200207,10,0,1,-8214152.904269441,5257194.535742108
HEARTFELT RESOURCES INC,309 EGOLF DR,RAHWAY,NJ,7065,3,200609,15,0,1,-8268122.597156856,4955826.2365931105
HOLY RENAISSANCE MINISTRIES,1205 BROAD ST,SOMERSET,NJ,8873,3,200207,10,0,1,-8299970.658194847,4943812.855507675
LUBAVITCH CHABAD OF WESTBOROUGH INC,54 SOUTH ST,WESTBOROUGH,MA,1581,3,200210,10,0,1,-7971812.710521789,5201138.01348342
BEIT HAMIQRA MISSION,15402 41ST AVE,FLUSHING,NY,11354,3,200805,10,0,1,-8216596.701050826,4977447.2583869295
CONG BAIS MAYER VYESSHAYA,5110 19TH AVE,BROOKLYN,NY,11204,3,200206,10,0,1,-8235417.376039758,4957276.98704265
I AM MINISTRIES AKA GLORY INTERNATIONAL CHRISTIAN CENTER,70 PARKVIEW LOOP,STATEN ISLAND,NY,10314,3,200307,10,0,1,-8255014.3931574775,4954882.748121381
IGLESIA ARCA DE SALVACION INC,90 MAIN ST STE 309,HACKENSACK,NJ,7601,3,201412,10,0,1,-8242524.457609959,4994799.409602188
GREAT COMMISSION CHURCH,618 WYONA ST,BROOKLYN,NY,11207,3,200412,10,0,1,-8225480.219055113,4962797.434738142
VICTORY FAMILY WORSHIP CENTER APOSTOLIC,3328 KINGSLAND AVE,BRONX,NY,10469,3,200304,10,0,1,-8220253.323684404,4994081.522183778
NORTH DANVILLE BAPTIST CHURCH,1767 N DANVILLE RD,DANVILLE,VT,5828,9,195504,10,1000000,5,-8022179.659409175,5535245.044126088
CONG-YESHIVA & KOLLEL ZICHRON ELIMELACH INC,3 LINDERMAN LN,MONSEY,NY,10952,1,200303,10,0,1,-8244561.270333005,5030956.702823685
WESLEYAN CHAPEL,1 MIDDLEBROOK RD RT 7,FERRISBURG,VT,5456,9,0,10,0,0,-8153722.2281363895,5497318.928710496
ANOINTED FIRE CHURCH,777 WASHINGTON ST,DORCHESTER,MA,2124,3,201003,10,0,1,-7911655.3237386355,5203675.642613749
IGLESIA EVANGELICA PUERTA DE PAZ,10610 154TH ST,JAMAICA,NY,11433,3,200208,10,0,1,-8215335.78517861,4967598.887805621
JESUS CHRIST IN ACTION EVANGELICAL ASSEMBLY INTL MINISTRIES INC,1329 E 36TH ST,BROOKLYN,NY,11234,3,200207,10,0,1,-8230921.627084578,4956377.0623540925
CIRCLES OF MERCY INC,11 WASHINGTON ST,RENSSELAER,NY,12144,9,194603,10,31150120,5,-8209481.381838301,5256892.346017373
CATHEDRAL OF SOLID ROCK GOSPEL ASSEMBLY INC,8929 163RD ST APT 6J,JAMAICA,NY,11432,3,200209,10,0,1,-8215128.396967261,4969113.940966569
HEALING FELLOWSHIP OF THE UNIFIED MOTHER-FATHER,425 NEW YORK AVE STE 207,HUNTINGTON,NY,11743,3,200305,10,0,1,-8173739.031053888,4992962.394647492
FRIENDSHIP FAMILY WORSHIP CENTER INC,PO BOX 781,MAYS LANDING,NJ,8330,3,200202,10,0,1,-8318700.94175725,4787271.815172944
PENTECOSTAL CHURCH GOD IS REAL,PO BOX 206,BRONX,NY,10463,3,200212,10,0,1,-8226928.040352367,4994668.224831075
WEST HAVEN CHURCH OF CHRIST INC,PO BOX 4416,HAMDEN,CT,6514,3,200409,10,0,1,-8117703.693695313,5067475.23772429
THE WESTPORT MISSION OF THE HOLY SPIRIT OF EUGENE RICHER DIT LAFLEC,34 LAUREL ST,FALL RIVER,MA,2724,3,200207,10,0,1,-7922015.828746767,5113546.144486423
NEW HORIZONS COMMUNITY CENTER OF MID-HUDSON VALLEY INC,1090 RT 376 2ND FLR,WAPPINGERS FALLS,NY,12590,3,200210,10,0,1,-8220667.654829134,5102438.671837508
LOWELL CAMBODIAN CHRISTIAN CHURCH,225 STEDMAN ST STE 33,LOWELL,MA,1851,3,200210,10,0,1,-7942855.839298684,5254769.8764392985
JOURNEY NYC,321 W 44TH ST 2ND FL STE 203A,NEW YORK,NY,10036,3,200401,10,0,1,-8236522.555944353,4976861.443322265
DEVINE HEALERS CHURCH,PO BOX 1153,MAPLEWOOD,NJ,7040,3,200502,10,0,0,-8266259.442839446,4971694.535482295
BIAS YAAKOV COUNCIL INC,PO BOX 1605,LAKEWOOD,NJ,8701,3,200206,10,0,1,-8261602.614581091,4879950.873711371
ASSEMBLEIA DE DEUS VIDA INC,PO BOX 2284,ELIZABETH,NJ,7207,3,200312,10,0,1,-8261679.981627194,4963781.313169952
PRIMERA IGLESIA BAUTISTA INC,PO BOX 341249,HARTFORD,CT,6134,3,200304,10,0,1,-8091032.434257177,5122561.135204585
FAITH BASED FELLOWSHIP,PO BOX 300,BUFFALO,NY,14215,3,200304,10,0,1,-8772037.322868872,5303040.003523744
KHAL TZETZOVITZ,PO BOX 50226,BROOKLYN,NY,11205,3,200204,10,0,1,-8233385.238735325,4967080.61083258
HOLY OF HOLIES CHURCH,2225 PARKHURST RD,ELMONT,NY,11003,3,200206,10,0,1,-8206810.938573664,4967964.781456933
MISSION OF MOUNT OLIVES CHURCH OF GOD INC,1248 RALPH AVE,BROOKLYN,NY,11236,3,200408,10,0,1,-8228746.555553968,4960221.67966009
WATERBURY CHRISTIAN FELLOWSHIP,26 DUBE LN # 1,WATERBURY,CT,6705,3,200303,10,0,1,-8128167.503190899,5093838.6609402085
BNOS RIVKA INC,1115 CROSS ST,LAKEWOOD,NJ,8701,3,200211,10,0,1,-8265939.844581381,4877478.89569085
KHAL CHASEDEI LEL0V,1693 49TH ST,BROOKLYN,NY,11204,3,200210,10,0,1,-8235770.592784045,4957871.311189484
ABBAS HOUSE OF PRAYER INC,57SPRUCEST,WESTERLY,RI,2891,3,200403,15,0,1,-7995874.418456759,5068586.975025422
FAITH APOSTOLIC GOSPEL TEMPLE,3956 BRONXWOOD AVE,BRONX,NY,10466,3,200307,10,0,1,-8221494.6473262375,4995469.6426360365
CONG CHESED LEYISROEL,111 LEE AVE,BROOKLYN,NY,11211,3,200210,10,0,1,-8233024.786224135,4968851.675192923
NORTHEAST COMMUNITY CHURCH INC,185 EAST AVE,NORWALK,CT,6855,3,200302,10,0,1,-8171464.996495964,5028188.977663891
GLORIOUS TEMPLE CHURCH OF GOD IN CHRIST,470 LAFAYETTE AVE,BROOKLYN,NY,11205,9,196901,10,0,5,-8232788.566264674,4966614.1850327365
UNION GOSPEL TABERNACLE OF NEWARK INC,PO BOX 3245,NEWARK,NJ,7103,3,200209,10,0,1,-8259731.890538313,4973605.122382028
KEREN MARBE CHCHME,PO BOX 50226,BROOKLYN,NY,11205,3,200204,10,0,1,-8233385.238735325,4967080.61083258
HOUSE OF ESTHER DIVINE MINISTRIES INC,111 04 223 ST,QUEENS VILLAGE,NY,11429,3,200407,10,0,1,-8208026.102135165,4969063.278776885
CONG GEMILAS CHESED OF BEIS LEIVY VSHEINDEL,199 LEE AVE PMB 221,BROOKLYN,NY,11211,3,200205,10,0,1,-8232724.334918483,4968493.530773376
WORSHIP CENTER INTERNATIONAL,40-45TH ST,COPIAGUE,NY,11726,3,200304,10,0,1,-8171512.6412380235,4968280.618002578
VOICE OF ENDTIME DELIVERANCE MIN,PO BOX 102,PEEKSKILL,NY,10566,9,199112,10,1000000,1,-8228441.317510212,5055405.6875244295
BRIDGESTONES INTERNATIONAL INC,155 KENSINGTON CT,COPIAGUE,NY,11726,3,201408,15,0,1,-8170047.899378163,4964453.97075823
FAMILY LIFE WORSHIP CENTER INC,1010 FRONT ST,UNIONDALE,NY,11553,3,200210,10,0,1,-8192351.872553509,4969580.192280681
LAKEWOOD OUTREACH MINISTRY CHURCH,1331 VENTURA DR,LAKEWOOD,NJ,8701,3,200208,10,0,1,-8255741.9773493,4881399.513443103
TABERNACLE OF NEW HOPE,3 MORRIS AVE,SCHENECTADY,NY,12308,3,200701,10,0,1,-8229104.670355851,5283290.711405429
CHURCH OF GOD OF THE GREAT COMMISSION,114 CONKLIN AVE,BROOKLYN,NY,11236,9,195105,10,0,5,-8226895.201102584,4959813.676727578
KANG EUN PRESBYTERIAN CHURCH,18 ENGLE ST APT 9D,TENAFLY,NJ,7670,3,200209,10,0,1,-8233674.558091895,4999104.604622256
IMMANUEL NEW YORK CHURCH,38 W 32ND ST STE 300,NEW YORK,NY,10001,3,200307,10,0,1,-8236233.347907268,4975226.902290064
CHRIST CHURCH INC,16 TOWN LINE RD,WOLCOTT,CT,6716,3,200403,10,0,1,-8126075.476000425,5097258.695333693
CONG MESIVTA,199 LEE AVE PMB 221,BROOKLYN,NY,11211,3,200209,10,0,1,-8232724.334918483,4968493.530773376
SANTISUKHA BUDDHIST MEDITATION CENTER INC,82 SEMEL AVE,GARFIELD,NJ,7026,3,200305,10,0,1,-8250844.253712869,4995223.600505958
IGLESIA PENTECOSTAL CAMINO DE SANTIDAD,PO BOX 102,BUFFALO,NY,14213,3,200307,10,0,1,-8781980.379786527,5299754.303866147
YO INC,20 DORCAR RD,NEWTON,MA,2467,3,200503,10,0,1,-7923040.190701041,5206443.631930781
CALVARY CHAPEL OF ORANGE COUNTY INC,PO BOX 1009,GOSHEN,NY,10924,3,200709,10,0,1,-8273642.151468858,5071550.008228767
GLAD TIDINGS CHRISTIAN FELLOWSHIP CORP,58 WILLETS DR,SYOSSET,NY,11791,3,200211,10,0,1,-8182851.978528697,4985138.568247234
GREATER DELIVERANCE CHURCH,46 VANCE AVE,SICKLERVILLE,NJ,8081,3,200304,10,0,1,-8350459.724563628,4830341.040177891
DDMBA NJ INC,56 VINEYARD RD,EDISON,NJ,8817,3,200405,10,0,1,-8279595.851794958,4941726.046964492
IGLESIA DE LA ALABANZA DEL SENOR JESUCRISTO INC,238 E 174TH ST,BRONX,NY,10457,3,200505,10,0,1,-8227314.430304916,4989460.835327069
IGLESIA PENTECOSTAL DE JESUCRISTO ARBOL DE VIDA,5010 3RD AVE,BROOKLYN,NY,11220,3,200310,10,0,1,-8239310.218632797,4960495.451676382
BROTHERHOOD AWARENESS SOCIETY INC,PO BOX 597,DEER PARK,NY,11729,3,200306,10,0,1,-8162508.118947245,4976660.2520226985
RESURRECTION COMMUNITY CHURCH,200 ATRIUM DR,SOMERSET,NJ,8873,3,200212,10,0,1,-8295506.746614037,4944057.021621555
ZICHRON YOEL,5 JULIANA PL,BROOKLYN,NY,11211,3,200209,10,0,1,-8233764.949518418,4969035.818511277
APOSTOLIC FAITH CHURCH INC,900 PROSPECT AVE,BRONX,NY,10459,3,200412,10,0,1,-8226620.5759188,4985987.746465881
BISHOP MEMORIAL MISSION INC,127 EMERSON PL,BROOKLYN,NY,11205,3,200304,10,0,1,-8233424.31187659,4967258.260752991
PREVAILING ROCK CHURCH INC,191 WOODPORT RD STE 205,SPARTA,NJ,7871,3,200504,10,0,1,-8307837.717928699,5015977.770722408
IGLESIA PENTECOSTAL FAMILIA DE DIOS,400 W MAIN ST,RIVERHEAD,NY,11901,9,196408,10,1002029,5,-8089548.100166933,5000281.891444579
CEDAR INTERNATIONAL FELLOWSHIP INC,PO BOX 120162,BROOKLYN,NY,11212,3,200605,10,0,1,-8228745.553678554,4962437.897634684
BETH MIDRASH HAFATSATH TORAH,123 UNION AVE,BROOKLYN,NY,11206,3,200207,10,0,1,-8232103.8400767995,4968783.980634064
REVIVALIST CELESTIAL CHURCH OF CHRIST,PO BOX 3531,NEWARK,NJ,7103,3,200607,10,0,1,-8259731.890538313,4973605.122382028
AMERICAN ECUMENICAL CATHOLIC CHURCH INC,30 WOODLAND STREET UNIT 10-D,HARTFORD,CT,6105,3,200209,15,0,1,-8093127.1331154285,5126493.058001018
AMERICAN ECUMENICAL CATHOLIC CHURCH DIOCESE OF CONNECTICUT INC,30 WOODLAND ST U 10D,HARTFORD,CT,6105,3,200301,10,0,1,-8093127.1331154285,5126493.058001018
LIVING FAITH CHRISTIAN ACADEMY INC,2323 RTE 73,PENNSAUKEN,NJ,8110,3,200304,11,0,0,-8351326.792077417,4864070.624203367
CHRISTIAN CHURCH SION INC,1094 E 165TH ST APT 2A,BRONX,NY,10459,3,200310,10,0,1,-8225382.703181178,4986577.051630748
GREATER UNITED CHURCH OF FAITH,PO BOX 34,BUFFALO,NY,14209,3,200603,10,0,1,-8779434.725671064,5298075.181902794
FULTON CHRISTIAN FELLOWSHIP,194 WINKS RD,CENTRAL SQ,NY,13036,3,200211,10,0,1,-8487591.644923573,5365240.845204605
IMOLE ADINI ISLAMIC SOCIETY OF NEW YORK INC,314 E 170TH ST,BRONX,NY,10456,3,200812,10,0,1,-8227620.447585106,4988363.425715354
AGAPE SEVENTH-DAY ADVENTIST CHURCH OF RICHMOND HILL NEW YORK,9725 LEFFERTS BLVD,S RICHMOND HL,NY,11419,9,194704,10,211029000,5,-8218316.587183581,4966847.028119655
COMMUNITY FRIENDLY SECOND BAPTIST CHURCH INC-OUTREACH PROGRAM,12327 MONTAUK ST,SPRNGFLD GDNS,NY,11413,3,200609,10,0,1,-8210734.8393046325,4965369.90443811
FAITH CHRISTIAN FELLOWSHIP OF WOLCOTT CT INC,PO BOX 6077,WOLCOTT,CT,6716,9,198001,10,1000000,5,-8126861.057646952,5102595.445313022
CONGREGATION UVLECHTECHU BADERECH,26 QUICKWAY RD UNIT 106,MONROE,NY,10950,3,200305,10,0,1,-8256555.50018802,5062132.111081797
CONG ICHUD WALLABOUT INC,199 LEE AVE PMB 221,BROOKLYN,NY,11211,3,200302,10,0,1,-8232724.334918483,4968493.530773376
ICHUD EZRAS NESIEN,199 LEE ST PMB 221,BROOKLYN,NY,11211,3,200301,10,0,1,-8232719.548180379,4968488.391445015
FAITH BAPTIST CHURCH OF CAMDEN NEW JERSEY INC,502 S BROADWAY,CAMDEN,NJ,8103,3,200305,10,0,1,-8362242.892664093,4857087.543512644
MOUNTAIN TOP ASSEMBLY OF GOD CHURCH,197 STATE ROUTE 18 STE 260,E BRUNSWICK,NJ,8816,9,196408,10,1002029,5,-8281663.945294914,4930792.381246328
CHURCH OF GOD IN CHRIST,2 OTISFIELD ST,DORCHESTER,MA,2121,9,196901,10,0,1,-7912694.157226714,5207996.907337363
IYS LLEDES,PO BOX 50226,BROOKLYN,NY,11205,3,200210,10,0,1,-8233385.238735325,4967080.61083258
MINISTERIO DE MESIONES LOS DEL CAMINO,239 AMPERE PKWY,BLOOMFIELD,NJ,7003,3,200304,10,0,1,-8258854.358992389,4979114.510435901
CHABAD OF COLLEGE HILL INC,12 OLIVE ST,PROVIDENCE,RI,2906,3,200307,10,0,1,-7948641.781152152,5135289.435020757
CATHOLIC INSTITUTE OF DISCIPLESHIP CORP,3 AYER PL,RUTHERFORD,NJ,7070,3,200401,15,0,1,-8249130.490152106,4987529.782999556
AVENUE OF HOPE CHURCH INC,3355 UNION ST,NORTH CHILI,NY,14514,3,200301,10,0,1,-8661075.835557986,5329273.146335707
MOUNT ZION ASSEMBLY OF GOD,16 WORTH RD,NEPTUNE,NJ,7753,9,196408,10,1002029,5,-8245736.247558329,4899794.74786083
HOPE CHURCH,PO BOX 30376,STATEN ISLAND,NY,10303,3,200402,10,0,1,-8255252.728187265,4957929.982853603
ME-OR HATORAH INC,1506 CANTERBURY RD,LAKEWOOD,NJ,8701,3,200305,10,0,1,-8263551.5962259015,4881458.3134234715
MIRACLE CHRISTIAN CENTER OF PHILADELPHIA,170 N 21ST ST,WHEATLEY HTS,NY,11798,3,200404,10,0,1,-8167394.59931511,4976917.436670793
ONE NATION UNDER GOD DELIVERANCE FOUNDATION,320 WALNUT ST,YONKERS,NY,10701,3,200306,10,0,1,-8225098.61584067,5002456.386803967
CHASDEI TOVIM MEOROS INC,174 BROADWAY PMB 509,BROOKLYN,NY,11211,3,200309,10,0,1,-8233483.422526203,4969660.962483851
AGUDAS CHAVEIRIM DARCEL YOSHER,1454 42ND ST STE 4A,BROOKLYN,NY,11219,3,200301,10,0,2,-8235931.004170278,4958921.733835793
CANEADEA HILLS COMMUNITY CHURCH,6878 HALVORSEN RD,PORTAGEVILLE,NY,14536,3,200309,10,0,5,-8690561.140403895,5247161.33122955
NEW BEGINNINGS CHURCH OF GOD IN CHRIST,21 PERSHING ST,HAMDEN,CT,6514,9,196901,10,1000000,5,-8118312.611309954,5064816.87424978
LIVING LOVE MINISTRIES INTERNATIONAL INC,769 ARNOW AVE,BRONX,NY,10467,9,198309,10,1000000,1,-8222577.563332679,4992873.187958213
GETHESMANE CHURCH OF GOD IN CHRIST,76 WALCOTT AVE,INWOOD,NY,11096,9,196901,10,1000000,5,-8209719.605548599,4955489.245046369
ROTTERDAM HOUSING DEVELOPMENT FUND COMPANY INC,3151 MARRA LANE,ROTTERDAM,NY,12303,9,194603,16,31150120,5,-8230797.728491323,5275531.55820092
