State,County,Total Households,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,Total Vehicles,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,"FID"
Alabama,Autauga,21559,4.02,5.74,22.11,34.65,27.65,4.43,1.4,21559,5.41,30.76,35.87,27.95,5
Alabama,Baldwin,84047,8.09,4.83,25.78,38.53,16.15,4.58,2.03,84047,3.13,31.35,42.77,22.76,20
Alabama,Barbour,9322,1.1,2.7,8.18,37.79,29.3,13.02,7.9,9322,11.15,33.8,33.08,21.97,25
Alabama,Bibb,7259,3.47,1.42,15.9,32.83,29.36,11.35,5.68,7259,6.63,30.03,32.98,30.36,29
Alabama,Blount,21205,2.54,2.55,20.88,35.96,25.57,8.17,4.32,21205,5.08,25.47,32.64,36.82,33
Alabama,Bullock,3429,2.19,5.31,12.16,46.54,20.12,9.51,4.17,3429,12.19,34.5,26.57,26.74,37
Alabama,Butler,6649,1.38,1.16,8.39,40.34,28.49,12.62,7.63,6649,5.4,31.28,33.21,30.11,39
Alabama,Calhoun,44572,2.29,2.35,12.54,30.21,31.45,16.11,5.05,44572,5.09,31.05,37.37,26.49,43
Alabama,Chambers,13582,1.86,2.19,13.37,27.12,30.89,12.47,12.12,13582,7.36,30.05,34.58,28.0,47
Alabama,Cherokee,10836,2.08,2.98,20.29,38.15,24.25,8.91,3.33,10836,3.17,25.1,40.04,31.69,51
Alabama,Chilton,17140,5.09,2.69,17.33,32.63,27.23,8.81,6.21,17140,3.86,27.95,38.83,29.36,56
Alabama,Choctaw,5330,0.9,2.29,11.48,37.43,32.38,13.3,2.21,5330,6.87,31.24,31.82,30.08,58
Alabama,Clarke,9323,1.03,1.66,13.77,41.52,28.55,8.67,4.79,9323,8.8,29.97,34.14,27.09,61
Alabama,Clay,5153,3.86,2.56,9.1,33.75,27.73,12.42,10.58,5153,5.57,26.2,31.26,36.97,65
Alabama,Cleburne,5835,2.74,3.8,17.0,35.63,22.72,12.68,5.42,5835,6.07,27.47,33.56,32.9,67
Alabama,Coffee,19951,3.92,4.2,18.5,29.21,30.8,10.26,3.13,19951,5.24,28.2,36.92,29.64,70
Alabama,Colbert,21797,3.19,3.73,14.19,24.11,34.91,13.19,6.69,21797,4.88,31.58,37.8,25.73,73
Alabama,Conecuh,4585,0.96,1.77,7.79,55.14,23.4,8.46,2.49,4585,9.53,36.73,33.04,20.7,80
Alabama,Coosa,4016,2.24,1.07,14.44,40.89,24.68,10.78,5.9,4016,2.24,27.49,41.01,29.26,82
Alabama,Covington,14995,1.93,2.9,9.8,39.17,26.3,12.65,7.24,14995,6.09,31.68,38.33,23.91,88
Alabama,Crenshaw,5011,3.17,4.67,13.37,32.07,29.22,9.8,7.7,5011,7.28,27.74,36.1,28.88,90
Alabama,Cullman,31733,4.3,3.39,11.32,36.28,29.33,10.11,5.27,31733,3.0,28.46,35.92,32.63,98
Alabama,Dale,19405,1.74,3.14,13.91,35.2,34.36,7.22,4.42,19405,5.05,34.8,34.95,25.2,101
