County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units,FID
Alabama,Autauga,39.1%,30.9%,72.7%,7.0%,20.3%,5
Alabama,Baldwin,32.0%,39.1%,73.6%,11.4%,15.0%,20
Alabama,Barbour,32.7%,37.0%,60.5%,12.9%,26.6%,25
Alabama,Bibb,36.8%,37.8%,61.9%,7.5%,30.6%,29
Alabama,Blount,36.2%,37.5%,74.1%,3.9%,22.0%,33
Alabama,Bullock,34.5%,36.2%,63.8%,10.7%,25.5%,37
Alabama,Butler,33.4%,38.9%,64.1%,15.5%,20.5%,39
Alabama,Calhoun,32.2%,34.6%,72.0%,12.8%,15.2%,43
Alabama,Chambers,31.0%,38.9%,75.1%,7.9%,17.0%,47
Alabama,Cherokee,31.3%,36.9%,67.5%,4.6%,27.9%,51
Alabama,Chilton,36.8%,33.4%,64.7%,4.6%,30.7%,56
Alabama,Choctaw,27.6%,45.9%,67.7%,4.8%,27.5%,58
Alabama,Clarke,31.8%,42.3%,67.1%,6.4%,26.5%,61
Alabama,Clay,34.3%,30.7%,60.9%,12.4%,26.6%,65
Alabama,Cleburne,33.9%,42.0%,68.5%,5.7%,25.8%,67
Alabama,Coffee,33.5%,34.8%,73.0%,12.0%,15.1%,70
Alabama,Colbert,29.7%,38.2%,78.3%,11.1%,10.7%,73
Alabama,Conecuh,24.5%,44.0%,76.3%,4.9%,18.8%,80
Alabama,Coosa,25.0%,39.8%,66.4%,2.3%,31.3%,82
Alabama,Covington,30.9%,42.9%,78.1%,6.9%,15.0%,88
Alabama,Crenshaw,30.5%,40.5%,63.9%,10.5%,25.6%,90
Alabama,Cullman,33.1%,36.1%,72.7%,8.7%,18.6%,98
Alabama,Dale,35.0%,32.2%,69.2%,12.1%,18.8%,101
Alabama,Dallas,35.2%,38.4%,63.2%,15.6%,21.2%,110
Alabama,DeKalb,38.8%,36.0%,70.4%,6.0%,23.6%,112
Alabama,Elmore,39.2%,31.5%,74.1%,6.7%,19.3%,118
Alabama,Escambia,34.1%,37.1%,71.9%,8.7%,19.3%,122
Alabama,Etowah,31.6%,38.0%,77.0%,11.3%,11.7%,131
Alabama,Fayette,28.3%,41.3%,73.5%,6.7%,19.8%,134
Alabama,Franklin,33.9%,35.8%,74.2%,9.8%,16.0%,138
Alabama,Geneva,31.2%,40.3%,70.8%,6.3%,23.0%,140
Alabama,Greene,33.4%,38.9%,56.7%,14.8%,28.5%,148
