County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units
Autauga County,Alabama,33.5%,37.2%,74.4%,8.5%,17.1%
Baldwin County,Alabama,26.9%,47.4%,76.2%,12.8%,10.9%
Barbour County,Alabama,31.5%,48.6%,57.6%,15.9%,26.5%
Bibb County,Alabama,36.0%,41.7%,63.7%,8.1%,28.2%
Blount County,Alabama,32.9%,42.7%,70.3%,5.4%,24.3%
Bullock County,Alabama,34.6%,49.0%,46.2%,12.2%,41.6%
Butler County,Alabama,27.6%,50.5%,68.9%,9.7%,21.4%
Calhoun County,Alabama,29.9%,43.6%,74.5%,10.8%,14.7%
Chambers County,Alabama,29.1%,44.9%,70.5%,15.6%,13.9%
Cherokee County,Alabama,27.1%,48.5%,71.7%,4.9%,23.4%
Chilton County,Alabama,31.3%,41.8%,61.6%,4.5%,33.9%
Choctaw County,Alabama,28.6%,52.9%,69.3%,2.5%,28.2%
Clarke County,Alabama,29.0%,44.1%,62.8%,10.0%,27.2%
Clay County,Alabama,30.3%,44.6%,70.3%,9.7%,19.9%
Cleburne County,Alabama,26.3%,48.1%,70.5%,2.6%,27.0%
Coffee County,Alabama,32.8%,41.1%,76.1%,11.4%,12.5%
Colbert County,Alabama,26.3%,45.5%,79.1%,13.2%,7.7%
Conecuh County,Alabama,22.1%,54.3%,61.6%,9.7%,28.7%
Coosa County,Alabama,21.4%,51.7%,63.3%,5.6%,31.2%
Covington County,Alabama,29.7%,48.6%,72.7%,7.6%,19.7%
Crenshaw County,Alabama,30.9%,47.7%,65.6%,7.6%,26.9%
Cullman County,Alabama,30.0%,44.0%,71.0%,8.6%,20.4%
Dale County,Alabama,29.4%,41.0%,70.4%,11.2%,18.4%
Dallas County,Alabama,25.3%,47.7%,62.1%,19.0%,18.9%
DeKalb County,Alabama,34.8%,42.6%,71.0%,6.9%,22.2%
Elmore County,Alabama,32.7%,39.8%,76.8%,8.3%,14.9%
Escambia County,Alabama,25.2%,47.8%,71.1%,13.7%,15.2%
Etowah County,Alabama,29.4%,45.7%,79.4%,10.8%,9.8%
Fayette County,Alabama,28.5%,48.2%,69.8%,9.9%,20.3%
Franklin County,Alabama,31.1%,45.1%,76.5%,10.6%,12.9%
Geneva County,Alabama,28.5%,47.2%,73.3%,3.3%,23.4%
Greene County,Alabama,17.1%,56.5%,57.3%,6.0%,36.7%
Hale County,Alabama,26.4%,48.4%,53.4%,5.7%,40.9%
Henry County,Alabama,26.7%,49.8%,73.2%,4.7%,22.1%
Houston County,Alabama,29.4%,43.0%,75.6%,13.6%,10.8%
Jackson County,Alabama,29.6%,47.8%,72.1%,6.9%,21.0%
Jefferson County,Alabama,29.0%,39.1%,73.3%,23.9%,2.8%
Lamar County,Alabama,26.8%,49.6%,67.2%,13.4%,19.5%
Lauderdale County,Alabama,27.0%,43.8%,74.3%,18.1%,7.6%
Lawrence County,Alabama,25.9%,45.7%,71.9%,4.9%,23.2%
Lee County,Alabama,30.1%,31.3%,61.4%,22.0%,16.6%
Limestone County,Alabama,31.8%,39.7%,81.2%,8.9%,9.9%
Lowndes County,Alabama,32.3%,45.3%,52.4%,7.0%,40.6%
