State,County,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),High school graduate or higher (Population 25 years and over),Bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Alabama,Autauga,"4,546",23.3%,33.0%,37.2%,6.4%,"33,884",4.9%,9.7%,35.2%,21.9%,6.5%,14.7%,7.1%,85.3%,21.7%,"6,370",87.5%,22.3%,"8,269",89.2%,23.9%,"13,185",86.8%,24.1%,"6,060",74.7%,13.0%,23.7%,8.4%,4.9%,2.4%,"34,167","19,643","29,010","33,552","49,699","56,389",5
Alabama,Baldwin,"13,257",21.0%,37.3%,34.9%,6.9%,"121,560",3.9%,8.5%,29.9%,23.2%,7.6%,18.1%,8.7%,87.6%,26.8%,"19,930",87.7%,25.7%,"23,424",89.3%,28.5%,"49,216",88.9%,28.3%,"28,990",83.9%,23.7%,22.5%,11.3%,6.3%,2.7%,"30,780","18,332","25,201","29,639","45,147","51,478",20
Alabama,Barbour,"2,590",32.3%,43.7%,23.1%,0.9%,"18,879",9.0%,19.2%,35.4%,16.0%,7.0%,7.5%,6.0%,71.9%,13.5%,"3,748",72.8%,8.9%,"3,840",78.3%,14.2%,"7,485",74.4%,15.0%,"3,806",59.5%,14.4%,39.4%,20.4%,13.1%,2.4%,"22,508","13,129","21,611","24,197","39,428","47,930",25
Alabama,Bibb,"2,230",26.6%,41.7%,28.7%,3.0%,"15,082",9.8%,15.7%,42.3%,16.9%,5.4%,7.5%,2.6%,74.5%,10.0%,"2,754",82.2%,13.1%,"3,604",83.0%,10.6%,"5,912",72.2%,8.5%,"2,812",61.1%,9.4%,20.4%,10.3%,3.3%,2.7%,"31,657","31,065","28,054","32,147","53,980","49,896",29
Alabama,Blount,"4,559",22.4%,39.0%,37.6%,1.0%,"38,085",9.4%,15.9%,36.4%,19.5%,6.2%,8.4%,4.2%,74.7%,12.5%,"6,932",74.2%,11.8%,"8,080",80.3%,14.3%,"15,019",77.5%,14.0%,"8,054",64.1%,8.5%,22.6%,11.1%,4.6%,4.0%,"31,435","22,819","27,791","33,684","42,208","53,730",33
Alabama,Bullock,"1,126",47.5%,22.5%,30.0%,0.0%,"7,301",10.9%,14.4%,36.6%,20.2%,5.9%,8.3%,3.7%,74.7%,12.0%,"1,313",67.7%,17.4%,"1,433",90.2%,7.1%,"3,227",78.7%,13.1%,"1,328",55.1%,9.3%,27.9%,13.2%,11.6%,1.3%,"24,931","16,056","26,489","22,225","36,012","56,705",37
Alabama,Butler,"1,769",28.5%,39.9%,29.7%,1.9%,"14,039",8.1%,17.1%,38.7%,17.2%,7.9%,7.8%,3.2%,74.8%,11.0%,"2,449",78.7%,12.1%,"2,439",80.9%,15.4%,"5,729",81.6%,10.3%,"3,422",56.3%,8.2%,39.7%,16.9%,17.7%,5.5%,"24,789","15,431","22,179","29,977","40,824","49,883",39
Alabama,Calhoun,"12,452",18.1%,32.6%,45.2%,4.0%,"77,722",7.5%,14.0%,34.5%,21.2%,6.7%,9.7%,6.4%,78.5%,16.1%,"14,841",80.0%,17.3%,"15,094",84.4%,17.5%,"31,290",82.8%,16.5%,"16,497",63.8%,13.0%,27.3%,14.6%,10.9%,4.2%,"29,787","19,012","25,506","30,595","42,171","49,520",43
Alabama,Chambers,"2,732",24.7%,34.6%,38.0%,2.7%,"23,737",8.7%,19.5%,34.3%,19.6%,7.1%,7.1%,3.7%,71.8%,10.8%,"4,038",77.5%,12.2%,"4,481",86.6%,12.5%,"9,587",74.0%,10.9%,"5,631",52.4%,8.5%,27.5%,16.4%,12.7%,1.6%,"26,008","20,151","21,270","28,788","38,132","52,230",47
Alabama,Cherokee,"1,809",39.2%,36.8%,19.8%,4.1%,"18,554",8.5%,18.0%,35.3%,22.2%,5.5%,6.3%,4.2%,73.4%,10.5%,"2,743",78.6%,7.7%,"3,329",76.4%,9.5%,"7,978",79.1%,12.6%,"4,504",58.0%,9.3%,28.5%,13.9%,10.5%,1.1%,"28,846","21,294","26,129","31,890","36,716","51,647",51
