County,State,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),Percent high school graduate or higher (Population 25 years and over),Percent bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Alabama,Autauga,"4,636",581,"1,723","1,720",612,"37,860",909,"3,364","11,880","7,663","3,323","6,320","4,401","33,587","10,721","7,078","6,464","1,803","7,304","6,387","1,969","14,988","13,633","4,692","8,490","7,103","2,257",33.2%,16.2%,9.0%,3.9%,"40,987","28,132","31,224","38,967","52,979","70,556",5
Alabama,Baldwin,"15,733","2,333","5,569","6,471","1,360","155,563","3,834","10,989","42,272","34,475","14,357","31,444","18,192","140,740","49,636","24,387","22,099","7,749","26,411","23,680","9,404","60,049","54,818","19,360","44,716","40,143","13,123",21.8%,10.0%,8.7%,3.2%,"40,295","25,639","31,659","34,443","52,171","64,297",20
Alabama,Barbour,"2,007",463,875,585,84,"17,797","1,387","3,110","6,361","3,487","1,385","1,296",771,"13,300","2,067","3,643","2,606",268,"3,047","2,163",374,"6,330","5,120",767,"4,777","3,411",658,39.6%,20.6%,14.6%,4.1%,"30,102","24,049","28,022","28,576","50,000","54,342",25
Alabama,Bibb,"1,803",324,"1,104",351,24,"15,987",978,"2,078","7,206","2,824","1,087","1,183",631,"12,931","1,814","3,248","2,640",313,"3,085","2,355",182,"5,978","5,127",893,"3,676","2,809",426,28.3%,16.7%,4.2%,5.5%,"33,912","34,955","27,797","32,491","52,500","57,788",29
Alabama,Blount,"4,569",645,"1,833","1,964",127,"39,814","2,950","3,888","13,975","8,505","5,220","3,540","1,736","32,976","5,276","6,879","6,000","1,180","7,060","6,022","1,080","15,493","12,916","1,898","10,382","8,038","1,118",22.4%,13.5%,10.3%,3.3%,"38,662","27,708","32,209","39,803","50,830","55,742",33
Alabama,Bullock,"1,110",187,496,383,44,"6,784",403,"1,297","2,809","1,199",379,413,284,"5,084",697,"1,086",707,39,"1,193","1,007",25,"2,867","2,111",329,"1,638","1,259",304,28.6%,22.5%,19.7%,0.1%,"29,696","27,707","29,835","30,786","50,179","107,557",37
Alabama,Butler,"1,505",297,710,446,52,"13,820",496,"1,390","6,425","2,334",970,"1,396",809,"11,934","2,205","2,301","2,020",318,"2,486","2,179",562,"4,941","4,401",712,"4,092","3,334",613,23.1%,16.3%,16.5%,3.4%,"28,139","21,161","25,999","27,458","42,537","53,571",39
Alabama,Calhoun,"10,588","1,282","3,706","4,751",849,"78,967","3,829","7,958","27,203","19,007","6,080","8,296","6,594","67,180","14,890","15,075","13,594","2,894","13,654","11,608","2,813","29,993","25,479","5,057","20,245","16,499","4,126",26.8%,14.0%,11.2%,4.9%,"34,716","22,612","30,168","34,292","47,286","56,856",43
Alabama,Chambers,"2,710",298,"1,149","1,174",89,"23,771","1,334","2,806","8,829","5,166","2,203","2,491",942,"19,631","3,433","4,222","3,801",688,"3,706","3,242",540,"9,313","7,889","1,223","6,530","4,699",982,26.8%,14.0%,9.4%,2.8%,"32,764","23,028","28,459","34,962","42,928","49,085",47
Alabama,Cherokee,"1,889",233,947,650,59,"19,143","1,197","2,091","7,495","3,786","2,098","1,202","1,274","15,855","2,476","2,555","2,170",274,"2,870","2,414",593,"7,749","6,453","1,047","5,969","4,818",562,29.7%,11.4%,7.5%,2.3%,"35,959","20,882","33,140","36,325","44,316","56,947",51
Alabama,Chilton,"3,434",407,"1,960","1,028",39,"30,153","1,561","3,924","13,070","5,064","2,427","2,471","1,636","24,668","4,107","5,687","4,883",585,"5,677","4,682",944,"11,471","9,195","1,269","7,318","5,908","1,309",30.5%,17.3%,9.5%,3.0%,"35,631","32,303","31,225","40,462","43,469","48,672",56
Alabama,Choctaw,944,263,279,377,25,"9,263",564,"1,039","3,346","1,994","1,068",761,491,"7,660","1,252","1,449","1,292",329,"1,219","1,106",220,"3,647","3,112",436,"2,948","2,150",267,32.8%,15.0%,12.3%,1.7%,"34,540","25,147","37,105","27,950","42,000","39,167",58
Alabama,Clarke,"2,001",250,885,755,111,"16,703",768,"2,136","6,942","3,118","1,436","1,401",902,"13,799","2,303","2,627","2,165",370,"2,798","2,469",355,"6,533","5,572",789,"4,745","3,593",789,43.8%,23.3%,11.2%,8.2%,"35,898","25,881","32,029","39,227","51,434","50,740",61
Alabama,Clay,"1,179",212,539,412,16,"9,371",686,"1,070","3,751","1,779",981,709,395,"7,615","1,104","1,479","1,127",101,"1,476","1,271",136,"3,710","3,027",598,"2,706","2,190",269,38.4%,12.2%,8.3%,2.2%,"32,105","16,840","30,828","35,222","43,575","53,333",65
Alabama,Cleburne,"1,044",140,372,494,38,"10,538",709,"1,168","4,044","2,291",638,"1,121",567,"8,661","1,688","1,786","1,560",284,"1,644","1,442",350,"4,034","3,290",672,"3,074","2,369",382,20.6%,14.3%,12.6%,8.8%,"37,635","23,029","38,788","35,787","40,365","50,649",67
Alabama,Coffee,"3,950",639,"1,575","1,489",247,"35,936","1,543","3,615","9,876","8,510","4,584","4,993","2,815","30,778","7,808","6,901","5,886","1,198","6,631","5,891","1,781","13,544","11,804","2,910","8,860","7,197","1,919",28.1%,14.5%,10.0%,1.9%,"36,620","26,513","25,370","36,688","52,558","60,139",70
Alabama,Colbert,"4,380",601,"1,874","1,746",159,"39,077","1,613","3,977","14,452","9,017","3,230","4,263","2,525","33,487","6,788","6,589","5,755","1,055","6,498","5,595","1,447","15,090","12,974","2,574","10,900","9,163","1,712",24.2%,13.5%,11.1%,3.8%,"35,305","26,618","30,398","34,617","49,583","61,025",73
Alabama,Conecuh,846,236,367,243,0,"8,826",320,"1,008","4,125","1,564",588,727,494,"7,498","1,221","1,374","1,266",93,"1,318","1,137",323,"3,363","2,963",433,"2,771","2,132",372,20.2%,13.0%,9.3%,10.7%,"30,829","32,708","28,063","24,940","43,871","61,964",80
Alabama,Coosa,652,135,295,193,29,"8,281",273,"1,121","3,482","1,870",578,659,298,"6,887",957,"1,005",852,57,"1,360","1,205",117,"3,419","2,796",452,"2,497","2,034",331,14.9%,10.7%,7.9%,2.3%,"30,608","27,244","27,274","30,079","48,529","68,893",82
Alabama,Covington,"2,662",417,"1,147",956,142,"26,366","1,308","2,556","9,823","5,836","2,726","2,455","1,662","22,502","4,117","4,212","3,709",685,"4,165","3,651",666,"10,132","8,751","1,569","7,857","6,391","1,197",27.8%,16.8%,13.3%,6.4%,"32,947","27,651","28,261","32,567","41,716","52,280",88
