State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,"FID"
Alabama,Autauga,"54,255",26.93,60.91,12.16,79.03,17.99,0.31,0.81,0.0,0.39,1.47,2.41,77.0,9.43,21.68,19.14,14.04,44.46,4.17,5.85,15.52,19.09,25.73,28.98,5
Alabama,Baldwin,"180,970",23.17,59.93,16.9,86.63,9.01,0.56,0.74,0.0,1.46,1.59,4.35,83.84,7.78,20.01,22.21,19.46,44.75,4.14,5.07,16.99,22.94,29.76,32.59,20
Alabama,Barbour,"24,530",24.41,60.05,15.54,49.81,45.43,0.0,0.86,0.0,2.18,1.71,5.17,47.66,16.34,22.59,17.25,10.86,37.41,5.85,12.83,33.51,40.62,47.93,51.14,25
Alabama,Bibb,"21,794",24.1,62.81,13.09,78.7,19.91,0.33,0.07,0.0,0.0,0.99,1.8,76.9,15.36,28.31,17.18,6.39,39.53,4.62,6.55,24.72,33.38,42.38,44.98,29
Alabama,Blount,"56,993",24.43,60.95,14.62,95.03,1.13,0.4,0.16,0.0,1.79,1.49,8.15,88.94,16.23,24.33,18.33,8.38,41.53,4.62,5.69,20.87,26.55,33.67,37.0,33
Alabama,Bullock,"10,313",23.11,63.33,13.57,27.73,71.45,0.19,0.0,0.34,0.0,0.28,5.99,21.74,19.64,24.79,15.95,8.64,39.57,6.6,12.28,29.42,40.1,50.53,53.51,37
Alabama,Butler,"20,463",24.12,59.68,16.2,54.85,43.25,0.18,0.89,0.0,0.11,0.72,0.99,53.97,15.77,26.3,16.79,8.84,38.21,6.1,11.13,34.27,40.79,50.98,54.61,39
Alabama,Calhoun,"114,887",22.94,62.48,14.58,75.35,20.41,0.28,0.67,0.07,1.46,1.75,3.23,74.01,14.06,22.54,19.87,10.88,40.35,6.0,9.34,27.2,32.63,39.85,42.89,43
Alabama,Chambers,"33,785",22.84,60.79,16.37,58.9,39.27,0.05,0.53,0.05,0.14,1.07,1.64,58.01,17.91,24.19,19.17,7.68,38.48,7.36,10.53,30.03,36.75,43.98,47.09,47
Alabama,Cherokee,"25,440",20.84,61.67,17.49,93.12,4.56,0.64,0.31,0.02,0.29,1.06,1.31,92.23,15.87,23.75,21.92,9.49,40.8,4.77,5.89,25.38,29.8,38.63,41.67,51
Alabama,Chilton,"43,197",25.0,61.47,13.54,86.94,9.78,0.37,0.22,0.0,1.93,0.75,7.5,81.4,15.89,26.06,16.09,8.34,41.66,5.32,7.7,26.69,31.77,38.53,40.96,56
Alabama,Choctaw,"13,668",22.81,58.95,18.25,55.36,42.93,0.0,0.22,0.0,0.2,1.29,0.61,55.32,17.65,26.71,16.78,8.29,33.0,6.12,7.37,27.42,32.13,40.58,43.72,58
Alabama,Clarke,"25,537",25.05,59.23,15.72,54.3,43.97,0.48,0.37,0.0,0.18,0.7,0.72,53.77,14.0,27.69,16.31,8.53,33.87,6.79,9.29,31.66,36.58,44.16,46.71,61
Alabama,Clay,"13,513",22.91,60.17,16.92,82.06,15.55,0.19,0.0,0.0,0.87,1.33,2.85,80.12,17.32,26.67,19.31,6.3,39.09,5.17,5.96,26.18,35.01,44.55,49.95,65
Alabama,Cleburne,"14,740",24.21,59.74,16.05,95.01,3.57,0.2,0.0,0.0,0.13,1.09,2.11,93.19,17.29,25.96,18.28,6.53,39.81,5.57,8.96,22.56,28.9,40.3,44.08,67
Alabama,Coffee,"49,208",24.22,61.58,14.2,77.53,17.11,0.89,1.32,0.0,0.62,2.52,6.19,72.48,11.61,19.77,19.99,15.31,39.29,3.22,6.86,23.5,28.84,35.49,37.87,70
Alabama,Colbert,"53,890",22.15,60.74,17.11,80.71,15.95,0.56,0.43,0.01,0.77,1.56,2.09,79.64,11.36,24.37,21.3,12.63,41.35,3.93,6.24,22.03,28.08,35.25,38.55,73
Alabama,Conecuh,"13,119",23.01,58.73,18.26,51.57,46.41,0.55,0.09,0.0,0.0,1.37,0.29,51.28,16.2,28.03,16.73,6.62,29.11,9.01,14.31,40.89,47.01,54.69,56.26,80
Alabama,Coosa,"11,006",20.73,62.01,17.25,68.27,30.82,0.06,0.0,0.0,0.08,0.76,2.04,66.31,16.91,31.51,15.97,7.13,39.56,6.32,9.49,28.99,35.66,43.37,45.81,82
