State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),60 years and over (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,Income below 300% poverty level,Income below 400% poverty level,Income below 500% poverty level,"FID"
Alabama,Autauga,"55,181",23.67,61.16,20.7,15.17,75.79,19.49,0.28,1.18,0.04,0.66,2.56,2.89,74.0,7.54,21.29,19.74,19.38,44.54,1.33,6.35,19.5,22.85,28.78,31.71,49.4,64.19,77.57,5
Alabama,Baldwin,"215,170",21.58,58.0,27.9,20.42,85.74,8.56,0.64,0.94,0.0,1.52,2.59,4.51,83.19,6.72,19.17,22.45,23.01,45.85,1.86,3.37,13.31,16.92,23.37,26.55,43.05,58.51,70.71,20
Alabama,Barbour,"22,070",23.45,55.97,27.36,20.58,47.63,46.18,0.19,0.53,0.0,3.52,1.94,4.52,46.79,15.07,24.64,19.56,9.04,39.45,2.94,13.67,34.22,40.62,48.06,50.53,67.66,77.83,85.77,25
Alabama,Bibb,"20,748",21.88,61.15,23.12,16.97,79.21,20.11,0.01,0.27,0.0,0.0,0.4,2.6,77.06,11.92,31.92,17.55,8.58,40.02,3.21,9.04,22.39,27.62,37.65,40.34,58.97,77.4,84.8,29
Alabama,Blount,"57,127",23.07,59.18,24.6,17.74,94.15,1.18,0.1,0.41,0.1,1.8,2.26,9.37,86.79,11.63,24.21,23.91,9.18,39.97,2.19,6.71,18.45,23.85,32.41,35.08,56.32,71.9,80.82,33
Alabama,Bullock,"9,713",22.66,61.57,24.49,15.77,26.07,68.68,0.0,1.41,0.0,3.27,0.57,8.41,20.91,16.21,27.13,15.76,6.89,41.25,1.43,11.06,35.75,42.5,51.36,52.03,66.59,79.68,87.92,37
Alabama,Butler,"19,411",22.47,57.16,27.13,20.36,51.17,44.97,0.34,1.34,0.0,0.5,1.66,1.49,50.87,9.3,32.56,16.68,11.3,41.06,2.84,6.15,25.74,31.6,38.52,41.99,62.53,73.88,82.39,39
Alabama,Calhoun,"111,229",21.77,60.44,25.13,17.79,73.51,21.0,0.32,0.83,0.28,1.68,2.39,3.88,72.01,10.34,24.1,22.38,13.32,42.82,3.25,6.73,22.74,27.26,35.44,37.94,57.87,72.14,82.62,43
Alabama,Chambers,"32,875",20.73,59.99,26.1,19.28,56.84,40.05,0.19,1.12,0.03,0.8,0.97,2.55,55.02,12.09,26.5,22.12,10.39,44.79,1.67,4.95,22.19,28.22,38.88,43.1,61.52,76.84,86.45,47
Alabama,Cherokee,"25,680",19.1,58.29,30.42,22.61,92.4,4.62,0.58,0.1,0.0,0.83,1.46,1.64,91.66,12.57,28.81,22.65,9.55,40.15,1.73,3.79,21.12,25.94,35.56,38.15,57.04,72.17,82.91,51
Alabama,Chilton,"43,478",23.52,59.96,23.49,16.51,82.27,9.6,1.16,0.45,0.0,3.61,2.91,7.68,80.02,12.36,29.82,17.08,9.41,40.83,2.65,6.11,23.05,27.74,36.41,39.0,59.02,72.89,81.82,56
Alabama,Choctaw,"12,544",19.99,57.07,30.05,22.94,56.69,42.48,0.06,0.2,0.0,0.09,0.49,0.48,56.34,12.57,26.21,24.23,9.95,35.18,2.44,6.77,22.86,29.89,38.43,40.96,60.43,71.98,83.59,58
Alabama,Clarke,"23,445",21.54,58.87,26.28,19.59,52.37,45.84,0.04,0.46,0.0,0.2,1.09,0.6,52.16,12.11,29.22,19.12,9.71,34.75,4.59,12.89,30.25,35.19,43.01,45.15,61.43,74.5,80.87,61
Alabama,Clay,"13,002",20.67,59.98,26.51,19.34,83.64,14.97,0.15,0.25,0.0,0.05,0.93,3.15,80.68,12.57,28.19,21.1,8.41,41.45,2.35,4.85,21.11,28.34,39.03,42.88,62.59,73.78,84.13,65
Alabama,Cleburne,"14,736",22.52,57.17,26.93,20.31,93.49,2.46,0.12,0.01,0.0,1.91,2.02,2.49,92.83,12.32,27.23,19.6,11.43,39.45,1.34,4.68,20.4,27.26,36.5,38.96,58.44,72.47,83.12,67
Alabama,Coffee,"51,427",23.54,59.72,23.07,16.74,74.91,16.89,1.02,1.64,0.0,1.15,4.39,7.61,69.79,9.75,18.6,25.31,15.15,42.3,2.44,7.34,20.51,24.91,31.97,34.17,50.96,67.83,79.24,70
Alabama,Colbert,"54,330",20.75,59.66,26.68,19.59,78.71,16.22,0.58,0.51,0.1,1.81,2.07,2.93,77.97,10.06,26.27,22.42,12.43,43.37,1.8,5.36,18.5,23.52,31.49,35.19,55.9,73.4,83.06,73
Alabama,Conecuh,"12,164",20.84,56.38,31.8,22.78,50.58,48.04,0.16,0.58,0.0,0.0,0.64,0.49,50.09,10.89,33.79,17.67,10.04,32.65,2.79,10.31,22.88,34.93,46.86,52.11,70.35,79.79,87.65,80
