County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available
Autauga County,Alabama,96.1%,86.9%,9.2%,0.3%,0.8%,0.0%,0.8%,1.9%,35.8%,63.4%,11.4%,9.4%,13.1%,16.6%,8.6%,20.2%,8.4%,8.5%,3.8%,25.1,1.5%,15.2%,42.7%,40.6%
Baldwin County,Alabama,94.0%,83.5%,10.5%,0.3%,1.4%,0.1%,0.9%,3.2%,74.4%,20.2%,13.7%,13.9%,15.1%,13.3%,5.6%,16.9%,6.0%,7.9%,7.6%,25.8,1.5%,15.8%,46.9%,35.8%
Barbour County,Alabama,93.7%,79.0%,14.8%,0.3%,2.3%,0.1%,1.6%,1.9%,75.3%,19.3%,21.9%,16.8%,12.9%,9.4%,5.7%,11.9%,5.6%,8.0%,7.8%,23.8,3.3%,23.1%,35.7%,37.9%
Bibb County,Alabama,95.5%,85.0%,10.5%,0.5%,0.9%,0.0%,1.2%,1.8%,41.6%,58.4%,13.2%,11.1%,9.8%,9.7%,3.6%,15.2%,17.7%,11.4%,8.3%,28.3,1.9%,11.6%,40.9%,45.6%
Blount County,Alabama,94.9%,80.6%,14.3%,0.1%,1.5%,0.0%,0.3%,3.3%,36.6%,62.0%,10.1%,9.1%,9.6%,8.9%,4.9%,14.0%,11.1%,18.3%,14.0%,33.2,0.7%,13.8%,36.5%,49.0%
Bullock County,Alabama,96.6%,81.8%,14.8%,0.0%,1.8%,0.0%,1.4%,0.1%,53.9%,46.1%,19.0%,13.4%,10.5%,8.6%,4.0%,6.8%,5.0%,16.5%,16.2%,28.1,3.6%,27.7%,41.1%,27.6%
Butler County,Alabama,96.6%,87.7%,8.9%,0.4%,0.6%,0.0%,1.5%,0.8%,72.5%,26.1%,17.3%,16.9%,19.2%,7.0%,3.9%,11.8%,4.7%,8.4%,10.8%,25.1,2.2%,21.5%,39.1%,37.2%
Calhoun County,Alabama,95.4%,85.9%,9.5%,0.3%,1.0%,0.2%,1.4%,1.6%,83.2%,14.5%,15.1%,15.9%,19.4%,15.8%,6.9%,11.6%,5.5%,5.0%,4.9%,22.1,1.6%,18.5%,41.3%,38.6%
Chambers County,Alabama,94.9%,82.4%,12.4%,0.2%,0.6%,0.0%,1.2%,3.2%,44.6%,29.0%,10.8%,16.9%,20.0%,13.0%,5.8%,17.0%,4.6%,7.0%,4.9%,23.6,2.7%,20.6%,41.7%,35.0%
Cherokee County,Alabama,94.8%,77.9%,16.9%,0.0%,0.5%,0.0%,3.0%,1.7%,45.9%,25.8%,13.0%,12.1%,14.3%,11.1%,8.9%,16.2%,9.0%,7.1%,8.3%,26.2,0.9%,16.4%,47.2%,35.5%
Chilton County,Alabama,96.4%,80.9%,15.5%,0.1%,1.0%,0.2%,0.6%,1.6%,45.8%,52.2%,11.6%,11.8%,12.3%,9.9%,3.5%,12.9%,6.9%,16.4%,14.6%,32.0,1.2%,16.3%,38.1%,44.4%
Choctaw County,Alabama,94.4%,79.2%,15.2%,0.2%,0.9%,0.0%,1.4%,3.2%,70.0%,15.0%,16.0%,10.3%,12.6%,10.0%,5.7%,12.0%,4.7%,12.7%,16.0%,34.8,0.8%,15.0%,40.3%,43.9%
Clarke County,Alabama,96.9%,90.1%,6.9%,0.3%,0.7%,0.3%,0.7%,1.1%,77.3%,20.0%,22.5%,15.7%,19.3%,11.0%,3.8%,9.4%,3.0%,4.5%,10.8%,25.1,1.3%,21.2%,35.5%,41.9%
Clay County,Alabama,93.7%,79.3%,14.4%,0.2%,1.0%,0.0%,0.3%,4.9%,59.1%,39.7%,16.6%,12.6%,16.1%,11.7%,3.8%,10.6%,4.3%,14.5%,9.9%,27.3,1.2%,19.2%,28.6%,51.0%
Cleburne County,Alabama,92.8%,79.2%,13.6%,0.0%,2.0%,0.0%,1.3%,3.9%,39.1%,27.8%,15.7%,9.5%,11.4%,12.7%,4.7%,15.4%,6.5%,14.1%,10.0%,29.1,2.5%,13.6%,35.6%,48.3%
Coffee County,Alabama,94.3%,84.6%,9.8%,0.1%,1.6%,0.1%,1.6%,2.4%,63.0%,35.5%,15.8%,18.4%,18.3%,16.9%,5.3%,12.7%,4.8%,4.7%,3.1%,20.7,2.5%,19.7%,41.9%,35.9%
Colbert County,Alabama,95.9%,85.5%,10.4%,0.2%,1.3%,0.0%,1.1%,1.6%,63.7%,32.6%,16.4%,20.4%,16.4%,13.6%,4.6%,11.6%,3.9%,4.9%,8.2%,22.7,1.4%,16.9%,40.8%,41.0%
Conecuh County,Alabama,99.1%,86.4%,12.7%,0.0%,0.0%,0.0%,0.5%,0.4%,55.1%,42.6%,20.1%,12.5%,13.6%,10.9%,5.0%,15.9%,9.0%,5.7%,7.3%,25.2,2.2%,25.8%,32.2%,39.7%
Coosa County,Alabama,92.2%,78.8%,13.3%,0.8%,0.6%,0.0%,1.4%,5.1%,24.9%,74.0%,7.6%,9.2%,20.8%,11.6%,6.0%,16.7%,6.9%,6.8%,14.5%,30.2,0.5%,16.6%,38.1%,44.8%
Covington County,Alabama,91.2%,79.5%,11.7%,0.0%,1.9%,0.0%,4.1%,2.8%,81.7%,12.3%,28.2%,17.0%,16.5%,11.5%,4.3%,8.8%,3.2%,3.0%,7.6%,20.8,2.6%,18.9%,38.9%,39.6%
Crenshaw County,Alabama,92.2%,80.4%,11.8%,0.0%,1.4%,0.2%,1.3%,4.9%,57.9%,39.8%,16.7%,13.7%,12.6%,7.8%,7.5%,12.3%,6.2%,10.5%,12.7%,27.4,4.8%,15.9%,38.9%,40.4%
Cullman County,Alabama,95.5%,80.2%,15.3%,0.1%,0.9%,0.0%,0.9%,2.5%,68.6%,30.1%,14.2%,15.6%,13.5%,13.5%,6.2%,12.1%,5.5%,7.7%,11.7%,27.4,2.0%,14.1%,40.0%,43.9%
Dale County,Alabama,93.4%,82.5%,10.8%,0.3%,2.9%,0.1%,1.2%,2.1%,61.3%,37.0%,19.5%,16.3%,20.5%,14.5%,6.2%,11.1%,3.5%,5.1%,3.2%,20.0,1.5%,21.7%,41.0%,35.7%
Dallas County,Alabama,95.8%,84.2%,11.7%,0.1%,1.4%,0.1%,1.6%,1.0%,83.9%,14.8%,15.9%,22.5%,19.9%,10.6%,3.3%,8.2%,3.4%,5.0%,11.2%,24.7,4.1%,20.0%,37.2%,38.7%
DeKalb County,Alabama,95.1%,81.4%,13.7%,0.1%,1.4%,0.1%,0.8%,2.5%,71.3%,21.8%,17.3%,16.2%,16.0%,14.4%,6.9%,11.3%,4.4%,6.8%,6.6%,23.1,1.9%,16.1%,40.3%,41.7%
Elmore County,Alabama,95.8%,84.4%,11.4%,0.2%,0.9%,0.0%,0.8%,2.4%,35.1%,63.7%,10.4%,7.8%,12.0%,14.9%,9.9%,18.3%,9.9%,11.8%,4.9%,27.5,1.1%,16.9%,41.2%,40.8%
Escambia County,Alabama,93.4%,81.7%,11.7%,0.3%,1.1%,0.0%,1.4%,3.8%,77.2%,11.1%,21.5%,19.3%,18.6%,10.1%,2.8%,10.2%,1.9%,6.7%,8.8%,24.6,1.4%,20.1%,37.5%,41.0%
Etowah County,Alabama,95.6%,84.9%,10.7%,0.1%,0.8%,0.0%,0.4%,3.1%,72.7%,25.9%,14.9%,19.8%,19.0%,13.1%,5.6%,8.6%,4.7%,6.1%,8.3%,23.6,2.0%,17.7%,40.5%,39.9%
Fayette County,Alabama,96.7%,85.6%,11.2%,0.2%,1.5%,0.0%,0.3%,1.3%,56.0%,42.7%,19.6%,15.8%,14.1%,11.1%,4.4%,7.2%,4.1%,10.2%,13.4%,27.2,1.3%,15.2%,35.5%,48.0%
Franklin County,Alabama,96.1%,79.5%,16.6%,0.2%,0.9%,0.0%,1.5%,1.3%,60.7%,33.8%,23.4%,12.1%,13.8%,10.3%,5.5%,10.4%,7.7%,8.7%,8.1%,24.4,1.4%,15.8%,41.4%,41.4%
Geneva County,Alabama,94.7%,84.7%,10.0%,0.0%,0.8%,0.0%,1.0%,3.4%,46.2%,46.8%,15.3%,11.4%,14.0%,12.5%,5.2%,19.0%,5.6%,12.0%,5.0%,26.1,0.4%,18.8%,39.5%,41.2%
Greene County,Alabama,89.9%,72.7%,17.2%,2.8%,4.2%,0.0%,1.5%,1.6%,56.6%,40.7%,21.0%,7.9%,13.4%,10.9%,9.2%,10.5%,4.8%,17.2%,5.1%,25.1,4.7%,28.6%,38.7%,28.1%
Hale County,Alabama,94.0%,79.6%,14.5%,0.5%,2.0%,0.1%,0.7%,2.6%,49.9%,49.5%,20.7%,9.0%,8.0%,9.9%,6.9%,15.1%,5.4%,13.5%,11.4%,28.0,3.8%,22.6%,32.8%,40.8%
Henry County,Alabama,94.0%,88.6%,5.3%,0.4%,0.3%,0.0%,2.0%,3.4%,47.3%,51.1%,16.4%,11.6%,15.1%,13.7%,7.9%,18.4%,7.5%,5.9%,3.6%,23.3,1.1%,16.0%,32.2%,50.7%
Houston County,Alabama,95.4%,87.0%,8.4%,0.3%,0.6%,0.1%,1.7%,1.8%,85.4%,10.8%,15.8%,21.9%,19.8%,16.1%,5.0%,11.8%,3.1%,3.8%,2.8%,19.7,2.5%,21.9%,43.4%,32.3%
Jackson County,Alabama,96.6%,86.1%,10.5%,0.2%,1.0%,0.0%,0.7%,1.5%,67.2%,19.2%,17.8%,13.9%,13.6%,11.9%,4.8%,12.0%,6.8%,10.3%,9.0%,26.2,1.2%,14.9%,37.4%,46.5%
Jefferson County,Alabama,94.7%,83.5%,11.2%,1.1%,1.2%,0.1%,0.5%,2.3%,88.8%,10.4%,9.1%,13.3%,19.2%,19.3%,7.7%,16.4%,5.9%,5.3%,3.8%,23.3,2.6%,22.5%,41.3%,33.7%
Lamar County,Alabama,93.8%,85.4%,8.3%,0.5%,1.7%,0.0%,0.1%,3.9%,59.5%,24.7%,16.6%,14.9%,18.9%,11.4%,2.9%,12.2%,5.2%,7.1%,10.8%,25.5,1.4%,15.3%,44.4%,38.9%
Lauderdale County,Alabama,96.3%,86.2%,10.1%,0.0%,1.3%,0.1%,0.4%,1.9%,67.9%,28.6%,16.3%,17.4%,16.0%,12.5%,5.4%,12.5%,6.0%,7.1%,6.7%,23.5,2.6%,16.6%,37.6%,43.2%
