County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available,FID
Alabama,Autauga,93.8%,86.7%,7.1%,0.4%,0.7%,0.3%,0.9%,3.8%,34.8%,64.3%,12.7%,11.4%,12.2%,15.6%,8.1%,20.5%,6.2%,7.2%,6.1%,25.4,0.7%,17.4%,36.1%,45.8%,5
Alabama,Baldwin,91.0%,83.0%,8.0%,0.0%,1.2%,0.1%,1.3%,6.4%,76.4%,18.0%,13.3%,12.9%,16.1%,12.5%,6.8%,14.2%,7.4%,9.4%,7.5%,26.0,1.4%,16.0%,45.1%,37.5%,20
Alabama,Barbour,94.7%,84.0%,10.7%,0.1%,2.3%,0.1%,1.1%,1.8%,70.7%,21.0%,23.3%,17.8%,11.6%,8.6%,3.8%,10.2%,4.2%,8.7%,11.8%,25.5,4.7%,22.1%,35.1%,38.2%,25
Alabama,Bibb,95.8%,87.7%,8.2%,0.0%,0.3%,0.0%,0.3%,3.6%,31.9%,66.4%,10.3%,12.3%,13.5%,4.3%,3.5%,10.8%,14.3%,20.6%,10.4%,30.3,1.0%,16.0%,33.8%,49.2%,29
Alabama,Blount,96.8%,88.3%,8.5%,0.1%,0.5%,0.0%,0.6%,2.0%,33.4%,65.8%,12.7%,7.6%,7.5%,8.7%,3.1%,12.8%,8.9%,20.0%,18.6%,34.5,1.3%,12.1%,30.6%,56.0%,33
Alabama,Bullock,93.7%,80.5%,13.2%,0.0%,5.4%,0.0%,0.0%,1.0%,53.7%,45.9%,18.3%,16.5%,6.9%,11.0%,0.4%,9.2%,7.2%,17.7%,12.7%,30.7,7.7%,16.3%,31.3%,44.8%,37
Alabama,Butler,95.5%,86.4%,9.1%,0.2%,0.4%,0.0%,1.4%,2.5%,73.6%,25.1%,17.4%,12.4%,15.4%,14.2%,2.8%,15.4%,3.6%,9.6%,9.1%,25.9,2.7%,19.2%,39.1%,39.0%,39
Alabama,Calhoun,95.0%,84.6%,10.4%,0.6%,1.2%,0.0%,0.7%,2.5%,75.8%,21.5%,15.0%,13.8%,19.5%,14.3%,5.9%,13.6%,4.4%,6.3%,7.2%,24.3,1.6%,17.6%,39.7%,41.1%,43
Alabama,Chambers,96.5%,87.4%,9.1%,0.2%,0.8%,0.0%,0.6%,1.8%,41.4%,26.1%,14.8%,15.1%,19.0%,13.0%,6.6%,14.1%,4.5%,7.0%,5.9%,23.2,3.0%,15.6%,37.8%,43.6%,47
Alabama,Cherokee,95.8%,86.0%,9.8%,0.2%,0.5%,0.0%,1.4%,2.1%,44.4%,27.0%,11.7%,13.9%,13.6%,7.5%,5.1%,14.4%,8.0%,15.6%,10.2%,29.8,0.5%,13.0%,37.0%,49.4%,51
Alabama,Chilton,96.1%,85.5%,10.5%,0.0%,0.3%,0.0%,1.1%,2.6%,46.0%,53.1%,9.3%,10.7%,11.3%,12.9%,6.2%,9.8%,8.7%,16.3%,14.8%,31.5,2.1%,15.7%,40.4%,41.8%,56
Alabama,Choctaw,95.8%,85.6%,10.2%,0.0%,1.2%,0.0%,1.0%,2.0%,57.9%,14.3%,14.5%,6.8%,10.6%,11.4%,4.5%,13.2%,8.6%,9.4%,21.2%,35.4,1.1%,18.9%,30.7%,49.3%,58
Alabama,Clarke,96.6%,89.4%,7.1%,0.0%,0.3%,0.0%,1.0%,2.2%,67.8%,27.9%,19.4%,11.2%,13.9%,8.5%,2.7%,12.8%,5.9%,11.2%,14.4%,28.8,1.8%,17.4%,37.2%,43.6%,61
Alabama,Clay,94.1%,89.4%,4.7%,0.0%,0.7%,0.0%,0.6%,4.6%,63.3%,32.5%,21.3%,13.8%,17.4%,10.4%,1.6%,6.6%,7.1%,10.5%,11.4%,26.6,1.9%,14.4%,31.4%,52.3%,65
Alabama,Cleburne,96.0%,86.2%,9.8%,0.0%,0.6%,0.0%,0.0%,3.3%,29.4%,29.9%,10.0%,8.2%,7.9%,10.0%,5.9%,21.0%,10.1%,13.9%,13.0%,33.7,2.2%,12.7%,34.2%,50.9%,67
Alabama,Coffee,94.6%,86.5%,8.2%,0.0%,0.6%,0.5%,1.6%,2.7%,61.7%,35.5%,15.3%,21.0%,13.7%,15.2%,5.1%,11.9%,6.6%,6.5%,4.7%,22.7,2.9%,17.1%,39.2%,40.8%,70
