State,County,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over,Employed,Unemployed,Not In Labor Force
Alabama,Autauga County,21221,22450,3440,10069,3349,5251,7669,5635,4191,2681,1770,35221,7473,194,200,13,165,405,610,34823,4583,4824,3663,1689,1213,19595,1006,11323
Alabama,Baldwin County,68848,71567,9480,27668,10204,15563,21908,19609,15369,12355,9348,122366,14444,809,537,38,755,1466,2466,120868,16034,17943,10908,5216,5255,62938,2813,44295
Alabama,Barbour County,14970,14068,2004,6006,2691,3687,4533,3928,2564,2038,1835,14887,13451,131,84,8,265,212,478,14788,5199,2820,1312,576,525,10193,612,11720
Alabama,Bibb County,10745,10081,1565,4066,2048,2902,3177,2725,2001,1324,1089,15966,4624,49,17,2,61,107,210,15870,3043,2330,1201,549,260,7967,530,7590
Alabama,Blount County,25476,25548,3922,10034,4277,6527,7745,6910,5410,3765,2793,48512,606,250,71,12,1054,519,2718,46999,6419,6491,3806,1477,960,22701,1157,15554
Alabama,Bullock County,6140,5574,848,2480,1210,1445,1825,1505,977,690,853,2958,8564,44,21,2,43,82,322,2764,2290,1023,407,170,103,3441,322,5296
Alabama,Butler County,10019,11380,1488,4827,1689,2138,3041,2885,2045,1760,1746,12492,8732,45,35,0,11,84,143,12429,4226,2361,1015,383,401,8006,952,7494
Alabama,Calhoun County,53702,58547,7690,21272,11388,13004,16824,15970,11037,8949,6923,88537,20810,445,633,76,667,1081,1753,87598,18109,14342,7386,2853,2690,47856,3374,37476
Alabama,Chambers County,17285,19298,2766,7022,3082,4309,5119,4969,3640,2992,2936,22271,13943,49,68,0,43,209,280,22111,6256,4799,2302,705,483,15695,1094,11896
Alabama,Cherokee County,11794,12194,1594,4124,1838,2871,3477,3426,2967,2265,1553,22268,1330,75,34,0,83,198,204,22164,3948,3363,1487,566,354,10180,410,8693
Alabama,Chilton County,19581,20012,3023,7872,3649,4945,5999,5255,3995,2869,2228,34330,4200,111,72,6,599,275,1152,33897,5668,5084,2781,1132,605,17437,784,12305
Alabama,Choctaw County,7489,8433,1194,3299,1226,1719,2265,2211,1807,1262,1070,8779,7027,25,7,0,17,67,107,8724,3193,1667,830,340,314,5469,526,6350
Alabama,Clay County,6952,7302,948,2722,1142,1630,2089,1887,1563,1219,1140,11776,2238,45,14,3,66,112,253,11616,2566,2013,790,283,118,5930,343,4959
Alabama,Cleburne County,7037,7086,943,2751,1111,1777,2102,2009,1564,1106,827,13380,523,42,20,1,48,109,198,13235,2307,1931,894,286,198,6188,347,4595
Alabama,Coffee County,21303,22312,2957,8774,3859,5091,6577,6092,4432,3364,2807,33631,8013,396,414,41,390,730,1183,32971,6471,5598,2790,1436,1149,17905,1081,13780
Alabama,Colbert County,26311,28673,3729,10452,4348,6371,8286,7659,6026,4572,3921,44825,9137,205,131,12,187,487,618,44470,8899,7137,3600,1549,1303,23093,1257,19010
Alabama,Conecuh County,6667,7422,994,2970,1146,1475,1983,1972,1448,1202,1021,7806,6136,28,16,7,12,84,102,7760,3093,1568,647,260,207,4863,529,5485
Alabama,Covington County,17992,19639,2476,7252,2898,3996,5470,5060,4092,3479,3261,32436,4648,181,65,5,63,233,292,32247,7425,4644,2186,712,672,15304,1262,13110
Alabama,Crenshaw County,6464,7201,921,2720,1071,1464,1975,1890,1381,1166,1172,10088,3388,51,15,1,27,95,87,10042,2641,1865,615,246,206,5463,310,4922
Alabama,Cullman County,38214,39269,5390,14999,6818,9273,11665,10492,8066,6208,5134,75011,743,290,140,27,477,795,1688,73940,11732,10450,5041,1866,1707,35092,1513,24247
Alabama,Dale County,24356,24773,4075,10082,4672,6630,7533,6188,4505,3317,2490,36541,10002,297,529,72,634,1054,1642,35771,7537,6224,3303,1084,742,18803,1558,14121
Alabama,Dallas County,21092,25273,3751,10771,4150,4819,6773,5934,4215,3422,3006,16496,29332,50,160,5,67,255,290,16417,9346,4383,2399,984,757,15391,1933,17359
Alabama,DeKalb County,31508,32944,4780,12314,5972,8208,9660,8610,6360,4841,4041,59652,1083,518,124,36,1998,1041,3578,58436,10492,8235,4048,1284,1088,29280,1582,19344
Alabama,Elmore County,33342,32532,4838,13324,5873,9016,11213,9154,5808,3879,3192,50737,13597,286,238,18,313,685,805,50376,6194,7503,4942,2195,1858,27970,1464,20878
Alabama,Escambia County,19475,18965,2679,7422,3667,4699,5914,5201,3916,2793,2443,24754,11837,1157,94,10,154,434,379,24575,6549,4266,2037,735,690,14598,1098,14487
Alabama,Etowah County,49506,53953,7351,19500,8819,12238,14833,14582,10364,8773,7787,85737,15191,345,432,36,755,963,1763,84919,16777,12982,6881,2671,2323,43426,2754,35510
Alabama,Fayette County,8935,9560,1238,3603,1470,2081,2631,2596,2078,1542,1434,16075,2207,38,28,2,50,95,152,15994,3263,2485,1134,395,202,7391,614,6585
Alabama,Franklin County,15329,15894,2177,6078,2888,3872,4468,4058,3244,2569,2068,28001,1314,103,34,31,1441,299,2316,27268,5648,3662,1766,696,475,13089,773,10631
Alabama,Geneva County,12529,13235,1606,5130,1905,2884,3744,3561,2960,2239,1964,22442,2743,197,32,6,159,185,453,22181,4994,3153,1475,476,372,10809,936,8546
Alabama,Greene County,4681,5293,851,2337,803,951,1431,1325,883,781,689,1904,8013,12,8,0,10,27,58,1898,2300,980,402,142,132,3109,469,3886
Alabama,Hale County,8110,9075,1517,3969,1510,1847,2522,2165,1460,1190,1126,6844,10131,30,27,4,50,99,157,6803,3128,1853,931,300,215,5842,507,6398
Alabama,Henry County,7754,8556,1134,3184,1299,1814,2205,2421,1733,1390,1278,10710,5268,34,10,4,163,121,249,10647,2870,1908,1058,383,312,6780,457,5583
Alabama,Houston County,42170,46617,6630,18232,7282,10573,13814,12284,8538,6574,5588,64886,21840,329,551,14,347,820,1122,64312,13131,10878,6407,2587,2858,40355,2227,25785
Alabama,Jackson County,26281,27645,3691,10437,4493,6713,8082,7675,6028,4186,3024,49552,2019,946,124,13,195,1077,610,49200,8561,7066,3637,1346,1001,24982,1351,16128
Alabama,Lamar County,7680,8224,1027,3082,1333,1869,2359,2111,1724,1362,1166,13816,1906,18,10,0,73,81,207,13695,2910,2092,996,282,171,6547,500,5566
Alabama,Lauderdale County,42081,45885,5847,16352,8746,10290,13102,12019,9011,7155,6086,77743,8663,223,308,17,316,696,894,77240,13832,11042,6013,2677,2564,38923,2309,28767
Alabama,Lawrence County,17066,17737,2469,7220,2840,4585,5522,4688,3563,2387,1808,27067,4648,1865,35,3,114,1071,367,26899,5339,4254,2356,815,791,14784,983,11159
Alabama,Lee County,56630,58462,7995,22314,25392,14654,15672,12679,7824,5321,4016,85247,26071,273,1875,25,532,1069,1645,84298,19755,11571,7497,3656,3272,52980,3241,34656
Alabama,Limestone County,33334,32342,4863,12736,5759,9004,11287,9038,6164,4179,3092,55029,8752,304,231,14,747,599,1740,54142,8370,7229,4773,2333,1963,29709,1323,20015
Alabama,Lowndes County,6302,7171,1100,3355,1173,1457,2028,1657,1227,922,724,3484,9885,15,16,3,16,54,85,3464,2582,1252,641,226,204,4443,602,4841
Alabama,Macon County,11075,13030,1723,5196,3733,2337,2882,2994,2078,1638,1729,3365,20403,39,91,1,31,175,173,3331,4814,2439,924,389,348,8133,1140,9402
Alabama,Madison County,135019,141681,20698,56167,25483,34551,49049,37216,25528,17805,12210,199401,63025,2129,5140,158,1629,5218,5226,196496,29618,31245,21890,12684,14648,134916,8193,69273
Alabama,Marengo County,10569,11970,1707,5288,1713,2378,3236,2949,2212,1768,1519,10657,11655,19,41,3,57,107,219,10582,4181,2148,1346,592,521,8031,769,8012
Alabama,Marion County,15451,15763,2055,5589,2550,3782,4640,4243,3634,2636,2298,29579,1134,91,62,10,121,217,360,29387,5741,4106,1686,630,513,12868,1132,10946
Alabama,Marshall County,40011,42220,6096,15979,6932,10256,12566,10716,8546,6617,5100,76791,1207,433,201,36,2663,900,4656,75081,12406,10793,5261,2088,2088,36609,2233,25309
Alabama,Mobile County,191044,208799,32310,86806,39239,47924,61357,52470,34967,26035,21884,252199,133465,2682,5628,101,1600,4168,4887,249763,57027,45385,26276,11449,10118,164654,13542,122579
Alabama,Monroe County,11576,12748,1982,5463,1993,2760,3483,3190,2285,1761,1602,14047,9747,236,70,2,31,191,190,13962,4114,2911,1363,600,414,9155,837,8206
Alabama,Perry County,5410,6451,1026,2857,1195,1167,1511,1322,1128,921,841,3660,8111,9,4,3,10,64,102,3642,2441,1182,432,148,133,3480,600,4681
Alabama,Pike County,13985,15620,2127,5954,4490,3333,3930,3551,2737,1906,1821,17990,10835,194,105,5,76,400,365,17790,5862,3374,1620,509,564,12684,1299,9154
Alabama,Randolph County,10810,11570,1645,4434,1870,2524,3206,2958,2299,1901,1663,17094,4977,45,50,1,75,138,272,16940,3775,2865,1305,389,301,9124,515,7643
