Location,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Households,Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over, Population 16 to 18
"Autauga County, Alabama",21221,22450,3705,9420,3349,5251,7669,5635,4191,2681,1770,35221,7473,194,200,13,165,405,610,34823,15972,4583,4824,3663,1689,1213,2066
"Baldwin County, Alabama",68848,71567,10358,25701,10204,15563,21908,19609,15369,12355,9348,122366,14444,809,537,38,755,1466,2466,120868,55356,16034,17943,10908,5216,5255,5719
"Barbour County, Alabama",14970,14068,2190,5572,2691,3687,4533,3928,2564,2038,1835,14887,13451,131,84,8,265,212,478,14788,10432,5199,2820,1312,576,525,1299
"Bibb County, Alabama",10745,10081,1745,3815,2048,2902,3177,2725,2001,1324,1089,15966,4624,49,17,2,61,107,210,15870,7383,3043,2330,1201,549,260,859
"Blount County, Alabama",25476,25548,4267,9330,4277,6527,7745,6910,5410,3765,2793,48512,606,250,71,12,1054,519,2718,46999,19153,6419,6491,3806,1477,960,2023
"Bullock County, Alabama",6140,5574,918,2291,1210,1445,1825,1505,977,690,853,2958,8564,44,21,2,43,82,322,2764,3993,2290,1023,407,170,103,529
"Butler County, Alabama",10019,11380,1637,4458,1689,2138,3041,2885,2045,1760,1746,12492,8732,45,35,0,11,84,143,12429,8386,4226,2361,1015,383,401,1129
"Calhoun County, Alabama",53702,58547,8356,19798,11388,13004,16824,15970,11037,8949,6923,88537,20810,445,633,76,667,1081,1753,87598,45380,18109,14342,7386,2853,2690,4853
"Chambers County, Alabama",17285,19298,2995,6541,3082,4309,5119,4969,3640,2992,2936,22271,13943,49,68,0,43,209,280,22111,14545,6256,4799,2302,705,483,1554
"Cherokee County, Alabama",11794,12194,1747,3844,1838,2871,3477,3426,2967,2265,1553,22268,1330,75,34,0,83,198,204,22164,9718,3948,3363,1487,566,354,872
