County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over,FID
Arkansas,Sebastian,49.01,50.99,8.65,18.12,9.63,11.55,12.87,14.43,11.63,7.23,5.91,81.43,6.01,0.85,3.77,0.03,2.15,4.26,11.23,72.81,31.11,29.44,18.64,8.63,12.18,378
Arkansas,Sevier,49.62,50.38,10.42,20.8,8.81,11.48,13.01,12.4,10.49,7.02,5.57,67.42,4.02,1.62,0.7,0,21.81,1.95,28.03,61.08,36.57,33.99,18.6,5.13,5.71,390
Arkansas,Sharp,49.42,50.58,6.54,16.23,5.97,8.06,10.62,13.64,15.01,13.22,10.72,97.16,0.45,0.77,0,0,0.1,2.5,1.44,96.33,41.08,30.59,19.21,4.33,4.8,394
Arkansas,Stone,49.44,50.56,6.52,15.2,5.87,8.67,9.9,15.27,15.76,13.48,9.32,98.3,0,0.06,0.18,0,0.26,0.62,1.23,97.33,43.31,32.74,13.17,5.66,5.11,399
Arkansas,Union,48.65,51.35,7.89,17.46,7.74,10.75,12.25,15.05,13.3,8.16,7.4,65.04,33.2,0.28,0.65,0,0.94,1.19,3.14,63.2,36.53,26.12,16.88,9.39,11.08,403
Arkansas,Van Buren,49.85,50.15,6.19,15.37,6.47,8.61,10.93,15.26,14.48,12.09,10.59,96.21,0.78,1.11,0.04,0,0.42,1.1,2.34,94.14,38.22,31.65,18.36,5.77,6,407
Arkansas,Washington,49.98,50.02,8.99,18.1,15.03,14.12,12.61,12.02,9.47,5.38,4.29,78.9,3.05,1.26,2.05,1.77,7.89,2.18,14.08,73.27,29.01,28.62,18.18,10.76,13.43,417
Arkansas,White,49.05,50.95,8.01,17.7,12.31,10.8,12.36,13.71,11.04,7.88,6.2,89.35,3.84,0.37,0.55,0.02,1.44,1.69,3.38,87.66,31.4,30.15,17.22,10.71,10.52,428
Arkansas,Yell,49.9,50.1,8.67,19.01,8.2,10.57,12.54,13.91,11.7,8.52,6.88,88.08,1.17,0.17,1.28,0,6.27,1.73,17.81,76.66,32.29,34.59,19.27,8.38,5.46,438
California,Colusa,51.41,48.59,10.26,21.29,8.7,11.6,12.5,12.92,11.08,6.38,5.27,66.15,0.92,1.79,1.02,0.22,23.96,4.77,51.99,41.55,23.21,28.23,20.28,11.78,16.51,497
California,Butte,49.51,50.49,6.74,16.13,14.26,10.64,10.6,13.13,13.13,7.81,7.56,82.74,1.46,1.3,3.95,0.22,4.47,5.23,13.41,75.67,28.79,27.28,17.81,11.55,14.57,486
California,Alameda,49.04,50.96,7.74,16.21,10.03,13.62,15.06,14.74,11.49,5.99,5.12,44.83,12.35,0.5,25.42,0.8,9.37,4.6,21.41,34.4,18.58,18.4,16.34,12.58,34.1,457
California,Alpine,51.57,48.43,6.89,15.66,5.96,7.49,11.57,18.3,20,9.28,4.85,64.51,0,23.57,4.09,0,3.4,4.51,5.36,63.49,14.15,28.05,21.22,10,26.59,461
California,Amador,54.47,45.53,4.65,13.32,6.26,8.69,11.86,16.72,17.84,11.7,8.95,88.32,1.87,1.51,1.12,0.31,3.7,3.78,11.99,80.82,18.7,26.35,20.04,15.3,19.61,472
