State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 and over",Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Arkansas,Sebastian,49.01,50.99,7.92,19.39,9.63,11.55,12.87,14.43,11.63,7.23,5.91,76.62,6.38,1.88,4.06,0.09,7.38,3.59,12.28,72.83,12.02,11.37,7.2,3.33,4.71,44.18,2.86,29.28,65.13,20.33,436
Arkansas,Sevier,49.62,50.38,9.56,22.27,8.81,11.48,13.01,12.4,10.49,7.02,5.57,70.05,4.3,2.33,0.37,0.02,19.86,3.07,30.6,61.06,12.54,11.65,6.38,1.76,1.96,39.14,3.37,29.24,59.12,27.26,437
Arkansas,Sharp,49.42,50.58,6.05,17.39,5.97,8.06,10.62,13.64,15.01,13.22,10.72,96.05,0.54,0.98,0.29,0.01,0.42,1.71,1.68,94.99,17.1,12.74,8.0,1.8,2.0,33.6,2.93,45.52,58.32,16.77,1534
Arkansas,Stone,49.44,50.56,5.8,16.37,5.87,8.67,9.9,15.27,15.76,13.48,9.32,96.78,0.09,0.68,0.36,0.03,0.44,1.61,1.27,96.11,17.36,13.12,5.28,2.27,2.05,38.46,2.15,40.43,56.91,19.41,1535
Arkansas,Union,48.65,51.35,7.28,18.84,7.74,10.75,12.25,15.05,13.3,8.16,7.4,63.1,32.95,0.34,0.5,0.03,1.82,1.25,3.51,61.77,14.73,10.53,6.81,3.79,4.47,39.96,3.82,35.79,68.02,15.2,1536
Arkansas,Van Buren,49.85,50.15,5.81,16.37,6.47,8.61,10.93,15.26,14.48,12.09,10.59,95.97,0.39,0.69,0.32,0.01,0.65,1.96,2.75,94.14,15.61,12.93,7.5,2.36,2.45,34.95,3.46,43.34,59.65,16.81,1537
Arkansas,Washington,49.98,50.02,8.23,19.36,15.03,14.12,12.61,12.02,9.47,5.38,4.29,79.9,2.96,1.18,2.17,2.03,8.95,2.81,15.49,74.14,10.79,10.65,6.77,4.0,5.0,47.92,3.22,23.83,66.91,20.29,438
Arkansas,White,49.05,50.95,7.32,19.04,12.31,10.8,12.36,13.71,11.04,7.88,6.2,91.37,3.99,0.58,0.54,0.05,1.63,1.83,3.74,89.56,11.83,11.36,6.49,4.04,3.96,42.36,3.1,30.6,65.77,16.37,1538
Arkansas,Yell,49.9,50.1,7.96,20.5,8.2,10.57,12.54,13.91,11.7,8.52,6.88,86.66,1.38,0.67,1.29,0.05,8.19,1.75,19.07,76.72,11.52,12.34,6.87,2.99,1.95,42.08,3.28,30.32,60.08,23.42,1540
California,Colusa,51.41,48.59,9.36,22.85,8.7,11.6,12.5,12.92,11.08,6.38,5.27,64.68,0.91,1.96,1.31,0.32,27.26,3.57,55.11,39.8,7.55,9.19,6.6,3.83,5.37,39.9,6.6,25.97,66.74,21.29,34
California,Butte,49.51,50.49,6.2,17.35,14.26,10.64,10.6,13.13,13.13,7.81,7.56,81.86,1.55,2.0,4.12,0.21,5.52,4.75,14.14,75.19,11.19,10.6,6.92,4.49,5.66,41.16,5.33,34.42,67.66,15.82,32
California,Alameda,49.04,50.96,7.1,17.41,10.03,13.62,15.06,14.74,11.49,5.99,5.12,42.98,12.61,0.65,26.13,0.85,10.76,6.03,22.51,34.07,6.55,6.48,5.76,4.43,12.01,47.43,4.41,26.08,74.39,13.2,30
California,Alpine,51.57,48.43,6.47,17.19,5.96,7.49,11.57,18.3,20.0,9.28,4.85,74.98,0.0,20.43,0.6,0.0,1.62,2.38,7.15,72.51,4.94,9.79,7.4,3.49,9.28,43.66,7.06,27.49,73.79,13.7,146
California,Amador,54.47,45.53,4.31,14.33,6.26,8.69,11.86,16.72,17.84,11.7,8.95,87.03,2.53,1.78,1.1,0.2,3.81,3.56,12.49,79.61,7.22,10.18,7.74,5.91,7.57,37.59,4.84,43.52,57.23,10.76,31
California,Calaveras,50.07,49.93,4.88,16.75,5.9,7.11,10.1,16.6,18.56,12.75,8.24,88.91,0.84,1.51,1.25,0.17,3.37,3.95,10.32,83.54,8.46,10.19,7.62,5.61,9.36,42.33,3.51,38.08,65.11,12.87,33
California,Contra Costa,48.76,51.24,7.14,19.86,8.16,11.13,14.17,15.64,12.27,6.74,5.69,58.58,9.26,0.58,14.44,0.46,10.74,5.93,24.36,47.75,5.01,6.15,5.69,4.75,13.49,46.03,4.12,25.87,74.55,12.39,35
California,Del Norte,55.6,44.4,6.33,17.03,8.84,12.88,13.39,15.55,12.99,7.53,6.01,73.74,3.47,7.84,3.37,0.11,6.92,4.54,17.8,64.71,12.88,8.01,6.51,3.66,3.56,33.22,3.74,43.21,62.23,12.01,36
California,Kings,56.44,43.56,9.15,20.7,11.87,14.97,14.3,13.26,8.45,4.47,3.39,54.27,7.2,1.67,3.67,0.18,28.11,4.9,50.9,35.22,6.27,7.31,5.47,2.92,4.57,34.53,4.69,31.48,63.36,15.43,40
California,Glenn,50.46,49.54,8.48,21.82,8.97,11.14,11.89,13.64,11.56,7.28,6.01,71.08,0.82,2.2,2.57,0.09,19.64,3.61,37.48,55.89,10.28,9.69,5.91,4.1,4.38,41.26,3.72,29.51,66.58,19.4,38
California,Humboldt,50.21,49.79,6.3,15.93,12.43,13.16,11.19,13.93,14.39,7.18,5.98,81.65,1.12,5.74,2.19,0.26,3.72,5.33,9.81,77.22,12.79,11.02,7.25,4.03,5.23,45.18,4.24,31.57,68.13,17.2,39
California,Imperial,51.36,48.64,8.58,23.23,10.6,12.5,13.14,12.89,9.51,5.61,4.79,58.76,3.31,1.75,1.63,0.09,30.03,4.42,80.37,13.71,9.22,6.91,4.43,2.79,3.76,32.91,5.66,32.63,65.25,19.01,148
California,El Dorado,50.02,49.98,5.97,19.11,7.06,8.55,12.26,17.86,15.53,8.53,6.12,86.6,0.78,1.14,3.48,0.16,4.02,3.82,12.08,79.91,5.25,7.8,7.16,5.19,12.38,46.85,4.21,27.67,72.92,11.51,37
California,Fresno,49.96,50.04,9.3,23.1,11.42,12.72,12.29,12.37,9.55,5.32,4.72,55.37,5.32,1.68,9.6,0.15,23.33,4.54,50.31,32.73,8.41,7.74,5.39,3.57,5.4,39.58,5.1,26.94,69.47,19.48,147
California,Inyo,50.44,49.56,6.3,16.47,6.62,9.83,10.62,15.97,15.74,9.8,9.26,74.09,0.59,11.44,1.31,0.09,9.04,3.45,19.4,66.3,11.39,11.53,7.59,4.61,7.92,46.62,3.39,30.42,63.93,15.92,149
California,Kern,51.58,48.42,9.49,23.28,11.01,12.97,12.92,12.92,9.2,5.18,3.8,59.52,5.83,1.51,4.15,0.15,24.33,4.51,49.19,38.56,7.75,7.79,5.27,3.45,5.29,37.04,4.78,28.59,66.8,20.44,150
California,Mariposa,50.79,49.21,4.78,14.92,6.41,8.17,10.02,17.71,17.99,12.34,8.59,88.23,0.76,2.89,1.12,0.14,2.78,4.08,9.18,83.24,11.51,10.15,7.34,5.62,7.7,41.26,6.1,36.51,65.22,13.22,44
California,Lake,50.21,49.79,6.23,16.92,7.45,9.15,10.97,15.86,16.43,10.13,7.56,80.47,1.91,3.17,1.12,0.17,8.44,4.74,17.15,74.13,12.78,11.01,7.05,2.99,5.11,37.32,5.0,37.82,65.33,16.59,41
California,Lassen,64.24,35.76,5.03,14.8,11.32,16.29,15.8,15.61,11.79,5.69,4.27,73.17,8.12,3.54,1.02,0.47,10.21,3.47,17.53,66.69,7.7,6.95,5.51,4.58,4.71,30.04,3.05,51.33,53.5,8.9,42
California,Los Angeles,49.29,50.71,7.2,19.6,10.81,13.47,14.57,13.94,10.32,5.79,5.06,50.28,8.73,0.74,13.72,0.27,21.8,4.47,47.74,27.79,7.38,7.5,5.78,3.93,8.18,46.06,4.39,26.92,65.39,22.9,151
California,Madera,48.18,51.82,8.77,22.06,10.24,12.25,12.7,12.79,10.49,6.54,4.9,62.61,3.73,2.74,1.86,0.11,24.78,4.18,53.69,38.03,6.75,8.19,5.27,2.82,4.87,34.79,4.76,33.44,64.53,19.08,152
California,Marin,49.16,50.84,6.26,15.99,5.74,8.91,14.45,16.66,15.88,9.2,7.52,80.01,2.77,0.6,5.45,0.2,6.72,4.24,15.48,72.83,5.33,6.54,5.68,4.83,18.32,49.59,2.95,27.82,70.56,9.45,43
