State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Alaska,Aleutians East,57.65,42.35,4.08,9.57,8.72,13.39,15.9,20.95,16.13,7.86,3.4,14.66,3.78,40.84,24.08,0.33,5.17,11.14,8.72,13.21,8.98,12.0,10.64,11.61,26.33,61.52,2.48,11.08,60.25,39.75,346
Alaska,Aleutians West,62.72,37.28,4.78,15.65,7.81,14.36,16.49,19.94,13.08,6.45,1.45,24.5,2.5,10.93,42.94,3.12,5.75,10.27,14.18,21.32,2.39,5.88,13.17,16.86,43.53,62.52,2.53,6.63,82.79,17.21,381
Alaska,Anchorage,49.83,50.17,9.0,17.41,9.55,14.9,13.02,12.46,12.49,7.52,3.66,60.86,5.08,7.56,10.1,2.89,2.32,11.19,9.18,56.62,6.95,12.49,16.57,14.83,48.48,48.24,2.44,11.72,89.41,10.59,400
Alaska,Bethel,51.23,48.77,13.21,24.63,9.91,13.7,10.59,10.09,10.38,5.13,2.37,10.09,0.73,83.61,1.18,0.24,0.24,3.91,1.91,9.23,18.31,22.7,18.26,11.07,25.42,32.83,7.22,14.62,82.57,17.43,411
Alaska,Bristol Bay,55.45,44.55,8.55,11.59,3.72,9.52,16.14,15.45,23.17,7.17,4.69,51.59,0.0,31.03,2.34,1.24,2.9,10.9,9.93,47.86,5.79,12.14,13.93,16.69,40.97,54.07,2.34,11.59,83.86,16.14,423
Alaska,Denali,52.98,47.02,1.6,9.54,13.32,11.88,14.22,15.37,23.3,6.74,4.03,81.26,1.81,1.77,2.1,0.0,0.41,12.66,1.27,81.26,6.58,7.97,7.64,11.22,32.59,65.56,2.51,10.03,87.05,12.95,426
Alaska,Dillingham,51.23,48.77,11.13,21.81,9.91,13.88,12.07,9.16,10.99,7.96,3.11,16.3,1.49,74.24,0.41,0.06,0.69,6.82,3.01,14.69,11.9,20.85,18.51,13.43,27.41,34.65,5.01,16.34,81.28,18.72,445
Alaska,Fairbanks North Star,51.11,48.89,10.03,17.31,11.59,14.39,12.39,11.42,11.66,7.92,3.3,73.73,4.18,8.15,3.44,0.59,1.71,8.2,7.76,68.91,5.94,15.46,16.39,14.45,46.34,44.18,3.41,13.86,90.63,9.37,454
Alaska,Haines,55.47,44.53,7.16,26.63,1.06,8.38,11.8,13.06,8.89,18.61,4.41,77.18,0.0,6.37,1.77,0.16,0.04,14.48,5.19,72.19,10.19,17.15,19.47,8.89,42.84,33.16,3.66,6.37,90.52,9.48,462
Alaska,Hoonah-Angoon,53.77,46.23,4.13,9.52,5.81,9.0,10.92,16.08,21.89,16.22,6.42,49.04,3.38,33.29,2.3,0.0,0.98,11.02,9.28,45.62,11.3,17.91,19.41,13.41,30.9,44.07,5.11,14.53,77.07,22.93,476
Alaska,Juneau,50.52,49.48,7.27,15.39,9.04,12.71,13.69,13.57,14.53,9.42,4.38,66.65,0.76,10.04,6.95,1.19,1.14,13.27,6.63,63.74,6.76,8.2,16.35,16.93,51.07,49.14,2.17,12.23,90.64,9.36,482
Alaska,Kenai Peninsula,51.46,48.54,7.07,17.23,7.08,11.49,11.56,12.27,15.91,11.9,5.5,81.87,0.5,7.57,1.68,0.3,1.51,6.58,4.26,79.62,11.69,15.1,18.6,13.63,39.95,38.49,3.39,16.42,86.07,13.93,494
Alaska,Ketchikan Gateway,50.87,49.13,6.61,16.6,8.08,12.0,12.4,13.01,15.74,10.45,5.12,64.95,0.69,14.81,8.45,0.18,1.27,9.65,5.32,63.07,8.7,14.66,16.9,13.73,45.13,47.28,2.96,10.98,90.4,9.6,514
Alaska,Kodiak Island,51.53,48.47,9.86,18.27,7.95,13.57,13.92,11.01,14.42,7.57,3.44,51.27,0.26,13.21,24.33,0.25,1.12,9.57,8.83,45.81,6.78,8.87,17.18,14.33,51.62,47.3,3.0,10.57,83.09,16.91,533
Alaska,Wade Hampton,53.95,46.05,14.84,27.46,10.64,13.98,8.96,9.18,9.11,4.06,1.78,3.22,0.45,93.12,0.08,0.07,0.7,2.35,1.14,3.19,22.99,30.79,18.25,9.78,14.35,25.4,7.45,19.02,81.96,18.04,725
Alaska,Lake and Peninsula,45.85,54.15,8.04,19.55,11.25,13.75,14.19,9.17,13.49,6.83,3.72,24.31,6.92,58.74,2.25,0.26,0.09,7.44,0.26,24.13,14.71,21.8,17.65,14.88,21.28,39.97,9.95,11.94,74.13,25.87,544
Alaska,Matanuska-Susitna,51.14,48.86,8.59,19.96,8.28,12.25,13.15,12.31,13.32,8.32,3.83,82.25,1.33,5.74,1.49,0.26,0.6,8.32,5.2,78.83,9.35,12.96,16.26,14.26,46.73,38.2,4.14,16.96,85.88,14.12,556
Alaska,Nome,51.48,48.52,11.73,25.03,9.95,13.34,11.48,10.43,10.38,5.58,2.09,14.25,0.72,77.21,2.67,0.02,0.12,5.02,1.91,13.67,12.84,17.6,20.01,13.97,31.35,35.34,7.71,12.53,80.9,19.1,571
Alaska,North Slope,60.55,39.45,8.77,18.4,7.98,16.49,12.66,13.52,14.97,5.48,1.71,28.56,1.56,52.69,5.82,2.17,1.37,7.83,4.06,27.97,6.67,9.46,9.77,9.17,34.33,51.34,5.77,8.52,80.45,19.55,614
Alaska,Northwest Arctic,54.71,45.29,12.58,24.71,8.73,14.82,10.21,11.46,9.77,4.97,2.75,11.57,1.01,81.94,1.18,0.1,0.22,3.97,2.49,10.41,13.69,19.62,17.07,10.86,33.16,32.8,6.4,15.79,76.81,23.19,638
Alaska,Petersburg,50.57,49.43,6.33,11.68,6.94,10.46,8.96,11.53,17.06,16.97,10.09,67.29,2.02,6.88,14.55,0.18,0.37,8.71,7.73,60.44,8.59,16.66,21.55,13.15,37.94,43.69,1.71,9.54,87.25,12.75,645
Alaska,Prince of Wales-Hyder,54.73,45.27,7.29,16.98,6.67,10.68,10.89,13.51,16.63,12.5,4.86,47.16,0.55,39.27,1.55,0.63,0.27,10.57,3.83,44.94,15.92,22.18,17.31,13.46,29.43,39.19,4.24,14.94,78.04,21.96,669
Alaska,Sitka,49.9,50.1,6.02,17.52,6.43,12.7,13.23,12.88,14.79,10.35,6.08,63.19,0.64,11.83,7.95,0.16,0.71,15.54,7.02,60.19,7.8,11.89,18.36,17.48,42.67,47.61,2.47,9.94,85.49,14.51,679
Alaska,Skagway,50.38,49.62,5.54,8.85,6.54,18.08,16.08,18.15,13.85,10.08,2.85,79.0,4.46,4.54,2.62,0.0,0.23,9.15,4.0,76.62,1.46,12.23,17.69,13.15,41.46,58.38,6.62,7.69,86.62,13.38,683
Alaska,Southeast Fairbanks,53.91,46.09,8.96,19.12,6.11,13.03,11.83,12.74,13.84,9.84,4.53,75.46,0.89,14.21,2.84,0.21,2.33,4.06,6.07,73.13,13.24,15.94,15.6,15.63,36.08,37.06,4.28,16.21,83.24,16.76,690
Alaska,Wrangell,54.15,45.85,6.26,16.22,4.82,11.16,8.59,12.77,17.46,12.08,10.64,65.15,0.32,22.8,1.69,1.28,0.4,8.35,3.89,64.31,9.71,24.49,19.87,13.05,31.55,36.89,2.65,15.25,84.7,15.3,733
Alaska,Yakutat,59.3,40.7,11.89,11.73,5.53,19.1,13.4,13.57,10.72,10.22,3.85,38.53,5.7,28.81,8.38,0.34,1.68,16.58,15.58,32.33,6.03,11.39,23.79,20.27,27.3,44.05,4.19,14.07,80.23,19.77,744
Alaska,Yukon-Koyukuk,52.08,47.92,9.62,19.5,7.97,12.36,11.32,10.28,14.11,10.79,4.06,21.9,0.08,70.17,0.61,0.04,0.19,7.02,2.5,20.96,21.16,22.68,19.91,12.16,16.73,36.45,6.68,12.91,77.34,22.66,753
Alabama,Autauga,48.11,51.89,7.27,18.03,8.28,11.22,12.64,14.16,13.06,9.06,6.29,75.57,19.7,0.28,1.16,0.04,0.67,2.58,2.87,73.82,17.92,18.61,17.01,14.5,31.59,42.64,1.24,15.48,92.04,7.96,5
Alabama,Baldwin,48.14,51.86,6.56,16.27,7.6,9.61,11.94,13.15,14.5,12.37,8.0,85.61,8.6,0.68,0.93,0.0,1.57,2.6,4.6,83.04,11.07,20.52,16.97,15.55,35.6,41.29,1.66,13.85,90.49,9.51,20
Alabama,Barbour,46.85,53.15,7.07,17.59,8.56,11.46,10.07,11.81,12.9,12.39,8.14,47.61,46.22,0.19,0.52,0.0,3.51,1.94,4.51,46.76,33.59,22.46,16.32,10.02,17.6,35.22,2.76,16.82,89.32,10.68,25
Alabama,Bibb,50.64,49.36,6.62,16.62,8.01,12.1,12.95,13.83,12.9,10.07,6.9,79.21,20.11,0.01,0.27,0.0,0.0,0.4,2.6,77.06,19.65,21.93,19.37,16.15,22.76,36.95,2.91,19.92,90.95,9.05,29
Alabama,Blount,49.62,50.38,7.38,17.03,8.77,10.02,12.19,13.24,13.67,10.33,7.37,94.17,1.17,0.1,0.41,0.1,1.8,2.26,9.35,86.82,16.82,23.08,21.09,13.1,25.68,37.07,2.02,18.8,89.97,10.03,33
Alabama,Bullock,53.87,46.13,7.41,19.46,9.31,8.28,11.38,14.3,14.21,9.98,5.67,25.86,68.93,0.0,1.4,0.0,3.25,0.56,8.34,20.74,32.37,17.87,20.83,7.93,20.49,36.78,0.94,19.76,89.53,10.47,37
Alabama,Butler,45.83,54.17,7.22,16.32,8.13,10.3,12.61,11.11,13.99,12.49,7.83,51.23,44.93,0.34,1.34,0.0,0.5,1.66,1.49,50.93,21.94,27.2,17.01,11.89,21.73,37.93,2.67,15.53,89.86,10.14,39
Alabama,Calhoun,47.77,52.23,7.05,16.54,8.6,11.93,11.89,12.5,13.93,10.57,6.98,73.35,21.09,0.32,0.82,0.29,1.66,2.48,3.83,71.87,17.35,23.5,19.51,13.68,24.45,39.24,2.8,16.8,90.01,9.99,43
Alabama,Chambers,47.7,52.3,7.16,14.67,8.95,10.97,11.12,13.49,14.45,11.86,7.33,56.94,39.97,0.19,1.11,0.03,0.8,0.96,2.54,55.13,17.96,27.22,20.11,15.97,18.28,41.38,1.58,16.02,90.78,9.22,47
Alabama,Cherokee,49.52,50.48,5.04,15.17,7.67,8.67,11.0,14.04,15.88,13.71,8.82,92.23,4.61,0.58,0.1,0.0,0.82,1.66,1.68,91.49,17.61,27.05,20.58,12.32,22.41,37.07,1.66,18.53,90.46,9.54,51
Alabama,Chilton,48.63,51.37,7.54,17.64,8.06,11.39,12.85,12.89,13.24,9.84,6.55,82.21,9.54,1.15,0.45,0.0,3.59,3.06,7.8,79.98,18.37,21.39,23.38,15.97,20.67,38.2,2.47,17.77,88.26,11.74,56
Alabama,Choctaw,47.31,52.69,6.0,15.79,7.02,10.21,9.59,13.19,15.43,12.87,9.91,56.75,42.42,0.06,0.2,0.0,0.09,0.48,0.55,56.33,25.06,26.32,11.36,12.43,24.47,32.01,2.3,21.12,89.92,10.08,58
Alabama,Clarke,47.54,52.46,6.54,16.48,8.87,9.34,11.77,13.15,14.38,10.88,8.6,52.33,45.9,0.08,0.46,0.0,0.2,1.03,0.59,52.12,27.69,23.2,17.63,9.36,21.74,31.98,3.83,21.69,90.35,9.65,61
Alabama,Clay,48.31,51.69,6.37,16.96,7.67,10.17,11.21,13.23,15.11,11.51,7.76,83.34,15.28,0.15,0.25,0.0,0.05,0.93,3.14,80.39,17.72,30.14,20.6,11.84,19.7,38.03,2.18,17.19,91.51,8.49,65
Alabama,Cleburne,48.4,51.6,7.44,16.88,6.4,10.55,11.12,13.94,13.36,12.13,8.18,93.49,2.46,0.12,0.01,0.0,1.91,2.02,2.49,92.83,20.72,19.78,23.13,15.94,20.36,36.77,1.11,17.5,87.85,12.15,67
