State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Alaska,Aleutians East,1951,1433,138,324,295,453,538,709,546,266,115,496,128,1382,815,11,175,377,295,447,304,406,360,393,891,2082,84,375,2039,1345,346
Alaska,Aleutians West,3415,2030,260,852,425,782,898,1086,712,351,79,1334,136,595,2338,170,313,559,772,1161,130,320,717,918,2370,3404,138,361,4508,937,381
Alaska,Anchorage,139696,140630,25233,48803,26761,41756,36487,34929,35004,21086,10267,170597,14254,21179,28315,8104,6515,31362,25747,158709,19476,35011,46449,41565,135898,135242,6849,32846,250646,29680,400
Alaska,Bethel,9219,8778,2377,4433,1784,2465,1906,1815,1868,923,426,1815,131,15048,212,44,44,703,344,1662,3296,4085,3287,1993,4574,5908,1299,2631,14860,3137,411
Alaska,Bristol Bay,402,323,62,84,27,69,117,112,168,52,34,374,0,225,17,9,21,79,72,347,42,88,101,121,297,392,17,84,608,117,423
Alaska,Denali,1289,1144,39,232,324,289,346,374,567,164,98,1977,44,43,51,0,10,308,31,1977,160,194,186,273,793,1595,61,244,2118,315,426
Alaska,Dillingham,2518,2397,547,1072,487,682,593,450,540,391,153,801,73,3649,20,3,34,335,148,722,585,1025,910,660,1347,1703,246,803,3995,920,445
Alaska,Fairbanks North Star,46553,44524,9135,15761,10552,13105,11280,10402,10622,7215,3005,67153,3804,7422,3136,540,1556,7466,7068,62764,5413,14083,14929,13164,42203,40234,3108,12619,82547,8530,454
Alaska,Haines,1410,1132,182,677,27,213,300,332,226,473,112,1962,0,162,45,4,1,368,132,1835,259,436,495,226,1089,843,93,162,2301,241,462
Alaska,Hoonah-Angoon,1147,986,88,203,124,192,233,343,467,346,137,1046,72,710,49,0,21,235,198,973,241,382,414,286,659,940,109,310,1644,489,476
