"GEO_ID","STATE","COUNTY","NAME","POPUNI","PRED0_E","PRED0_M","PRED0_PE","PRED0_PM","PRED12_E","PRED12_M","PRED12_PE","PRED12_PM","PRED3_E","PRED3_M","PRED3_PE","PRED3_PM"
0500000US01001,01,001,"Autauga County, Alabama",58914,21939,5332.9,37.24,9.05,24867,5490.6,42.21,9.32,12108,4588.2,20.55,7.79
0500000US01003,01,003,"Baldwin County, Alabama",237874,81276,19891,34.17,8.36,101767,20773.6,42.78,8.73,54831,17798.9,23.05,7.48
0500000US01005,01,005,"Barbour County, Alabama",22301,5294,1837.6,23.74,8.24,9536,2133.5,42.76,9.57,7471,2033.5,33.5,9.12
0500000US01007,01,007,"Bibb County, Alabama",20533,6532,1833.6,31.81,8.93,7912,1979.1,38.53,9.64,6089,1785.9,29.65,8.7
0500000US01009,01,009,"Blount County, Alabama",58917,16899,4630.9,28.68,7.86,27353,4960.7,46.43,8.42,14665,4414,24.89,7.49
0500000US01011,01,011,"Bullock County, Alabama",8751,1437,784.1,16.42,8.96,3694,960.2,42.21,10.97,3620,939.4,41.37,10.73
0500000US01013,01,013,"Butler County, Alabama",18867,5099,1564.2,27.03,8.29,7938,1784.4,42.07,9.46,5830,1691.7,30.9,8.97
0500000US01015,01,015,"Calhoun County, Alabama",113591,33203,9686.2,29.23,8.53,48488,10290.6,42.69,9.06,31900,9080.4,28.08,7.99
0500000US01017,01,017,"Chambers County, Alabama",34404,9498,2771.2,27.61,8.05,14533,3120.3,42.24,9.07,10373,2932.2,30.15,8.52
0500000US01019,01,019,"Cherokee County, Alabama",24955,6851,2057.9,27.45,8.25,10797,2215.8,43.27,8.88,7307,2016.8,29.28,8.08
0500000US01021,01,021,"Chilton County, Alabama",45124,14736,3837.9,32.66,8.51,18831,4130.9,41.73,9.15,11557,3688,25.61,8.17
0500000US01023,01,023,"Choctaw County, Alabama",12501,3018,1035,24.14,8.28,5040,1168.6,40.32,9.35,4443,1109,35.54,8.87
0500000US01025,01,025,"Clarke County, Alabama",22688,5596,1942.8,24.67,8.56,10547,2203.2,46.49,9.71,6545,2087.8,28.85,9.2
0500000US01027,01,027,"Clay County, Alabama",14114,4589,1238.1,32.51,8.77,5322,1342.3,37.71,9.51,4203,1229.2,29.78,8.71
0500000US01029,01,029,"Cleburne County, Alabama",15026,4713,1318.7,31.37,8.78,5342,1398.7,35.55,9.31,4971,1240.8,33.08,8.26
0500000US01031,01,031,"Coffee County, Alabama",53952,18927,4331.9,35.08,8.03,22380,4555.2,41.48,8.44,12645,3921.7,23.44,7.27
0500000US01033,01,033,"Colbert County, Alabama",57316,20248,5040.5,35.33,8.79,21535,5208.9,37.57,9.09,15533,4464.2,27.1,7.79
0500000US01035,01,035,"Conecuh County, Alabama",11305,2507,1062.3,22.18,9.4,5402,1234.6,47.78,10.92,3396,1186.9,30.04,10.5
0500000US01037,01,037,"Coosa County, Alabama",10279,2272,909.7,22.1,8.85,4593,1015.9,44.68,9.88,3414,955.1,33.21,9.29
0500000US01039,01,039,"Covington County, Alabama",37363,10249,2999.3,27.43,8.03,15355,3251.7,41.1,8.7,11759,2973.5,31.47,7.96
0500000US01041,01,041,"Crenshaw County, Alabama",13083,3268,1097.1,24.98,8.39,6016,1196.9,45.98,9.15,3799,1102.1,29.04,8.42
0500000US01043,01,043,"Cullman County, Alabama",88991,29629,6851.7,33.29,7.7,39093,7269.9,43.93,8.17,20269,6419.7,22.78,7.21
0500000US01045,01,045,"Dale County, Alabama",49276,16072,3734.9,32.62,7.58,20086,4107.6,40.76,8.34,13118,3714.2,26.62,7.54
0500000US01047,01,047,"Dallas County, Alabama",37371,8864,3213.3,23.72,8.6,14896,3764.4,39.86,10.07,13611,3595,36.42,9.62
0500000US01049,01,049,"DeKalb County, Alabama",71627,19799,5803.5,27.64,8.1,30804,6316.7,43.01,8.82,21024,5665.8,29.35,7.91
0500000US01051,01,051,"Elmore County, Alabama",85381,29943,7002.3,35.07,8.2,35926,7484.1,42.08,8.77,19512,6643.5,22.85,7.78
0500000US01053,01,053,"Escambia County, Alabama",34461,8796,2798.1,25.52,8.12,14480,3111.7,42.02,9.03,11185,2884,32.46,8.37
0500000US01055,01,055,"Etowah County, Alabama",101975,31330,8695.5,30.72,8.53,43806,9311.2,42.96,9.13,26839,8328.9,26.32,8.17
0500000US01057,01,057,"Fayette County, Alabama",16055,4698,1340,29.26,8.35,6320,1449.5,39.36,9.03,5037,1323.2,31.37,8.24
0500000US01059,01,059,"Franklin County, Alabama",31930,8470,2857.8,26.53,8.95,13499,3147.9,42.28,9.86,9961,2858,31.2,8.95
0500000US01061,01,061,"Geneva County, Alabama",26658,5816,2075.3,21.82,7.78,11968,2243.7,44.89,8.42,8874,2040.2,33.29,7.65
0500000US01063,01,063,"Greene County, Alabama",7629,1135,704.6,14.88,9.24,2904,873.9,38.07,11.45,3590,862.5,47.06,11.31
0500000US01065,01,065,"Hale County, Alabama",14712,2982,1315,20.27,8.94,6365,1517.5,43.26,10.31,5365,1447.4,36.47,9.84
0500000US01067,01,067,"Henry County, Alabama",17407,5278,1646.1,30.32,9.46,7808,1799.3,44.86,10.34,4321,1652,24.82,9.49
0500000US01069,01,069,"Houston County, Alabama",106862,31428,6785.2,29.41,6.35,45938,7174.7,42.99,6.71,29496,6258.1,27.6,5.86
0500000US01071,01,071,"Jackson County, Alabama",52574,15666,4156,29.8,7.91,21167,4452.1,40.26,8.47,15741,3999.2,29.94,7.61
0500000US01073,01,073,"Jefferson County, Alabama",657778,230797,57550.4,35.09,8.75,268482,60415,40.82,9.18,158499,52181.8,24.1,7.93
0500000US01075,01,075,"Lamar County, Alabama",13644,4346,1178.3,31.85,8.64,5515,1269.9,40.42,9.31,3783,1158.7,27.73,8.49
0500000US01077,01,077,"Lauderdale County, Alabama",92289,28470,7737.6,30.85,8.38,39605,8068.9,42.91,8.74,24214,6987.4,26.24,7.57
0500000US01079,01,079,"Lawrence County, Alabama",33001,10587,2965.2,32.08,8.99,14498,3175.5,43.93,9.62,7916,2831.2,23.99,8.58
0500000US01081,01,081,"Lee County, Alabama",172564,64235,16117.5,37.22,9.34,72690,16548,42.12,9.59,35639,13652.5,20.65,7.91
0500000US01083,01,083,"Limestone County, Alabama",105064,39244,9334.8,37.35,8.88,43615,9645.7,41.51,9.18,22205,8055.9,21.13,7.67
0500000US01085,01,085,"Lowndes County, Alabama",9931,2150,813.7,21.65,8.19,4196,966.5,42.25,9.73,3585,938.6,36.1,9.45
0500000US01087,01,087,"Macon County, Alabama",17305,3754,1378.6,21.69,7.97,7681,1657.5,44.39,9.58,5870,1616.3,33.92,9.34
0500000US01089,01,089,"Madison County, Alabama",389640,160523,34309.1,41.2,8.81,154175,35191,39.57,9.03,74942,29294.4,19.23,7.52
0500000US01091,01,091,"Marengo County, Alabama",18927,5571,1619.4,29.43,8.56,7133,1850.2,37.69,9.78,6223,1757.4,32.88,9.29
0500000US01093,01,093,"Marion County, Alabama",28771,8572,2659.6,29.79,9.24,11801,2843.6,41.02,9.88,8398,2554.4,29.19,8.88
0500000US01095,01,095,"Marshall County, Alabama",97828,28638,7252.3,29.27,7.41,43114,7900.4,44.07,8.08,26076,7081.5,26.65,7.24
0500000US01097,01,097,"Mobile County, Alabama",409023,130402,36564.7,31.88,8.94,171365,38411,41.9,9.39,107256,33176.2,26.22,8.11
0500000US01099,01,099,"Monroe County, Alabama",19624,4465,1721.4,22.75,8.77,8321,1944.4,42.4,9.91,6838,1827.6,34.85,9.31
0500000US01101,01,101,"Montgomery County, Alabama",220788,64372,19383.9,29.16,8.78,91976,21187.3,41.66,9.6,64440,19059.6,29.19,8.63
