Latitude,Longitude,University,City,State,Zip,Online,NLN AD,NLN BSN,CCNE BSN,CCNE MSN,CCNE DNP,CCNE Post-Grad,ACEN Associate,ACEN Baccalaureate,ACEN Master's,ACEN Master's/Post-Master's Certificate,ACEN Clinical Doctorate/DNPSC
32.46973038,-99.70809937,Abilene Christian University,Abilene,TX,79601,0,0,0,1,0,1,0,0,0,0,0,0
37.47462463,-105.8806534,Adams State University,Alamosa,CO,81101,0,0,0,1,0,0,0,0,0,0,0,0
40.72000885,-73.65444946,Adelphi University,Garden City,NY,11530,0,0,0,1,1,1,0,0,0,0,0,0
28.57626343,-81.36981964,AdventHealth University,Orlando,FL,32803,0,0,0,1,1,0,0,0,0,0,0,0
42.25523758,-77.79465485,Alfred State College SUNY College of Technology,Alfred,NY,14802,0,0,0,1,0,0,0,0,0,0,0,0
42.53027725,-92.34009552,Allen College,Waterloo,IA,50703,0,0,0,1,1,1,1,0,0,0,0,0
43.38075638,-84.67280579,Alma College,Alma,MI,48801,0,0,0,1,0,0,0,0,0,0,0,0
40.311203,-75.93167114,Alvernia University,Reading,PA,19607,0,0,0,1,1,1,0,0,0,0,0,0
42.98345566,-87.96498871,Alverno College,Milwaukee,WI,53234,0,0,0,1,1,1,1,0,0,0,0,0
39.7696991,-86.16022491,American College of Education,Indianapolis,IN,46204,0,0,0,1,1,0,0,0,0,0,0,0
42.11292267,-72.55732727,American International College,Springfield,MA,01109,0,0,0,1,1,0,0,0,0,0,0,0
39.28778076,-77.86227417,American Public University System,Charles Town,WV,25414,0,0,0,1,1,0,0,0,0,0,0,0
40.75284195,-73.96942139,American University of Beirut,New York,NY,10017,0,0,0,1,1,0,0,0,0,0,0,0
33.79685593,-118.1713715,American University of Health Sciences,Signal Hill,CA,90755,0,0,0,1,1,0,1,0,0,0,0,0
40.11137772,-85.6674118,Anderson University - IN,Anderson,IN,46012,0,0,0,1,0,0,0,0,0,0,0,0
34.51461029,-82.63948059,Anderson University - SC,Anderson,SC,29621,0,0,0,1,1,1,1,0,0,0,0,0
34.06150436,-118.2993088,Angeles College,Los Angeles,CA,90010,0,0,0,1,0,0,0,0,0,0,0,0
31.43826866,-100.4602737,Angelo State University,San Angelo,TX,76909,0,0,0,1,1,0,1,0,0,0,0,0
36.21356201,-81.68431854,Appalachian State University,Boone,NC,28608,0,0,0,1,1,0,0,0,0,0,0,0
33.40315247,-111.9681625,Arizona College of Nursing,Tempe,AZ,85281,0,0,0,1,0,0,0,0,0,0,0,0
33.45322037,-112.0741806,Arizona State University,Phoenix,AZ,85281,0,0,0,1,1,1,0,0,0,0,0,0
40.86201859,-82.32257843,Ashland University,Mansfield,OH,44904,0,0,0,1,0,1,0,0,0,0,0,0
39.68614578,-104.9391327,Aspen University,Phoenix,AZ,85021,0,0,0,1,1,1,0,0,0,0,0,0
18.42966461,-66.48836517,Atenas College,Manati,PR,00674,0,0,0,1,0,0,0,0,0,0,0,0
32.59335709,-85.49516296,Auburn University,Auburn University,AL,36849,0,0,0,1,1,1,1,0,0,0,0,0
44.96592331,-93.24068451,Augsburg University,Minneapolis,MN,55454,0,0,0,1,1,1,0,0,0,0,0,0
33.47090912,-81.98988342,Augusta University,Augusta,GA,30912,0,0,0,1,1,1,1,0,0,0,0,0
43.52243042,-96.73936462,Augustana University,Sioux Falls,SD,57197,0,0,0,1,0,0,0,0,0,0,0,0
40.79475784,-81.40421295,Aultman College of Nursing and Health Sciences,Canton,OH,44710,0,0,0,1,0,0,0,0,0,0,0,0
41.75441742,-88.34947968,Aurora University,Aurora,IL,60506,0,0,0,1,0,0,0,0,0,0,0,0
36.53498077,-87.35488892,Austin Peay State University,Clarksville,TN,37044,0,0,0,1,1,0,1,0,0,0,0,0
36.57838058,-79.41338348,Averett University,Danville,VA,24541,0,0,0,1,1,0,1,0,0,0,0,0
38.91236496,-94.59146881,Avila University,Kansas City,MO,64145,0,0,0,1,0,0,0,0,0,0,0,0
34.13007736,-117.8883591,Azusa Pacific University,Azusa,CA,91702,0,0,0,1,1,1,1,0,0,0,0,0
42.98457336,-84.17657471,Baker College,Owosso,MI,48867,0,0,0,1,1,0,0,0,0,0,0,0
38.77905273,-95.1893692,Baker University,Topeka,KS,66604,0,0,0,1,1,0,0,0,0,0,0,0
41.37111664,-81.84780884,Baldwin Wallace University,Berea,OH,44017,0,0,0,1,0,0,0,0,0,0,0,0
