state,declarationDate,incidentType,designatedArea,FID
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Alleghany,1970
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Ashe,1975
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Buncombe,1422
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Burke,1424
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Avery,1977
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Haywood,1512
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Jackson,1528
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),McDowell,1554
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Madison,1560
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Caldwell,1429
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Mitchell,1568
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Watauga,1813
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Yancey,1823
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Bradley,68
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Calhoun,72
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Clay,93
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Cleveland,103
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Craighead,114
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Dallas,128
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Drew,136
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Clark,86
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Grant,155
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Greene,162
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Hempstead,172
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Jackson,209
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Jefferson,213
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Lafayette,222
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Lincoln,244
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Lonoke,268
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Miller,287
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Monroe,300
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Nevada,307
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Ouachita,316
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Poinsett,333
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Prairie,345
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Pulaski,350
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),White,428
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Woodruff,435
NJ,2010-02-05T12:20:00.000Z,Snow,Atlantic,1461
NJ,2010-02-05T12:20:00.000Z,Snow,Burlington,1470
NJ,2010-02-05T12:20:00.000Z,Snow,Camden,1472
NJ,2010-02-05T12:20:00.000Z,Snow,Cumberland,1482
NJ,2010-02-05T12:20:00.000Z,Snow,Ocean,1546
NJ,2010-02-05T12:20:00.000Z,Snow,Salem,1553
VA,2010-02-16T13:30:00.000Z,Snow,Albemarle,2728
NJ,2010-02-05T12:20:00.000Z,Snow,Gloucester,1484
VA,2010-02-16T13:30:00.000Z,Snow,Alleghany,2733
VA,2010-02-16T13:30:00.000Z,Snow,Arlington,2753
VA,2010-02-16T13:30:00.000Z,Snow,Augusta,2758
VA,2010-02-16T13:30:00.000Z,Snow,Bath,2763
VA,2010-02-16T13:30:00.000Z,Snow,Amherst,2746
VA,2010-02-16T13:30:00.000Z,Snow,Botetourt,2776
VA,2010-02-16T13:30:00.000Z,Snow,Buchanan,2784
VA,2010-02-16T13:30:00.000Z,Snow,Caroline,2793
VA,2010-02-16T13:30:00.000Z,Snow,Bedford City,2713
VA,2010-02-16T13:30:00.000Z,Snow,Craig,2820
VA,2010-02-16T13:30:00.000Z,Snow,Culpeper,2824
VA,2010-02-16T13:30:00.000Z,Snow,Dickenson,2832
VA,2010-02-16T13:30:00.000Z,Snow,Fairfax City,2737
VA,2010-02-16T13:30:00.000Z,Snow,Grayson,2896
VA,2010-02-16T13:30:00.000Z,Snow,Greene,2899
VA,2010-02-16T13:30:00.000Z,Snow,Hanover,2909
VA,2010-02-16T13:30:00.000Z,Snow,Highland,2920
VA,2010-02-16T13:30:00.000Z,Snow,King George,2938
VA,2010-02-16T13:30:00.000Z,Snow,Lee,2950
VA,2010-02-16T13:30:00.000Z,Snow,Louisa,2953
VA,2010-02-16T13:30:00.000Z,Snow,Madison,2955
VA,2010-02-16T13:30:00.000Z,Snow,Montgomery,2966
VA,2010-02-16T13:30:00.000Z,Snow,Nelson,2968
VA,2010-02-16T13:30:00.000Z,Snow,Orange,2985
VA,2010-02-16T13:30:00.000Z,Snow,Page,2986
VA,2010-02-16T13:30:00.000Z,Snow,Prince William,2992
VA,2010-02-16T13:30:00.000Z,Snow,Roanoke City,2805
VA,2010-02-16T13:30:00.000Z,Snow,Rockbridge,2997
VA,2010-02-16T13:30:00.000Z,Snow,Russell,2999
VA,2010-02-16T13:30:00.000Z,Snow,Scott,2585
VA,2010-02-16T13:30:00.000Z,Snow,Spotsylvania,2619
VA,2010-02-16T13:30:00.000Z,Snow,Stafford,2629
VA,2010-02-16T13:30:00.000Z,Snow,Tazewell,2656
VA,2010-02-16T13:30:00.000Z,Snow,Wise,2695
VA,2010-02-16T13:30:00.000Z,Snow,Alexandria,2712
VA,2010-02-16T13:30:00.000Z,Snow,Buena Vista,2720
VA,2010-02-16T13:30:00.000Z,Snow,Charlottesville,2722
VA,2010-02-16T13:30:00.000Z,Snow,Covington,2729
VA,2010-02-16T13:30:00.000Z,Snow,Fairfax City,2737
VA,2010-02-16T13:30:00.000Z,Snow,Falls Church,2740
VA,2010-02-16T13:30:00.000Z,Snow,Fredericksburg,2745
VA,2010-02-16T13:30:00.000Z,Snow,Galax,2747
