state,declarationDate,incidentType,designatedArea,FID
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Eastern Cherokee,217
ND,2010-02-26T16:25:00.000Z,Severe Storm(s),Standing Rock,324
SD,2010-03-09T18:30:00.000Z,Severe Storm(s),Pine Ridge,293
SD,2010-03-09T18:30:00.000Z,Severe Storm(s),Rosebud,118
SD,2010-03-10T14:00:00.000Z,Severe Storm(s),Cheyenne River,27
SD,2010-03-10T14:00:00.000Z,Severe Storm(s),Standing Rock,325
SD,2010-03-10T14:00:00.000Z,Severe Storm(s),Lake Traverse,74
AZ,2010-03-18T13:40:00.000Z,Severe Storm(s),Fort Apache,223
AZ,2010-03-18T13:40:00.000Z,Severe Storm(s),Gila River,233
AZ,2010-03-18T13:40:00.000Z,Severe Storm(s),Hopi,57
AZ,2010-03-18T13:40:00.000Z,Severe Storm(s),Navajo Nation,93
AZ,2010-03-18T13:40:00.000Z,Severe Storm(s),San Carlos,309
AZ,2010-03-18T13:40:00.000Z,Severe Storm(s),Tohono O'odham Nation,152
MN,2010-04-19T16:30:00.000Z,Flood,Upper Sioux,165
MN,2010-04-19T16:30:00.000Z,Flood,Prairie Island,110
ND,2010-04-21T12:20:00.000Z,Severe Storm(s),Standing Rock,324
ND,2010-04-30T17:37:00.000Z,Flood,Spirit Lake,322
MT,2010-07-10T10:00:00.000Z,Severe Storm(s),Rocky Boy's,117
WY,2010-07-14T18:18:00.000Z,Flood,Wind River,173
SD,2010-07-29T14:05:00.000Z,Severe Storm(s),Cheyenne River,27
NM,2010-09-13T15:25:00.000Z,Flood,Navajo Nation Reservation,94
NM,2010-09-13T15:25:00.000Z,Flood,Acoma,8
AZ,2010-10-04T14:33:00.000Z,Severe Storm(s),Hopi,57
SD,2010-11-02T20:00:00.000Z,Severe Storm(s),Flandreau,221
AZ,2010-12-21T18:22:00.000Z,Severe Storm(s),Havasupai,238
CT,2011-03-03T17:50:00.000Z,Snow,Paucatuck Eastern Pequot,365
CT,2011-03-03T17:50:00.000Z,Snow,Mashantucket Pequot,82
NM,2011-03-24T13:46:00.000Z,Severe Storm(s),Acoma,8
NM,2011-03-24T13:46:00.000Z,Severe Storm(s),Mescalero,270
NM,2011-03-24T13:46:00.000Z,Severe Storm(s),Picuris,291
NM,2011-03-24T13:46:00.000Z,Severe Storm(s),Pojoaque,106
NM,2011-03-24T13:46:00.000Z,Severe Storm(s),San Felipe,310
NM,2011-03-24T13:46:00.000Z,Severe Storm(s),San Felipe,310
NM,2011-03-24T13:46:00.000Z,Severe Storm(s),Santa Ana,312
NM,2011-03-24T13:46:00.000Z,Severe Storm(s),Santa Clara,126
ND,2011-05-10T19:00:00.000Z,Flood,Fort Berthold,224
ND,2011-05-10T19:00:00.000Z,Flood,Turtle Mountain,159
ND,2011-05-10T19:00:00.000Z,Flood,Standing Rock,324
ND,2011-05-10T19:00:00.000Z,Flood,Spirit Lake,322
MN,2011-05-10T19:08:00.000Z,Flood,Red Lake,302
ID,2011-05-20T12:30:00.000Z,Flood,Nez Perce,275
AK,2011-06-10T15:30:00.000Z,Flood,Crooked Creek,442
AK,2011-06-10T15:30:00.000Z,Flood,Red Devil,566
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Northern Cheyenne,98
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Rocky Boy's,117
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Fort Peck,48
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Blackfeet,19
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Crow,34
MT,2011-06-17T06:30:00.000Z,Severe Storm(s),Fort Belknap,42
NM,2011-06-26T22:31:00.000Z,Fire,Cochiti,202
NM,2011-06-26T22:31:00.000Z,Fire,Jemez,248
NM,2011-06-26T22:31:00.000Z,Fire,Santa Clara,126
AZ,2010-01-24T22:00:00.000Z,Severe Storm(s),Hopi,57
AZ,2010-01-24T22:00:00.000Z,Severe Storm(s),Navajo Nation,93
ND,2010-03-14T00:00:00.000Z,Flood,Spirit Lake,322
MN,2010-03-19T19:35:00.000Z,Flood,Upper Sioux,165
ND,2011-04-07T20:00:00.000Z,Flood,Standing Rock,324
VA,2012-10-29T23:43:00.000Z,Hurricane,Pamunkey,364
VA,2012-10-29T23:43:00.000Z,Hurricane,Mattaponi,362
CT,2013-02-10T00:47:00.000Z,Severe Storm(s),Mashantucket Pequot,82
WA,2015-08-21T11:44:00.000Z,Fire,Colville,29
WA,2015-08-21T11:44:00.000Z,Fire,Kalispel,66
WA,2015-08-21T11:44:00.000Z,Fire,Spokane,138
WA,2015-08-21T11:44:00.000Z,Fire,Yakama Nation,176
WA,2014-07-23T00:41:00.000Z,Fire,Colville,29
SC,2015-10-03T14:28:00.000Z,Severe Storm(s),Catawba,24
SC,2016-10-06T18:00:00.000Z,Hurricane,Catawba,24
SC,2017-09-07T15:00:00.000Z,Hurricane,Catawba,24
