state,declarationDate,incidentType,designatedArea
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Eastern Band of Cherokee Indians of North Carolina
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Alleghany (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Ashe (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Buncombe (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Burke (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Avery (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Haywood (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Jackson (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),McDowell (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Madison (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Caldwell (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Mitchell (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Watauga (County)
NC,2010-02-02T15:24:00.000Z,Severe Storm(s),Yancey (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Bradley (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Calhoun (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Clay (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Cleveland (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Craighead (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Dallas (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Drew (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Clark (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Grant (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Greene (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Hempstead (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Jackson (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Jefferson (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Lafayette (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Lincoln (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Lonoke (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Miller (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Monroe (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Nevada (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Ouachita (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Poinsett (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Prairie (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Pulaski (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),White (County)
AR,2010-02-04T12:23:00.000Z,Severe Storm(s),Woodruff (County)
NJ,2010-02-05T12:20:00.000Z,Snow,Atlantic (County)
NJ,2010-02-05T12:20:00.000Z,Snow,Burlington (County)
NJ,2010-02-05T12:20:00.000Z,Snow,Camden (County)
NJ,2010-02-05T12:20:00.000Z,Snow,Cumberland (County)
NJ,2010-02-05T12:20:00.000Z,Snow,Ocean (County)
NJ,2010-02-05T12:20:00.000Z,Snow,Salem (County)
VA,2010-02-16T13:30:00.000Z,Snow,Albemarle (County)
NJ,2010-02-05T12:20:00.000Z,Snow,Gloucester (County)
VA,2010-02-16T13:30:00.000Z,Snow,Alleghany (County)
VA,2010-02-16T13:30:00.000Z,Snow,Arlington (County)
VA,2010-02-16T13:30:00.000Z,Snow,Augusta (County)
VA,2010-02-16T13:30:00.000Z,Snow,Bath (County)
VA,2010-02-16T13:30:00.000Z,Snow,Amherst (County)
VA,2010-02-16T13:30:00.000Z,Snow,Botetourt (County)
VA,2010-02-16T13:30:00.000Z,Snow,Buchanan (County)
VA,2010-02-16T13:30:00.000Z,Snow,Caroline (County)
VA,2010-02-16T13:30:00.000Z,Snow,Bedford (County)
VA,2010-02-16T13:30:00.000Z,Snow,Craig (County)
VA,2010-02-16T13:30:00.000Z,Snow,Culpeper (County)
VA,2010-02-16T13:30:00.000Z,Snow,Dickenson (County)
VA,2010-02-16T13:30:00.000Z,Snow,Fairfax (County)
VA,2010-02-16T13:30:00.000Z,Snow,Grayson (County)
VA,2010-02-16T13:30:00.000Z,Snow,Greene (County)
VA,2010-02-16T13:30:00.000Z,Snow,Hanover (County)
VA,2010-02-16T13:30:00.000Z,Snow,Highland (County)
VA,2010-02-16T13:30:00.000Z,Snow,King George (County)
VA,2010-02-16T13:30:00.000Z,Snow,Lee (County)
VA,2010-02-16T13:30:00.000Z,Snow,Louisa (County)
VA,2010-02-16T13:30:00.000Z,Snow,Madison (County)
VA,2010-02-16T13:30:00.000Z,Snow,Montgomery (County)
VA,2010-02-16T13:30:00.000Z,Snow,Nelson (County)
VA,2010-02-16T13:30:00.000Z,Snow,Orange (County)
VA,2010-02-16T13:30:00.000Z,Snow,Page (County)
VA,2010-02-16T13:30:00.000Z,Snow,Prince William (County)
VA,2010-02-16T13:30:00.000Z,Snow,Roanoke (County)
VA,2010-02-16T13:30:00.000Z,Snow,Rockbridge (County)
VA,2010-02-16T13:30:00.000Z,Snow,Russell (County)
VA,2010-02-16T13:30:00.000Z,Snow,Scott (County)
VA,2010-02-16T13:30:00.000Z,Snow,Spotsylvania (County)
VA,2010-02-16T13:30:00.000Z,Snow,Stafford (County)
VA,2010-02-16T13:30:00.000Z,Snow,Tazewell (County)
VA,2010-02-16T13:30:00.000Z,Snow,Wise (County)
VA,2010-02-16T13:30:00.000Z,Snow,Alexandria
VA,2010-02-16T13:30:00.000Z,Snow,Buena Vista
VA,2010-02-16T13:30:00.000Z,Snow,Charlottesville
VA,2010-02-16T13:30:00.000Z,Snow,Covington
VA,2010-02-16T13:30:00.000Z,Snow,Fairfax
VA,2010-02-16T13:30:00.000Z,Snow,Falls Church
VA,2010-02-16T13:30:00.000Z,Snow,Fredericksburg
VA,2010-02-16T13:30:00.000Z,Snow,Galax
VA,2010-02-16T13:30:00.000Z,Snow,Manassas
VA,2010-02-16T13:30:00.000Z,Snow,Manassas Park
VA,2010-02-16T13:30:00.000Z,Snow,Norton
VA,2010-02-16T13:30:00.000Z,Snow,Radford
VA,2010-02-16T13:30:00.000Z,Snow,Roanoke
VA,2010-02-16T13:30:00.000Z,Snow,Staunton
VA,2010-02-16T13:30:00.000Z,Snow,Waynesboro
MD,2010-02-19T19:44:00.000Z,Snow,Anne Arundel (County)
MD,2010-02-19T19:44:00.000Z,Snow,Baltimore (County)
MD,2010-02-19T19:44:00.000Z,Snow,Caroline (County)
MD,2010-02-19T19:44:00.000Z,Snow,Cecil (County)
MD,2010-02-19T19:44:00.000Z,Snow,Charles (County)
MD,2010-02-19T19:44:00.000Z,Snow,Harford (County)
MD,2010-02-19T19:44:00.000Z,Snow,Howard (County)
MD,2010-02-19T19:44:00.000Z,Snow,Kent (County)
MD,2010-02-19T19:44:00.000Z,Snow,Montgomery (County)
MD,2010-02-19T19:44:00.000Z,Snow,Queen Anne's (County)
MD,2010-02-19T19:44:00.000Z,Snow,Baltimore
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Alfalfa (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Beckham (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Bryan (County)
MD,2010-02-19T19:44:00.000Z,Snow,Talbot (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Caddo (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Canadian (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Carter (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Cherokee (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Cleveland (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Cotton (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Craig (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Creek (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Delaware (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Dewey (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Garvin (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Comanche (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Grady (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Greer (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Harmon (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Haskell (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Jackson (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Hughes (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Jefferson (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Kay (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Le Flore (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Lincoln (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Logan (County)
OK,2010-02-25T12:50:00.000Z,Severe Storm(s),Love (County)
