State,designatedArea,disasterType,Freq,FEMA_Object_ID
Washington,Adams,Biological,2,1234
Washington,Asotin,Biological,2,1235
Washington,Benton,Biological,2,1236
Washington,Chelan,Biological,2,107
Washington,Clallam,Biological,2,108
Washington,Clark,Biological,2,109
Washington,Columbia,Biological,2,1237
Washington,Cowlitz,Biological,2,110
Washington,Douglas,Biological,2,1238
Washington,Ferry,Biological,2,1239
Washington,Franklin,Biological,2,1240
Washington,Garfield,Biological,2,1241
Washington,Grant,Biological,2,1242
Washington,Grays Harbor,Biological,2,111
Washington,Island,Biological,2,112
Washington,Jefferson,Biological,2,113
Washington,King,Biological,2,114
Washington,Kitsap,Biological,2,115
Washington,Kittitas,Biological,2,116
Washington,Klickitat,Biological,2,117
Washington,Lewis,Biological,2,118
Washington,Lincoln,Biological,2,1243
Washington,Mason,Biological,2,119
Washington,Okanogan,Biological,2,120
Washington,Pend Oreille,Biological,2,1244
Washington,Pierce,Biological,2,122
Washington,Pacific,Biological,2,121
Washington,Skagit,Biological,2,124
Washington,Skamania,Biological,2,125
Washington,Snohomish,Biological,2,126
Washington,Spokane,Biological,2,1245
Washington,San Juan,Biological,2,123
Washington,Stevens,Biological,2,1246
Washington,Thurston,Biological,2,127
Washington,Wahkiakum,Biological,2,128
Washington,Walla Walla,Biological,2,1247
Washington,Whatcom,Biological,2,129
Washington,Whitman,Biological,2,1248
California,Alameda,Biological,2,30
California,Alpine,Biological,2,146
California,Amador,Biological,2,31
California,Butte,Biological,2,32
California,Calaveras,Biological,2,33
California,Colusa,Biological,2,34
Washington,Yakima,Biological,2,130
California,Contra Costa,Biological,2,35
California,Del Norte,Biological,2,36
California,El Dorado,Biological,2,37
California,Fresno,Biological,2,147
California,Imperial,Biological,2,148
California,Kern,Biological,2,150
California,Inyo,Biological,2,149
California,Kings,Biological,2,40
California,Humboldt,Biological,2,39
California,Glenn,Biological,2,38
California,Lake,Biological,2,41
California,Mariposa,Biological,2,44
California,Marin,Biological,2,43
California,Madera,Biological,2,152
California,Mendocino,Biological,2,45
California,Los Angeles,Biological,2,151
California,Merced,Biological,2,46
California,Modoc,Biological,2,47
California,Lassen,Biological,2,42
California,Mono,Biological,2,153
California,Monterey,Biological,2,48
California,Napa,Biological,2,49
California,Nevada,Biological,2,50
California,Orange,Biological,2,154
California,Placer,Biological,2,51
California,Plumas,Biological,2,52
California,Riverside,Biological,2,155
California,Sacramento,Biological,2,53
California,San Benito,Biological,2,54
California,San Diego,Biological,2,157
California,San Francisco,Biological,2,55
California,San Joaquin,Biological,2,56
California,San Mateo,Biological,2,58
California,San Luis Obispo,Biological,2,57
California,San Bernardino,Biological,2,156
California,Sierra,Biological,2,63
California,Siskiyou,Biological,2,64
California,Shasta,Biological,2,62
California,Solano,Biological,2,65
California,Sonoma,Biological,2,66
California,Stanislaus,Biological,2,67
California,Santa Clara,Biological,2,60
California,Santa Barbara,Biological,2,59
California,Santa Cruz,Biological,2,61
California,Sutter,Biological,2,68
California,Tehama,Biological,2,69
California,Trinity,Biological,2,70
California,Tulare,Biological,2,158
California,Tuolumne,Biological,2,71
California,Ventura,Biological,2,159
California,Yolo,Biological,2,72
California,Yuba,Biological,2,73
Oregon,Baker,Biological,2,1206
Oregon,Benton,Biological,2,79
Oregon,Clackamas,Biological,2,80
Oregon,Clatsop,Biological,2,81
Oregon,Columbia,Biological,2,82
Oregon,Coos,Biological,2,83
Oregon,Crook,Biological,2,84
Oregon,Curry,Biological,2,85
Oregon,Deschutes,Biological,2,86
Oregon,Douglas,Biological,2,87
Oregon,Gilliam,Biological,2,88
Oregon,Grant,Biological,2,238
Oregon,Harney,Biological,2,239
Oregon,Hood River,Biological,2,89
Oregon,Jackson,Biological,2,90
Oregon,Jefferson,Biological,2,91
Oregon,Klamath,Biological,2,93
Oregon,Lane,Biological,2,95
Oregon,Lincoln,Biological,2,96
Oregon,Josephine,Biological,2,92
Oregon,Linn,Biological,2,97
Oregon,Malheur,Biological,2,240
Oregon,Marion,Biological,2,98
Oregon,Lake,Biological,2,94
Oregon,Morrow,Biological,2,1207
Oregon,Multnomah,Biological,2,99
Oregon,Polk,Biological,2,100
Oregon,Sherman,Biological,2,101
Oregon,Tillamook,Biological,2,102
Oregon,Umatilla,Biological,2,1208
Oregon,Union,Biological,2,1209
Oregon,Wallowa,Biological,2,1210
Oregon,Wasco,Biological,2,103
Oregon,Washington,Biological,2,104
Oregon,Wheeler,Biological,2,105
Oregon,Yamhill,Biological,2,106
Maryland,Allegany,Biological,2,2785
Maryland,Anne Arundel,Biological,2,2786
Maryland,Baltimore,Biological,2,2787
Maryland,Calvert,Biological,2,2788
Maryland,Caroline,Biological,2,2789
Maryland,Carroll,Biological,2,2790
Maryland,Frederick,Biological,2,2794
Maryland,Howard,Biological,2,2797
Maryland,Kent,Biological,2,2798
Maryland,Montgomery,Biological,2,2799
Maryland,Harford,Biological,2,2796
Maryland,Garrett,Biological,2,2795
Maryland,Charles,Biological,2,2792
Maryland,Cecil,Biological,2,2791
Maryland,Dorchester,Biological,2,2793
Maryland,Prince George's,Biological,2,2800
Maryland,Queen Anne's,Biological,2,2801
Maryland,St. Mary's,Biological,2,2600
Maryland,Somerset,Biological,2,2601
Maryland,Talbot,Biological,2,2802
Maryland,Washington,Biological,2,2803
Maryland,Wicomico,Biological,2,2804
Maryland,Worcester,Biological,2,2602
Maryland,Baltimore City,Biological,2,2805
Hawaii,Hawaii,Biological,2,74
Hawaii,Honolulu,Biological,2,75
Hawaii,Kauai,Biological,2,77
Hawaii,Maui,Biological,2,78
Florida,Alachua,Biological,2,1270
Florida,Baker,Biological,2,1271
Florida,Bay,Biological,2,1272
Florida,Bradford,Biological,2,1273
Florida,Brevard,Biological,2,1274
Florida,Broward,Biological,2,2595
Florida,Calhoun,Biological,2,1275
Florida,Charlotte,Biological,2,1276
Florida,Clay,Biological,2,1278
Florida,Collier,Biological,2,1279
Florida,Citrus,Biological,2,1277
Florida,DeSoto,Biological,2,1281
Florida,Columbia,Biological,2,1280
Florida,Dixie,Biological,2,1282
Florida,Duval,Biological,2,1283
Florida,Escambia,Biological,2,1284
Florida,Flagler,Biological,2,1285
Florida,Franklin,Biological,2,1286
Florida,Gadsden,Biological,2,1287
Florida,Gilchrist,Biological,2,1288
Florida,Glades,Biological,2,1289
Florida,Gulf,Biological,2,1290
Florida,Hamilton,Biological,2,1291
Florida,Hardee,Biological,2,1292
Florida,Hendry,Biological,2,1293
Florida,Hernando,Biological,2,1294
Florida,Highlands,Biological,2,1295
Florida,Holmes,Biological,2,1297
Florida,Indian River,Biological,2,1298
Florida,Hillsborough,Biological,2,1296
Florida,Jefferson,Biological,2,1300
Florida,Lafayette,Biological,2,1301
Florida,Lake,Biological,2,1302
Florida,Lee,Biological,2,1303
Florida,Leon,Biological,2,1304
Florida,Jackson,Biological,2,1299
Florida,Liberty,Biological,2,1306
Florida,Madison,Biological,2,1307
Florida,Manatee,Biological,2,1308
Florida,Marion,Biological,2,1309
Florida,Martin,Biological,2,2596
Florida,Levy,Biological,2,1305
Florida,Monroe,Biological,2,1310
Florida,Nassau,Biological,2,1311
Florida,Okaloosa,Biological,2,1312
Florida,Okeechobee,Biological,2,1313
Florida,Miami-Dade,Biological,2,2597
Florida,Osceola,Biological,2,1315
Florida,Palm Beach,Biological,2,2598
Florida,Pasco,Biological,2,1316
Florida,Pinellas,Biological,2,1317
Florida,Orange,Biological,2,1314
Florida,Putnam,Biological,2,1319
Florida,St. Johns,Biological,2,1320
Florida,St. Lucie,Biological,2,2599
Florida,Santa Rosa,Biological,2,1321
Florida,Polk,Biological,2,1318
Florida,Sarasota,Biological,2,1322
Florida,Seminole,Biological,2,1323
Florida,Sumter,Biological,2,1324
Florida,Taylor,Biological,2,1326
Florida,Suwannee,Biological,2,1325
Florida,Union,Biological,2,1327
Florida,Volusia,Biological,2,1328
Florida,Wakulla,Biological,2,1329
Florida,Walton,Biological,2,1330
Florida,Washington,Biological,2,1331
New York,Albany,Biological,2,3022
New York,Cayuga,Biological,2,2829
New York,Broome,Biological,2,2827
New York,Cattaraugus,Biological,2,2828
New York,Chautauqua,Biological,2,2830
New York,Chenango,Biological,2,2832
New York,Clinton,Biological,2,3108
New York,Chemung,Biological,2,2831
New York,Bronx,Biological,2,3023
New York,Allegany,Biological,2,2826
New York,Delaware,Biological,2,2834
New York,Dutchess,Biological,2,3025
New York,Erie,Biological,2,2835
New York,Essex,Biological,2,3026
New York,Columbia,Biological,2,3024
New York,Cortland,Biological,2,2833
New York,Franklin,Biological,2,2836
New York,Fulton,Biological,2,2837
New York,Genesee,Biological,2,2838
New York,Greene,Biological,2,2839
New York,Hamilton,Biological,2,2840
New York,Herkimer,Biological,2,2841
New York,Jefferson,Biological,2,2842
New York,Kings,Biological,2,3027
New York,Lewis,Biological,2,2843
New York,Livingston,Biological,2,2844
New York,Madison,Biological,2,2845
New York,Monroe,Biological,2,2846
New York,Montgomery,Biological,2,2847
New York,Nassau,Biological,2,3028
New York,New York,Biological,2,3029
New York,Niagara,Biological,2,2848
New York,Oneida,Biological,2,2849
New York,Onondaga,Biological,2,2850
New York,Ontario,Biological,2,2851
New York,Orange,Biological,2,2852
New York,Orleans,Biological,2,2853
New York,Oswego,Biological,2,2854
New York,Otsego,Biological,2,2855
New York,Putnam,Biological,2,3030
New York,Queens,Biological,2,3031
New York,Rensselaer,Biological,2,3032
New York,Richmond,Biological,2,2856
New York,Rockland,Biological,2,3033
New York,Saratoga,Biological,2,3034
