State,designatedArea,disasterType,Freq,FEMA_Object_ID
Nevada,Washoe,Fire,12,223
Colorado,Jefferson,Fire,1,463
Texas,Jeff Davis,Fire,2,346
Nevada,Douglas,Fire,7,211
New Mexico,Catron,Fire,1,226
New Mexico,Grant,Fire,1,229
New Mexico,Lincoln,Fire,2,788
Colorado,Larimer,Fire,4,467
New Mexico,Sandoval,Fire,2,233
Utah,Utah,Fire,4,265
Colorado,El Paso,Fire,4,457
Colorado,Montezuma,Fire,1,170
Utah,Sanpete,Fire,2,260
Montana,Lewis and Clark,Fire,3,1121
Montana,Musselshell,Fire,2,1129
New Mexico,San Juan,Fire,1,234
Montana,Powder River,Fire,3,1134
Montana,Rosebud,Fire,3,1140
Utah,Millard,Fire,2,254
Utah,Salt Lake,Fire,1,258
Wyoming,Albany,Fire,4,1032
Utah,Kane,Fire,1,253
Wyoming,Weston,Fire,1,1041
South Dakota,Custer,Fire,2,886
Oklahoma,Blaine,Fire,1,805
Wyoming,Converse,Fire,1,1034
Wyoming,Platte,Fire,1,1040
Oklahoma,Cleveland,Fire,3,813
Washington,Chelan,Fire,21,107
Washington,Okanogan,Fire,14,120
Washington,Asotin,Fire,1,1235
Washington,Ferry,Fire,7,1239
Washington,Klickitat,Fire,4,117
Washington,Pend Oreille,Fire,3,1244
Washington,Douglas,Fire,8,1238
Washington,Skamania,Fire,2,125
Washington,Spokane,Fire,7,1245
Washington,Stevens,Fire,5,1246
Washington,Yakima,Fire,7,130
California,Los Angeles,Fire,20,151
California,San Diego,Fire,9,157
California,Santa Barbara,Fire,5,59
California,Ventura,Fire,11,159
California,Riverside,Fire,12,155
California,Shasta,Fire,10,62
California,Butte,Fire,9,32
Oregon,Clackamas,Fire,6,80
Oregon,Douglas,Fire,6,87
Oregon,Jackson,Fire,7,90
Oregon,Klamath,Fire,7,93
Oregon,Lane,Fire,3,95
Oregon,Lincoln,Fire,3,96
Oregon,Marion,Fire,3,98
Oregon,Linn,Fire,3,97
Oregon,Tillamook,Fire,3,102
Oregon,Jefferson,Fire,5,91
Oregon,Washington,Fire,4,104
Colorado,Teller,Fire,2,481
Oklahoma,Creek,Fire,4,818
Colorado,Fremont,Fire,2,458
California,Tuolumne,Fire,3,71
Washington,Kittitas,Fire,9,116
California,Calaveras,Fire,2,33
California,Lake,Fire,12,41
Washington,Whatcom,Fire,2,129
Washington,Lincoln,Fire,4,1243
Tennessee,Sevier,Fire,2,2311
California,Solano,Fire,5,65
California,Mendocino,Fire,5,45
California,Napa,Fire,11,49
California,Nevada,Fire,4,50
California,Orange,Fire,6,154
California,Yuba,Fire,5,73
California,Sonoma,Fire,10,66
Oklahoma,Dewey,Fire,2,821
Oklahoma,Harmon,Fire,1,828
Oklahoma,Roger Mills,Fire,1,864
Oklahoma,Woodward,Fire,5,876
Oklahoma,Custer,Fire,1,819
California,Plumas,Fire,3,52
California,Sierra,Fire,1,63
California,Monterey,Fire,4,48
California,Santa Clara,Fire,2,60
California,Santa Cruz,Fire,2,61
California,Lassen,Fire,3,42
California,Stanislaus,Fire,2,67
California,Trinity,Fire,4,70
California,Tulare,Fire,4,158
California,Yolo,Fire,3,72
California,San Mateo,Fire,2,58
Oregon,Benton,Fire,1,79
Oregon,Columbia,Fire,1,82
Oregon,Coos,Fire,1,83
Oregon,Deschutes,Fire,4,86
Oregon,Josephine,Fire,9,92
Oregon,Multnomah,Fire,2,99
Oregon,Wasco,Fire,7,103
Oregon,Yamhill,Fire,2,106
Oregon,Lake,Fire,3,94
California,Fresno,Fire,3,147
