State,designatedArea,disasterType,Freq,FEMA_Object_ID
North Dakota,Cass,Flood,4,1161
North Dakota,Grand Forks,Flood,4,1170
North Dakota,Pembina,Flood,5,1186
North Dakota,Traill,Flood,5,1201
North Dakota,Walsh,Flood,6,1202
Colorado,Adams,Flood,3,439
Colorado,Arapahoe,Flood,2,441
Colorado,Boulder,Flood,3,444
North Dakota,Richland,Flood,4,1191
Colorado,Broomfield,Flood,1,445
Colorado,Clear Creek,Flood,2,448
Colorado,Denver,Flood,3,453
Colorado,El Paso,Flood,3,457
Colorado,Larimer,Flood,2,467
Colorado,Logan,Flood,3,470
Colorado,Morgan,Flood,3,471
Colorado,Pueblo,Flood,2,476
Colorado,Fremont,Flood,3,458
Colorado,Jefferson,Flood,2,463
Colorado,Washington,Flood,3,482
Colorado,Weld,Flood,2,483
Missouri,Audrain,Flood,1,1884
Missouri,Barton,Flood,3,658
Missouri,Bollinger,Flood,3,1651
Missouri,Boone,Flood,2,1885
Missouri,Butler,Flood,2,1652
Missouri,Callaway,Flood,1,1886
Missouri,Barry,Flood,3,657
Missouri,Camden,Flood,3,1653
Missouri,Cape Girardeau,Flood,4,1654
Missouri,Carter,Flood,2,1655
Missouri,Cedar,Flood,3,663
Missouri,Christian,Flood,2,1656
Missouri,Clark,Flood,1,1889
Missouri,Cole,Flood,3,1890
Missouri,Cooper,Flood,1,1891
Missouri,Crawford,Flood,3,1657
Missouri,Douglas,Flood,3,1660
Missouri,Dallas,Flood,3,1658
Missouri,Dent,Flood,2,1659
Missouri,Hickory,Flood,2,1663
Missouri,Howard,Flood,1,1895
Missouri,Howell,Flood,3,1664
Missouri,Gasconade,Flood,3,1893
Missouri,Iron,Flood,3,1665
Missouri,Greene,Flood,3,1662
Missouri,Jasper,Flood,3,674
Missouri,Lewis,Flood,1,1897
Missouri,Lincoln,Flood,2,1898
Missouri,Maries,Flood,3,1669
Missouri,Marion,Flood,1,1902
Missouri,Dunklin,Flood,3,1661
Missouri,Franklin,Flood,3,1892
Missouri,Laclede,Flood,2,1667
