State,designatedArea,disasterType,Freq,FEMA_Object_ID
Louisiana,Ascension,Hurricane,10,1387
Louisiana,Assumption,Hurricane,12,1388
Louisiana,Allen,Hurricane,12,1386
Louisiana,Acadia,Hurricane,11,1385
Louisiana,Cameron,Hurricane,12,1393
Louisiana,Iberia,Hurricane,13,1400
Louisiana,East Baton Rouge,Hurricane,10,1396
Louisiana,Avoyelles,Hurricane,8,1389
Louisiana,Jefferson Davis,Hurricane,11,1403
Louisiana,Jefferson,Hurricane,11,1402
Louisiana,Natchitoches,Hurricane,10,1408
Louisiana,East Feliciana,Hurricane,10,1397
Louisiana,Lafourche,Hurricane,12,1405
Louisiana,Livingston,Hurricane,11,1407
Louisiana,Morehouse,Hurricane,8,1592
Louisiana,Orleans,Hurricane,11,1409
Louisiana,Franklin,Hurricane,8,1588
Louisiana,Iberville,Hurricane,10,1401
Louisiana,St. Bernard,Hurricane,11,1415
Louisiana,Plaquemines,Hurricane,12,1410
Louisiana,Rapides,Hurricane,10,1412
Louisiana,St. Charles,Hurricane,12,1416
Louisiana,Pointe Coupee,Hurricane,10,1411
Louisiana,Ouachita,Hurricane,8,1593
Louisiana,St. Martin,Hurricane,11,1421
Louisiana,St. Mary,Hurricane,12,1422
Louisiana,St. John the Baptist,Hurricane,11,1419
Louisiana,St. Tammany,Hurricane,10,1423
Louisiana,Tangipahoa,Hurricane,11,1424
Louisiana,Washington,Hurricane,10,1429
Louisiana,St. Helena,Hurricane,11,1417
Louisiana,St. James,Hurricane,10,1418
Mississippi,Attala,Hurricane,2,1599
Louisiana,Terrebonne,Hurricane,11,1426
Mississippi,Carroll,Hurricane,2,1603
Louisiana,West Baton Rouge,Hurricane,9,1430
Mississippi,Clarke,Hurricane,3,1436
Mississippi,Amite,Hurricane,5,1434
Mississippi,Copiah,Hurricane,3,1437
Mississippi,Covington,Hurricane,4,1438
Mississippi,Hancock,Hurricane,9,1443
Mississippi,Harrison,Hurricane,9,1444
Mississippi,Forrest,Hurricane,6,1439
Mississippi,Grenada,Hurricane,2,1609
Mississippi,Greene,Hurricane,7,1442
Mississippi,George,Hurricane,9,1441
Mississippi,Holmes,Hurricane,2,1611
Mississippi,Hinds,Hurricane,3,1610
Mississippi,Lauderdale,Hurricane,2,1617
Mississippi,Jackson,Hurricane,9,1445
Mississippi,Lincoln,Hurricane,5,1452
Mississippi,Madison,Hurricane,3,1622
Mississippi,Jasper,Hurricane,2,1446
Mississippi,Jefferson Davis,Hurricane,5,1448
Mississippi,Lawrence,Hurricane,5,1451
Mississippi,Montgomery,Hurricane,2,1625
Mississippi,Marion,Hurricane,5,1453
Mississippi,Lamar,Hurricane,5,1450
Mississippi,Pearl River,Hurricane,7,1454
Mississippi,Jones,Hurricane,5,1449
Mississippi,Rankin,Hurricane,3,1634
Mississippi,Perry,Hurricane,6,1455
Mississippi,Stone,Hurricane,9,1459
Mississippi,Wilkinson,Hurricane,5,1462
Mississippi,Yazoo,Hurricane,3,1649
Maryland,Calvert,Hurricane,3,2788
Mississippi,Pike,Hurricane,5,1456
Mississippi,Walthall,Hurricane,5,1460
Maryland,Caroline,Hurricane,2,2789
Maryland,Baltimore,Hurricane,2,2787
Mississippi,Wayne,Hurricane,6,1461
Maryland,Garrett,Hurricane,2,2795
Maryland,Howard,Hurricane,2,2797
Maryland,Anne Arundel,Hurricane,2,2786
Maryland,Allegany,Hurricane,2,2785
Maryland,Kent,Hurricane,2,2798
Maryland,Montgomery,Hurricane,2,2799
Maryland,Carroll,Hurricane,2,2790
Maryland,Harford,Hurricane,2,2796
Maryland,Cecil,Hurricane,2,2791
Maryland,Charles,Hurricane,2,2792
Maryland,Frederick,Hurricane,2,2794
Maryland,Somerset,Hurricane,2,2601
Maryland,Talbot,Hurricane,2,2802
Maryland,St. Mary's,Hurricane,3,2600
Maryland,Queen Anne's,Hurricane,2,2801
Maryland,Washington,Hurricane,2,2803
Maryland,Dorchester,Hurricane,3,2793
Massachusetts,Bristol,Hurricane,2,3000
Massachusetts,Berkshire,Hurricane,1,2999
Maryland,Baltimore City,Hurricane,2,2805
Massachusetts,Dukes,Hurricane,2,3001
Massachusetts,Barnstable,Hurricane,2,2998
Maryland,Wicomico,Hurricane,2,2804
Maryland,Worcester,Hurricane,2,2602
Maryland,Prince George's,Hurricane,2,2800
Massachusetts,Essex,Hurricane,1,3002
Massachusetts,Middlesex,Hurricane,1,3006
Massachusetts,Nantucket,Hurricane,2,3007
Massachusetts,Hampshire,Hurricane,1,3005
Massachusetts,Plymouth,Hurricane,2,3009
Massachusetts,Norfolk,Hurricane,1,3008
Massachusetts,Suffolk,Hurricane,2,3010
