State,designatedArea,DisasterType,Freq,FEMA_Object_ID
Washington,Snohomish,Mud/Landslide,2,126
Hawaii,Maui,Mud/Landslide,1,78
West Virginia,Calhoun,Mud/Landslide,1,2579
West Virginia,Lincoln,Mud/Landslide,1,2337
West Virginia,Logan,Mud/Landslide,1,2338
West Virginia,Brooke,Mud/Landslide,1,2961
West Virginia,Cabell,Mud/Landslide,1,2578
West Virginia,Hancock,Mud/Landslide,1,2964
West Virginia,Marshall,Mud/Landslide,1,2584
West Virginia,Monongalia,Mud/Landslide,1,2971
West Virginia,Mason,Mud/Landslide,1,2585
West Virginia,Harrison,Mud/Landslide,1,2966
West Virginia,Ohio,Mud/Landslide,1,2586
West Virginia,Preston,Mud/Landslide,1,2975
West Virginia,Doddridge,Mud/Landslide,1,2581
West Virginia,Pleasants,Mud/Landslide,1,2587
West Virginia,Wayne,Mud/Landslide,1,2345
West Virginia,Ritchie,Mud/Landslide,1,2589
West Virginia,Taylor,Mud/Landslide,1,2977
West Virginia,Wetzel,Mud/Landslide,1,2592
West Virginia,Wirt,Mud/Landslide,1,2593
West Virginia,Wood,Mud/Landslide,1,2594
West Virginia,Tyler,Mud/Landslide,1,2591
Alaska,Haines,Mud/Landslide,1,9
Alaska,Petersburg,Mud/Landslide,1,20
Alaska,Juneau,Mud/Landslide,1,11
