state,declarationDate,incidentType,designatedArea,FID
FL,2001-02-05T17:32:00.000Z,Freezing,Baker,641
FL,2001-02-05T17:32:00.000Z,Freezing,Bradford,665
FL,2001-02-05T17:32:00.000Z,Freezing,Brevard,686
FL,2001-02-05T17:32:00.000Z,Freezing,Broward,695
FL,2001-02-05T17:32:00.000Z,Freezing,Charlotte,743
FL,2001-02-05T17:32:00.000Z,Freezing,Citrus,843
FL,2001-02-05T17:32:00.000Z,Freezing,Clay,852
FL,2001-02-05T17:32:00.000Z,Freezing,Collier,894
FL,2001-02-05T17:32:00.000Z,Freezing,Columbia,903
FL,2001-02-05T17:32:00.000Z,Freezing,DeSoto,906
FL,2001-02-05T17:32:00.000Z,Freezing,Dixie,918
FL,2001-02-05T17:32:00.000Z,Freezing,Duval,924
FL,2001-02-05T17:32:00.000Z,Freezing,Flagler,935
FL,2001-02-05T17:32:00.000Z,Freezing,Gilchrist,939
FL,2001-02-05T17:32:00.000Z,Freezing,Glades,940
FL,2001-02-05T17:32:00.000Z,Freezing,Hamilton,942
FL,2001-02-05T17:32:00.000Z,Freezing,Hardee,943
FL,2001-02-05T17:32:00.000Z,Freezing,Hendry,944
FL,2001-02-05T17:32:00.000Z,Freezing,Hernando,945
FL,2001-02-05T17:32:00.000Z,Freezing,Highlands,946
FL,2001-02-05T17:32:00.000Z,Freezing,Hillsborough,947
FL,2001-02-05T17:32:00.000Z,Freezing,Indian River,949
FL,2001-02-05T17:32:00.000Z,Freezing,Lafayette,952
FL,2001-02-05T17:32:00.000Z,Freezing,Lake,953
FL,2001-02-05T17:32:00.000Z,Freezing,Lee,954
FL,2001-02-05T17:32:00.000Z,Freezing,Levy,956
FL,2001-02-05T17:32:00.000Z,Freezing,Manatee,959
FL,2001-02-05T17:32:00.000Z,Freezing,Marion,960
FL,2001-02-05T17:32:00.000Z,Freezing,Martin,961
FL,2001-02-05T17:32:00.000Z,Freezing,Maimi-Dade,962
FL,2001-02-05T17:32:00.000Z,Freezing,Nassau,964
FL,2001-02-05T17:32:00.000Z,Freezing,Monroe,963
FL,2001-02-05T17:32:00.000Z,Freezing,Okeechobee,966
FL,2001-02-05T17:32:00.000Z,Freezing,Orange,967
FL,2001-02-05T17:32:00.000Z,Freezing,Osceola,968
FL,2001-02-05T17:32:00.000Z,Freezing,Palm Beach,969
FL,2001-02-05T17:32:00.000Z,Freezing,Pasco,970
FL,2001-02-05T17:32:00.000Z,Freezing,Pinellas,971
FL,2001-02-05T17:32:00.000Z,Freezing,Polk,972
FL,2001-02-05T17:32:00.000Z,Freezing,Putnam,973
FL,2001-02-05T17:32:00.000Z,Freezing,St. Johns,974
FL,2001-02-05T17:32:00.000Z,Freezing,St. Lucie,975
FL,2001-02-05T17:32:00.000Z,Freezing,Sarasota,977
FL,2001-02-05T17:32:00.000Z,Freezing,Seminole,978
FL,2001-02-05T17:32:00.000Z,Freezing,Sumter,979
FL,2001-02-05T17:32:00.000Z,Freezing,Suwannee,980
FL,2001-02-05T17:32:00.000Z,Freezing,Union,982
FL,2001-02-05T17:32:00.000Z,Freezing,Volusia,983
FL,2001-02-05T17:32:00.000Z,Freezing,Alachua,639
ME,2003-05-14T17:32:00.000Z,Freezing,Aroostook,1535
ME,2003-05-14T17:32:00.000Z,Freezing,Franklin,1619
ME,2003-05-14T17:32:00.000Z,Freezing,Cumberland,1608
ME,2003-05-14T17:32:00.000Z,Freezing,Hancock,1748
ME,2003-05-14T17:32:00.000Z,Freezing,Kennebec,1755
ME,2003-05-14T17:32:00.000Z,Freezing,Androscoggin,1532
ME,2003-05-14T17:32:00.000Z,Freezing,Lincoln,1835
ME,2003-05-14T17:32:00.000Z,Freezing,Oxford,1842
ME,2003-05-14T17:32:00.000Z,Freezing,Piscataquis,1851
ME,2003-05-14T17:32:00.000Z,Freezing,Washington,1884
ME,2003-05-14T17:32:00.000Z,Freezing,Penobscot,1846
CA,2007-03-13T22:20:00.000Z,Freezing,Fresno,527
CA,2007-03-13T22:20:00.000Z,Freezing,Imperial,557
CA,2007-03-13T22:20:00.000Z,Freezing,Kern,84
CA,2007-03-13T22:20:00.000Z,Freezing,Kings,94
CA,2007-03-13T22:20:00.000Z,Freezing,Madera,153
CA,2007-03-13T22:20:00.000Z,Freezing,Los Angeles,139
CA,2007-03-13T22:20:00.000Z,Freezing,Merced,204
CA,2007-03-13T22:20:00.000Z,Freezing,Monterey,228
CA,2007-03-13T22:20:00.000Z,Freezing,San Bernardino,302
CA,2007-03-13T22:20:00.000Z,Freezing,San Diego,315
CA,2007-03-13T22:20:00.000Z,Freezing,San Luis Obispo,351
CA,2007-03-13T22:20:00.000Z,Freezing,Stanislaus,473
CA,2007-03-13T22:20:00.000Z,Freezing,Santa Barbara,391
CA,2007-03-13T22:20:00.000Z,Freezing,Riverside,281
CA,2007-03-13T22:20:00.000Z,Freezing,Ventura,521
CA,2007-03-13T22:20:00.000Z,Freezing,Tulare,501
