state,declarationDate,incidentType,designatedArea,FID
NY,2000-10-11T12:00:00.000Z,Other,Albany,1673
NY,2000-10-11T12:00:00.000Z,Other,Allegany,1674
NY,2000-10-11T12:00:00.000Z,Other,Bronx,1681
NY,2000-10-11T12:00:00.000Z,Other,Broome,1683
NY,2000-10-11T12:00:00.000Z,Other,Cattaraugus,1687
NY,2000-10-11T12:00:00.000Z,Other,Cayuga,1689
NY,2000-10-11T12:00:00.000Z,Other,Chautauqua,1694
NY,2000-10-11T12:00:00.000Z,Other,Chemung,1696
NY,2000-10-11T12:00:00.000Z,Other,Chenango,1699
NY,2000-10-11T12:00:00.000Z,Other,Clinton,1702
NY,2000-10-11T12:00:00.000Z,Other,Columbia,1704
NY,2000-10-11T12:00:00.000Z,Other,Cortland,1706
NY,2000-10-11T12:00:00.000Z,Other,Delaware,1707
NY,2000-10-11T12:00:00.000Z,Other,Dutchess,1711
NY,2000-10-11T12:00:00.000Z,Other,Erie,1723
NY,2000-10-11T12:00:00.000Z,Other,Essex,1728
NY,2000-10-11T12:00:00.000Z,Other,Franklin,1731
NY,2000-10-11T12:00:00.000Z,Other,Fulton,1734
NY,2000-10-11T12:00:00.000Z,Other,Genesee,1736
NY,2000-10-11T12:00:00.000Z,Other,Greene,1739
NY,2000-10-11T12:00:00.000Z,Other,Hamilton,1742
NY,2000-10-11T12:00:00.000Z,Other,Herkimer,1745
NY,2000-10-11T12:00:00.000Z,Other,Jefferson,1782
NY,2000-10-11T12:00:00.000Z,Other,Kings,1788
NY,2000-10-11T12:00:00.000Z,Other,Lewis,1790
NY,2000-10-11T12:00:00.000Z,Other,Madison,1796
NY,2000-10-11T12:00:00.000Z,Other,Monroe,1804
NY,2000-10-11T12:00:00.000Z,Other,Nassau,1839
NY,2000-10-11T12:00:00.000Z,Other,Livingston,1791
NY,2000-10-11T12:00:00.000Z,Other,New York,1847
NY,2000-10-11T12:00:00.000Z,Other,Niagara,1850
NY,2000-10-11T12:00:00.000Z,Other,Oneida,1852
NY,2000-10-11T12:00:00.000Z,Other,Montgomery,1807
NY,2000-10-11T12:00:00.000Z,Other,Ontario,1856
NY,2000-10-11T12:00:00.000Z,Other,Orange,1859
NY,2000-10-11T12:00:00.000Z,Other,Orleans,1862
NY,2000-10-11T12:00:00.000Z,Other,Oswego,1864
NY,2000-10-11T12:00:00.000Z,Other,Otsego,1868
NY,2000-10-11T12:00:00.000Z,Other,Putnam,1870
NY,2000-10-11T12:00:00.000Z,Other,Onondaga,1853
NY,2000-10-11T12:00:00.000Z,Other,Queens,1872
NY,2000-10-11T12:00:00.000Z,Other,Rensselaer,1874
NY,2000-10-11T12:00:00.000Z,Other,Richmond,1876
NY,2000-10-11T12:00:00.000Z,Other,St. Lawrence,1883
NY,2000-10-11T12:00:00.000Z,Other,Saratoga,1885
