BaseYear,state,incidentType,designatedArea,Freq,FID
2000,AR,Severe Ice Storm,Boone,2,62
2000,AR,Severe Ice Storm,Sharp,3,394
2000,AR,Severe Ice Storm,Greene,3,162
2000,AR,Severe Ice Storm,Independence,3,200
2000,AR,Severe Ice Storm,Baxter,3,54
2000,AR,Severe Ice Storm,Benton,3,59
2000,AR,Severe Ice Storm,Bradley,2,68
2000,AR,Severe Ice Storm,Calhoun,2,72
2000,AR,Severe Ice Storm,Clark,2,86
2000,AR,Severe Ice Storm,Cleburne,3,97
2000,AR,Severe Ice Storm,Cleveland,2,103
2000,AR,Severe Ice Storm,Columbia,2,107
2000,AR,Severe Ice Storm,Conway,2,109
2000,AR,Severe Ice Storm,Crawford,3,115
2000,AR,Severe Ice Storm,Crittenden,3,119
2000,AR,Severe Ice Storm,Cross,3,124
2000,AR,Severe Ice Storm,Dallas,2,128
2000,AR,Severe Ice Storm,Drew,2,136
2000,AR,Severe Ice Storm,Faulkner,3,141
2000,AR,Severe Ice Storm,Franklin,3,144
2000,AR,Severe Ice Storm,Fulton,3,146
2000,AR,Severe Ice Storm,Garland,3,151
2000,AR,Severe Ice Storm,Desha,2,130
2000,AR,Severe Ice Storm,Hempstead,2,172
2000,AR,Severe Ice Storm,Hot Spring,2,184
2000,AR,Severe Ice Storm,Howard,2,191
2000,AR,Severe Ice Storm,Izard,3,203
2000,AR,Severe Ice Storm,Jackson,4,209
2000,AR,Severe Ice Storm,Jefferson,2,213
2000,AR,Severe Ice Storm,Grant,2,155
2000,AR,Severe Ice Storm,Johnson,3,218
2000,AR,Severe Ice Storm,Lafayette,2,222
2000,AR,Severe Ice Storm,Lee,2,237
2000,AR,Severe Ice Storm,Lincoln,2,244
2000,AR,Severe Ice Storm,Little River,2,251
2000,AR,Severe Ice Storm,Lonoke,3,268
2000,AR,Severe Ice Storm,Madison,3,277
2000,AR,Severe Ice Storm,Marion,2,282
2000,AR,Severe Ice Storm,Miller,2,287
2000,AR,Severe Ice Storm,Mississippi,3,294
2000,AR,Severe Ice Storm,Logan,3,258
2000,AR,Severe Ice Storm,Monroe,3,300
2000,AR,Severe Ice Storm,Montgomery,3,304
2000,AR,Severe Ice Storm,Nevada,2,307
2000,AR,Severe Ice Storm,Ouachita,2,316
2000,AR,Severe Ice Storm,Perry,3,318
2000,AR,Severe Ice Storm,Pike,2,327
2000,AR,Severe Ice Storm,Poinsett,4,333
2000,AR,Severe Ice Storm,Newton,3,311
2000,AR,Severe Ice Storm,Polk,3,337
2000,AR,Severe Ice Storm,Pope,2,340
2000,AR,Severe Ice Storm,Prairie,3,345
2000,AR,Severe Ice Storm,Pulaski,3,350
2000,AR,Severe Ice Storm,St. Francis,3,357
2000,AR,Severe Ice Storm,Saline,3,360
2000,AR,Severe Ice Storm,Scott,3,364
2000,AR,Severe Ice Storm,Searcy,3,372
2000,AR,Severe Ice Storm,Sebastian,3,378
2000,AR,Severe Ice Storm,Sevier,2,390
2000,AR,Severe Ice Storm,Stone,3,399
2000,AR,Severe Ice Storm,Union,2,403
2000,AR,Severe Ice Storm,Van Buren,3,407
2000,AR,Severe Ice Storm,Washington,3,417
2000,AR,Severe Ice Storm,White,4,428
2000,AR,Severe Ice Storm,Woodruff,3,435
2000,AR,Severe Ice Storm,Yell,3,438
2000,AR,Severe Ice Storm,Arkansas,2,46
2000,OK,Severe Ice Storm,Beckham,5,2106
2000,OK,Severe Ice Storm,Blaine,5,2110
2000,OK,Severe Ice Storm,Custer,5,2153
2000,OK,Severe Ice Storm,Garfield,4,2167
2000,OK,Severe Ice Storm,Greer,4,2189
