BaseYear,state,incidentType,designatedArea,Freq,FID
2010,CA,Earthquake,Imperial,1,557
2010,AK,Earthquake,Anchorage,2,400
2010,AK,Earthquake,Kenai Peninsula,2,494
2010,AK,Earthquake,Matanuska-Susitna,2,556
2010,CA,Earthquake,San Bernardino,1,302
2010,CA,Earthquake,Kern,1,84
2010,VA,Earthquake,Northampton,1,2982
2010,VA,Earthquake,Fluvanna,1,2858
2010,VA,Earthquake,Goochland,1,2892
2010,VA,Earthquake,King George,1,2938
2010,VA,Earthquake,Albemarle,1,2728
2010,VA,Earthquake,Culpeper,1,2824
2010,VA,Earthquake,Louisa,1,2953
2010,VA,Earthquake,Spotsylvania,1,2619
2010,VA,Earthquake,Fredericksburg,1,2745
2010,VA,Earthquake,Orange,1,2985
2010,DC,Earthquake,District of Columbia,1,630
2010,CA,Earthquake,Napa,1,236
2010,CA,Earthquake,Solano,1,453
