state,declarationDate,incidentType,designatedArea,FID
CA,2010-05-07T18:15:00.000Z,Earthquake,Imperial,557
AK,2018-11-30T18:15:00.000Z,Earthquake,Anchorage,400
AK,2018-11-30T18:15:00.000Z,Earthquake,Kenai Peninsula,494
AK,2018-11-30T18:15:00.000Z,Earthquake,Matanuska-Susitna,556
CA,2019-07-08T19:27:00.000Z,Earthquake,San Bernardino,302
CA,2019-07-08T19:27:00.000Z,Earthquake,Kern,84
VA,2011-11-04T17:58:00.000Z,Earthquake,Northampton,2982
VA,2011-11-04T17:58:00.000Z,Earthquake,Fluvanna,2858
VA,2011-11-04T17:58:00.000Z,Earthquake,Goochland,2892
VA,2011-11-04T17:58:00.000Z,Earthquake,King George,2938
VA,2011-11-04T17:58:00.000Z,Earthquake,Albemarle,2728
VA,2011-11-04T17:58:00.000Z,Earthquake,Culpeper,2824
VA,2011-11-04T17:58:00.000Z,Earthquake,Louisa,2953
VA,2011-11-04T17:58:00.000Z,Earthquake,Spotsylvania,2619
VA,2011-11-04T17:58:00.000Z,Earthquake,Fredericksburg,2745
VA,2011-11-04T17:58:00.000Z,Earthquake,Orange,2985
DC,2011-11-08T14:51:00.000Z,Earthquake,District of Columbia,630
CA,2014-09-11T19:27:00.000Z,Earthquake,Napa,236
CA,2014-09-11T19:27:00.000Z,Earthquake,Solano,453
AK,2019-01-31T16:19:00.000Z,Earthquake,Kenai Peninsula,494
AK,2019-01-31T16:19:00.000Z,Earthquake,Matanuska-Susitna,556
AK,2019-01-31T16:19:00.000Z,Earthquake,Anchorage,400
