BaseYear,state,incidentType,designatedArea,Freq,FID
2010,MN,Flood,Big Stone,4,1882
2010,MN,Flood,Carver,4,1894
2010,MN,Flood,Chippewa,5,1896
2010,MN,Flood,Clay,4,1898
2010,MN,Flood,Blue Earth,7,1886
2010,MN,Flood,Brown,6,1892
2010,MN,Flood,Cottonwood,3,1902
2010,MN,Flood,Grant,3,1912
2010,MN,Flood,Lac qui Parle,5,1923
2010,MN,Flood,McLeod,4,1934
2010,MN,Flood,Marshall,5,1937
2010,MN,Flood,Nicollet,6,1948
2010,MN,Flood,Kittson,4,1921
2010,MN,Flood,Pennington,2,1956
2010,MN,Flood,Polk,5,1959
2010,MN,Flood,Ramsey,5,1964
2010,MN,Flood,Red Lake,3,1966
2010,MN,Flood,Redwood,6,1969
2010,MN,Flood,Norman,4,1951
2010,MN,Flood,Renville,6,1971
2010,MN,Flood,Sibley,6,1982
2010,MN,Flood,Scott,5,1979
2010,MN,Flood,Traverse,4,1990
2010,MN,Flood,Wilkin,4,1997
2010,MN,Flood,Stevens,3,1987
2010,MN,Flood,Yellow Medicine,5,1531
2010,NE,Flood,Antelope,2,1305
2010,NE,Flood,Arthur,2,1307
2010,NE,Flood,Boyd,4,1317
2010,NE,Flood,Butler,2,1325
2010,NE,Flood,Cass,4,1326
2010,NE,Flood,Colfax,2,1338
2010,NE,Flood,Boone,2,1310
2010,NE,Flood,Cuming,2,1340
2010,NE,Flood,Dixon,4,1353
2010,NE,Flood,Dakota,4,1344
2010,NE,Flood,Gage,2,1378
2010,NE,Flood,Greeley,2,1397
2010,NE,Flood,Hayes,2,1411
2010,NE,Flood,Holt,2,1416
2010,NE,Flood,Howard,2,1311
2010,NE,Flood,Jefferson,2,1312
2010,NE,Flood,Johnson,2,1313
2010,NE,Flood,Loup,2,1331
2010,NE,Flood,Madison,2,1335
2010,NE,Flood,Nance,2,1341
2010,NE,Flood,Nemaha,4,1343
2010,NE,Flood,Lancaster,2,1324
2010,NE,Flood,Nuckolls,2,1345
2010,NE,Flood,Otoe,4,1348
2010,NE,Flood,Pawnee,2,1350
2010,NE,Flood,Pierce,2,1356
2010,NE,Flood,Platte,2,1359
2010,NE,Flood,Polk,2,1362
2010,NE,Flood,Richardson,4,1365
2010,NE,Flood,Saline,2,1367
2010,NE,Flood,Seward,2,1375
2010,NE,Flood,Sherman,2,1377
2010,NE,Flood,Stanton,2,1382
2010,NE,Flood,Thurston,4,1385
2010,NE,Flood,Valley,2,1386
2010,NE,Flood,Wheeler,2,1390
2010,NE,Flood,York,2,1392
2010,ND,Flood,Barnes,5,1828
2010,ND,Flood,Benson,7,1831
2010,ND,Flood,Cass,7,1848
2010,ND,Flood,Dickey,4,2004
2010,ND,Flood,Bottineau,5,1836
2010,ND,Flood,Emmons,4,2021
2010,ND,Flood,Foster,4,2026
2010,ND,Flood,Eddy,5,2017
2010,ND,Flood,Grand Forks,6,2043
2010,ND,Flood,Logan,3,2078
2010,ND,Flood,McHenry,5,2082
2010,ND,Flood,McIntosh,2,2090
2010,ND,Flood,Mercer,4,2107
2010,ND,Flood,Morton,4,2114
2010,ND,Flood,Nelson,4,2122
2010,ND,Flood,Kidder,2,2068
2010,ND,Flood,LaMoure,4,2074
2010,ND,Flood,Pembina,8,2131
2010,ND,Flood,Ramsey,5,2141
2010,ND,Flood,Sargent,3,2164
2010,ND,Flood,Ransom,5,2147
2010,ND,Flood,Traill,7,2217
2010,ND,Flood,Steele,3,2186
2010,ND,Flood,Stutsman,3,2199
2010,ND,Flood,Ward,4,2233
2010,ND,Flood,Richland,7,2156
2010,ND,Flood,Walsh,8,2225
2010,ND,Flood,Renville,5,2150
2010,ND,Flood,Wells,3,2237
2010,SD,Flood,Aurora,4,2870
2010,SD,Flood,Beadle,3,2874
2010,SD,Flood,Brown,3,2885
2010,SD,Flood,Brule,4,2888
2010,SD,Flood,Buffalo,3,2891
2010,SD,Flood,Charles Mix,3,2900
2010,SD,Flood,Clark,3,2901
2010,SD,Flood,Clay,4,2903
2010,SD,Flood,Codington,3,2906
2010,SD,Flood,Day,3,2911
2010,SD,Flood,Deuel,4,2912
2010,SD,Flood,Edmunds,3,2917
2010,SD,Flood,Grant,3,2922
2010,SD,Flood,Hamlin,4,2926
2010,SD,Flood,Hanson,5,2929
2010,SD,Flood,Douglas,2,2916
2010,SD,Flood,Hutchinson,3,2934
2010,SD,Flood,Hyde,3,2937
2010,SD,Flood,Lake,3,2401
2010,SD,Flood,Kingsbury,3,2945
2010,SD,Flood,Jerauld,4,2941
2010,SD,Flood,Faulk,3,2921
2010,SD,Flood,Lyman,4,2417
2010,SD,Flood,Gregory,4,2923
2010,SD,Flood,Hand,3,2928
2010,SD,Flood,McPherson,2,2426
2010,SD,Flood,Marshall,3,2430
2010,SD,Flood,McCook,2,2422
2010,SD,Flood,Roberts,3,2511
2010,SD,Flood,Sanborn,4,2514
2010,SD,Flood,Spink,3,2523
2010,SD,Flood,Sully,3,2535
2010,SD,Flood,Miner,3,2456
2010,SD,Flood,Moody,3,2485
2010,SD,Flood,Tripp,3,2546
2010,SD,Flood,Turner,4,2550
2010,SD,Flood,Union,5,2557
2010,WV,Flood,Lewis,3,3029
2010,WV,Flood,Logan,1,3034
2010,WV,Flood,McDowell,1,3037
2010,WV,Flood,Mingo,1,3048
2010,WV,Flood,Wyoming,1,3099
2010,WY,Flood,Fremont,2,3028
2010,WY,Flood,Platte,2,3045
2010,NM,Flood,Cibola,3,1580
2010,NM,Flood,McKinley,2,1626
2010,NM,Flood,San Juan,2,1650
2010,NM,Flood,Socorro,2,1659
2010,NM,Flood,Mora,2,1629
2010,CA,Flood,Inyo,2,562
2010,CA,Flood,Kern,2,84
2010,CA,Flood,Orange,2,257
2010,CA,Flood,San Bernardino,1,302
2010,CA,Flood,San Diego,2,315
2010,CA,Flood,San Luis Obispo,3,351
2010,CA,Flood,Santa Barbara,3,391
2010,CA,Flood,Tulare,1,501
2010,CA,Flood,Kings,2,94
2010,CA,Flood,Riverside,2,281
2010,UT,Flood,Garfield,1,2674
2010,UT,Flood,Kane,1,2678
2010,UT,Flood,Washington,2,2577
2010,ND,Flood,Billings,1,1833
2010,ND,Flood,Burke,1,1841
2010,ND,Flood,Griggs,1,2056
2010,ND,Flood,Grant,2,2051
2010,ND,Flood,Cavalier,3,1849
2010,ND,Flood,Divide,2,2007
2010,ND,Flood,McKenzie,2,2097
2010,ND,Flood,McLean,2,2103
2010,ND,Flood,Mountrail,2,2119
2010,ND,Flood,Rolette,3,2161
2010,ND,Flood,Sioux,2,2175
2010,ND,Flood,Towner,4,2205
