state,declarationDate,incidentType,designatedArea,FID
MN,2010-04-19T16:30:00.000Z,Flood,Big Stone,1882
MN,2010-04-19T16:30:00.000Z,Flood,Carver,1894
MN,2010-04-19T16:30:00.000Z,Flood,Chippewa,1896
MN,2010-04-19T16:30:00.000Z,Flood,Clay,1898
MN,2010-04-19T16:30:00.000Z,Flood,Blue Earth,1886
MN,2010-04-19T16:30:00.000Z,Flood,Brown,1892
MN,2010-04-19T16:30:00.000Z,Flood,Cottonwood,1902
MN,2010-04-19T16:30:00.000Z,Flood,Grant,1912
MN,2010-04-19T16:30:00.000Z,Flood,Lac qui Parle,1923
MN,2010-04-19T16:30:00.000Z,Flood,McLeod,1934
MN,2010-04-19T16:30:00.000Z,Flood,Marshall,1937
MN,2010-04-19T16:30:00.000Z,Flood,Nicollet,1948
MN,2010-04-19T16:30:00.000Z,Flood,Kittson,1921
MN,2010-04-19T16:30:00.000Z,Flood,Pennington,1956
MN,2010-04-19T16:30:00.000Z,Flood,Polk,1959
MN,2010-04-19T16:30:00.000Z,Flood,Ramsey,1964
MN,2010-04-19T16:30:00.000Z,Flood,Red Lake,1966
MN,2010-04-19T16:30:00.000Z,Flood,Redwood,1969
MN,2010-04-19T16:30:00.000Z,Flood,Norman,1951
MN,2010-04-19T16:30:00.000Z,Flood,Renville,1971
MN,2010-04-19T16:30:00.000Z,Flood,Sibley,1982
MN,2010-04-19T16:30:00.000Z,Flood,Scott,1979
MN,2010-04-19T16:30:00.000Z,Flood,Traverse,1990
MN,2010-04-19T16:30:00.000Z,Flood,Wilkin,1997
MN,2010-04-19T16:30:00.000Z,Flood,Stevens,1987
MN,2010-04-19T16:30:00.000Z,Flood,Yellow Medicine,1531
NE,2010-04-21T18:15:00.000Z,Flood,Antelope,1305
NE,2010-04-21T18:15:00.000Z,Flood,Arthur,1307
NE,2010-04-21T18:15:00.000Z,Flood,Boyd,1317
NE,2010-04-21T18:15:00.000Z,Flood,Butler,1325
NE,2010-04-21T18:15:00.000Z,Flood,Cass,1326
NE,2010-04-21T18:15:00.000Z,Flood,Colfax,1338
NE,2010-04-21T18:15:00.000Z,Flood,Boone,1310
NE,2010-04-21T18:15:00.000Z,Flood,Cuming,1340
