BaseYear,state,incidentType,designatedArea,Freq,FID
2010,MN,Flood,Upper Sioux,3,165
2010,MN,Flood,Prairie Island,3,110
2010,ND,Flood,Spirit Lake,4,322
2010,WY,Flood,Wind River,1,173
2010,NM,Flood,Navajo Nation Reservation,2,94
2010,NM,Flood,Acoma,3,8
2010,ND,Flood,Fort Berthold,1,224
2010,ND,Flood,Turtle Mountain,2,159
2010,ND,Flood,Standing Rock,4,324
2010,MN,Flood,Red Lake,4,302
2010,ID,Flood,Nez Perce,2,275
2010,AK,Flood,Crooked Creek,1,442
2010,AK,Flood,Red Devil,1,566
2010,UT,Flood,Uintah and Ouray,1,162
2010,NE,Flood,Omaha,2,281
2010,NM,Flood,Cochiti,1,202
2010,NM,Flood,Santa Clara,2,126
2010,NM,Flood,Mescalero,1,270
2010,MT,Flood,Fort Belknap,1,42
2010,MT,Flood,Fort Peck,1,48
2010,MT,Flood,Rocky Boy's,1,117
2010,NC,Flood,Eastern Cherokee,1,217
2010,NM,Flood,Isleta,1,245
2010,NM,Flood,Sandia,1,311
2010,MN,Flood,Bois Forte,1,21
2010,IA,Flood,Sac and Fox/Meskwaki,2,122
2010,SD,Flood,Standing Rock,1,325
2010,NV,Flood,Moapa River,1,272
2010,CA,Flood,Soboba,1,135
2010,CA,Flood,Tule River,1,156
2010,WA,Flood,Colville,1,29
2010,AZ,Flood,Havasupai,1,238
2010,MN,Flood,Leech Lake,1,75
2010,MN,Flood,White Earth,2,172
2010,NE,Flood,Ponca (NE),3,354
2010,NE,Flood,Sac and Fox Nation,1,121
2010,NE,Flood,Winnebago,1,175
2010,NE,Flood,Santee,1,316
2010,SD,Flood,Lake Traverse,1,74
2010,SD,Flood,Pine Ridge,1,293
2010,SD,Flood,Cheyenne River,2,27
2010,SD,Flood,Rosebud,2,118
2010,WI,Flood,St. Croix,1,140
2010,WI,Flood,Menominee,1,84
