BaseYear,state,incidentType,designatedArea,Freq,FID
2010,TX,Hurricane,Calhoun,2,2327
2010,TX,Hurricane,Cottle,1,2473
2010,TX,Hurricane,Floyd,1,2630
2010,TX,Hurricane,Foard,1,2002
2010,TX,Hurricane,Garza,1,2060
2010,TX,Hurricane,Dawson,1,2512
2010,TX,Hurricane,Jim Wells,3,2294
2010,TX,Hurricane,Lamb,1,2376
2010,TX,Hurricane,Lynn,1,2438
2010,TX,Hurricane,Terry,1,2522
2010,TX,Hurricane,Willacy,2,2639
2010,TX,Hurricane,Cameron,2,2359
2010,TX,Hurricane,Hidalgo,2,2188
2010,TX,Hurricane,Jim Hogg,2,2288
2010,TX,Hurricane,Val Verde,1,2582
2010,TX,Hurricane,Motley,1,2692
2010,TX,Hurricane,Maverick,1,2649
2010,TX,Hurricane,Starr,2,2474
2010,TX,Hurricane,Lubbock,1,2428
2010,TX,Hurricane,Webb,2,2616
2010,TX,Hurricane,Zapata,2,2650
2010,TX,Hurricane,Brooks,1,2279
2010,TX,Hurricane,Aransas,2,2162
2010,TX,Hurricane,Comal,2,2449
2010,TX,Hurricane,Duval,1,2556
2010,TX,Hurricane,Guadalupe,2,2116
2010,TX,Hurricane,Atascosa,1,2173
2010,TX,Hurricane,Bexar,2,2203
2010,TX,Hurricane,Bee,2,2196
2010,TX,Hurricane,Kenedy,1,2330
2010,TX,Hurricane,Live Oak,1,2416
2010,TX,Hurricane,McMullen,1,2494
2010,TX,Hurricane,Medina,1,2652
2010,TX,Hurricane,Kleberg,2,2358
2010,TX,Hurricane,Nueces,2,2194
2010,TX,Hurricane,San Patricio,2,2415
2010,TX,Hurricane,Wilson,1,2641
2010,TX,Hurricane,Refugio,2,2334
2010,NC,Hurricane,Camden,8,1433
2010,NC,Hurricane,Bertie,8,1983
2010,NC,Hurricane,Beaufort,9,1981
2010,NC,Hurricane,Craven,9,1462
2010,NC,Hurricane,Currituck,8,1481
2010,NC,Hurricane,Carteret,9,1447
2010,NC,Hurricane,Greene,9,1505
2010,NC,Hurricane,Chowan,8,1455
2010,NC,Hurricane,Halifax,7,1508
2010,NC,Hurricane,Columbus,9,1459
2010,NC,Hurricane,Jones,9,1536
2010,NC,Hurricane,Brunswick,10,1995
2010,NC,Hurricane,Hyde,10,1521
2010,NC,Hurricane,Gates,7,1500
2010,NC,Hurricane,Hertford,7,1515
