BaseYear,state,incidentType,designatedArea,Freq,FID
2010,NC,Severe Storm(s),Ashe,1,1975
2010,NC,Severe Storm(s),Buncombe,1,1422
2010,NC,Severe Storm(s),Burke,1,1424
2010,NC,Severe Storm(s),Avery,1,1977
2010,NC,Severe Storm(s),Haywood,1,1512
2010,NC,Severe Storm(s),Jackson,1,1528
2010,NC,Severe Storm(s),McDowell,1,1554
2010,NC,Severe Storm(s),Madison,1,1560
2010,NC,Severe Storm(s),Caldwell,1,1429
2010,NC,Severe Storm(s),Mitchell,1,1568
2010,NC,Severe Storm(s),Watauga,1,1813
2010,NC,Severe Storm(s),Yancey,1,1823
2010,AR,Severe Storm(s),Bradley,4,68
2010,AR,Severe Storm(s),Calhoun,4,72
2010,AR,Severe Storm(s),Clay,5,93
2010,AR,Severe Storm(s),Cleveland,3,103
2010,AR,Severe Storm(s),Craighead,3,114
2010,AR,Severe Storm(s),Dallas,4,128
2010,AR,Severe Storm(s),Drew,2,136
2010,AR,Severe Storm(s),Clark,3,86
2010,AR,Severe Storm(s),Grant,1,155
2010,AR,Severe Storm(s),Greene,3,162
2010,AR,Severe Storm(s),Hempstead,2,172
2010,AR,Severe Storm(s),Jackson,5,209
2010,AR,Severe Storm(s),Jefferson,4,213
2010,AR,Severe Storm(s),Lafayette,2,222
2010,AR,Severe Storm(s),Lincoln,3,244
2010,AR,Severe Storm(s),Lonoke,2,268
2010,AR,Severe Storm(s),Miller,2,287
2010,AR,Severe Storm(s),Monroe,2,300
2010,AR,Severe Storm(s),Nevada,3,307
2010,AR,Severe Storm(s),Ouachita,5,316
2010,AR,Severe Storm(s),Poinsett,4,333
2010,AR,Severe Storm(s),Prairie,4,345
2010,AR,Severe Storm(s),Pulaski,4,350
2010,AR,Severe Storm(s),White,5,428
2010,AR,Severe Storm(s),Woodruff,5,435
2010,OK,Severe Storm(s),Alfalfa,9,2099
2010,OK,Severe Storm(s),Beckham,8,2106
2010,OK,Severe Storm(s),Bryan,5,2112
2010,OK,Severe Storm(s),Caddo,8,2118
2010,OK,Severe Storm(s),Canadian,7,2123
2010,OK,Severe Storm(s),Carter,5,2126
2010,OK,Severe Storm(s),Cherokee,8,2129
2010,OK,Severe Storm(s),Cleveland,5,2140
2010,OK,Severe Storm(s),Cotton,5,2146
2010,OK,Severe Storm(s),Craig,11,2148
2010,OK,Severe Storm(s),Creek,7,2151
2010,OK,Severe Storm(s),Delaware,9,2154
2010,OK,Severe Storm(s),Dewey,9,2158
2010,OK,Severe Storm(s),Garvin,5,2176
2010,OK,Severe Storm(s),Comanche,5,2145
2010,OK,Severe Storm(s),Grady,7,2184
2010,OK,Severe Storm(s),Greer,6,2189
2010,OK,Severe Storm(s),Harmon,5,2191
2010,OK,Severe Storm(s),Haskell,8,2195
2010,OK,Severe Storm(s),Jackson,6,2202
2010,OK,Severe Storm(s),Hughes,5,2197
2010,OK,Severe Storm(s),Jefferson,6,2206
2010,OK,Severe Storm(s),Kay,9,2215
2010,OK,Severe Storm(s),Le Flore,8,2230
2010,OK,Severe Storm(s),Lincoln,8,2234
2010,OK,Severe Storm(s),Logan,9,2236
2010,OK,Severe Storm(s),Love,6,2238
2010,OK,Severe Storm(s),McClain,5,2245
2010,OK,Severe Storm(s),Kiowa,7,2222
2010,OK,Severe Storm(s),McCurtain,6,2252
2010,OK,Severe Storm(s),McIntosh,7,2258
2010,OK,Severe Storm(s),Mayes,8,2270
2010,OK,Severe Storm(s),Muskogee,8,2281
2010,OK,Severe Storm(s),Noble,9,2287
2010,OK,Severe Storm(s),Nowata,9,2290
2010,OK,Severe Storm(s),Okfuskee,8,2297
2010,OK,Severe Storm(s),Okmulgee,10,2311
2010,OK,Severe Storm(s),Osage,9,2318
2010,OK,Severe Storm(s),Ottawa,10,2325
2010,OK,Severe Storm(s),Pawnee,5,2329
2010,OK,Severe Storm(s),Payne,4,2340
2010,OK,Severe Storm(s),Pittsburg,9,2344
2010,OK,Severe Storm(s),Pontotoc,4,2351
2010,OK,Severe Storm(s),Pottawatomie,7,2356
2010,OK,Severe Storm(s),Roger Mills,8,2369
2010,OK,Severe Storm(s),Rogers,7,2374
2010,OK,Severe Storm(s),Seminole,5,2384
2010,OK,Severe Storm(s),Sequoyah,8,2391
2010,OK,Severe Storm(s),Stephens,6,2396
2010,OK,Severe Storm(s),Tillman,7,2005
2010,OK,Severe Storm(s),Tulsa,6,2008
2010,OK,Severe Storm(s),Wagoner,6,2014
2010,OK,Severe Storm(s),Washington,5,2018
2010,OK,Severe Storm(s),Washita,8,2023
2010,IA,Severe Storm(s),Adair,3,598
2010,IA,Severe Storm(s),Audubon,5,615
2010,IA,Severe Storm(s),Buena Vista,6,633
2010,IA,Severe Storm(s),Calhoun,3,365
2010,IA,Severe Storm(s),Carroll,2,369
2010,IA,Severe Storm(s),Cherokee,6,388
2010,IA,Severe Storm(s),Cass,2,374
2010,IA,Severe Storm(s),Clay,6,398
2010,IA,Severe Storm(s),Emmet,4,437
2010,IA,Severe Storm(s),Franklin,3,451
2010,IA,Severe Storm(s),Fremont,1,455
2010,IA,Severe Storm(s),Crawford,4,408
2010,IA,Severe Storm(s),Dickinson,5,427
2010,IA,Severe Storm(s),Guthrie,4,467
2010,IA,Severe Storm(s),Harrison,2,478
2010,IA,Severe Storm(s),Ida,6,491
2010,IA,Severe Storm(s),Monona,4,576
2010,IA,Severe Storm(s),Palo Alto,5,618
2010,IA,Severe Storm(s),Plymouth,2,622
2010,IA,Severe Storm(s),Pocahontas,5,624
2010,IA,Severe Storm(s),O'Brien,5,604
2010,IA,Severe Storm(s),Pottawattamie,3,637
2010,IA,Severe Storm(s),Page,1,612
2010,IA,Severe Storm(s),Sac,4,647
2010,IA,Severe Storm(s),Shelby,4,660
2010,IA,Severe Storm(s),Sioux,5,663
2010,NE,Severe Storm(s),Adams,4,1303
2010,NE,Severe Storm(s),Antelope,2,1305
2010,NE,Severe Storm(s),Boone,2,1310
2010,NE,Severe Storm(s),Boyd,3,1317
2010,IA,Severe Storm(s),Woodbury,2,702
2010,NE,Severe Storm(s),Brown,2,1319
2010,NE,Severe Storm(s),Burt,3,1323
2010,NE,Severe Storm(s),Butler,3,1325
2010,NE,Severe Storm(s),Cedar,3,1329
2010,NE,Severe Storm(s),Cherry,2,1333
2010,NE,Severe Storm(s),Cass,6,1326
2010,NE,Severe Storm(s),Clay,2,1336
2010,NE,Severe Storm(s),Colfax,3,1338
2010,NE,Severe Storm(s),Cuming,5,1340
2010,NE,Severe Storm(s),Dakota,3,1344
2010,NE,Severe Storm(s),Dixon,4,1353
2010,NE,Severe Storm(s),Dodge,4,1354
2010,NE,Severe Storm(s),Douglas,3,1358
2010,NE,Severe Storm(s),Frontier,2,1371
2010,NE,Severe Storm(s),Furnas,4,1374
2010,NE,Severe Storm(s),Gage,3,1378
2010,NE,Severe Storm(s),Fillmore,3,1363
2010,NE,Severe Storm(s),Gosper,2,1393
2010,NE,Severe Storm(s),Garfield,3,1391
2010,NE,Severe Storm(s),Greeley,3,1397
2010,NE,Severe Storm(s),Hamilton,4,1405
2010,NE,Severe Storm(s),Harlan,4,1409
2010,NE,Severe Storm(s),Holt,4,1416
2010,NE,Severe Storm(s),Howard,3,1311
2010,NE,Severe Storm(s),Jefferson,4,1312
2010,NE,Severe Storm(s),Lancaster,2,1324
2010,NE,Severe Storm(s),Loup,3,1331
2010,NE,Severe Storm(s),Johnson,3,1313
2010,NE,Severe Storm(s),Madison,2,1335
2010,NE,Severe Storm(s),Merrick,1,1337
2010,NE,Severe Storm(s),Knox,2,1322
2010,NE,Severe Storm(s),Keya Paha,2,1318
2010,NE,Severe Storm(s),Nemaha,5,1343
2010,NE,Severe Storm(s),Nuckolls,3,1345
2010,NE,Severe Storm(s),Morrill,4,1339
2010,NE,Severe Storm(s),Nance,2,1341
2010,NE,Severe Storm(s),Otoe,4,1348
2010,NE,Severe Storm(s),Pawnee,4,1350
2010,NE,Severe Storm(s),Pierce,2,1356
2010,NE,Severe Storm(s),Platte,3,1359
2010,NE,Severe Storm(s),Polk,4,1362
2010,NE,Severe Storm(s),Richardson,4,1365
2010,NE,Severe Storm(s),Saline,2,1367
2010,NE,Severe Storm(s),Sarpy,3,1368
2010,NE,Severe Storm(s),Saunders,5,1370
2010,NE,Severe Storm(s),Rock,4,1366
2010,NE,Severe Storm(s),Seward,2,1375
2010,NE,Severe Storm(s),Stanton,3,1382
2010,NE,Severe Storm(s),Thayer,2,1383
2010,NE,Severe Storm(s),Thurston,7,1385
2010,NE,Severe Storm(s),Washington,3,1387
2010,NE,Severe Storm(s),Wayne,7,1388
2010,NE,Severe Storm(s),Wheeler,2,1390
2010,NE,Severe Storm(s),York,3,1392
2010,ND,Severe Storm(s),Adams,3,1826
2010,ND,Severe Storm(s),Barnes,1,1828
2010,ND,Severe Storm(s),Billings,1,1833
2010,ND,Severe Storm(s),Burke,2,1841
2010,ND,Severe Storm(s),Dickey,1,2004
2010,ND,Severe Storm(s),Dunn,3,2013
2010,ND,Severe Storm(s),Bowman,2,1838
2010,ND,Severe Storm(s),Emmons,1,2021
2010,ND,Severe Storm(s),Golden Valley,1,2036
2010,ND,Severe Storm(s),Grant,3,2051
2010,ND,Severe Storm(s),Hettinger,2,2063
2010,ND,Severe Storm(s),McIntosh,1,2090
2010,ND,Severe Storm(s),McKenzie,3,2097
2010,ND,Severe Storm(s),Mercer,2,2107
2010,ND,Severe Storm(s),Morton,3,2114
2010,ND,Severe Storm(s),Logan,1,2078
2010,ND,Severe Storm(s),Mountrail,3,2119
2010,ND,Severe Storm(s),Oliver,2,2127
2010,ND,Severe Storm(s),Ransom,1,2147
2010,ND,Severe Storm(s),Renville,2,2150
2010,ND,Severe Storm(s),Sioux,3,2175
2010,ND,Severe Storm(s),Slope,2,2180
2010,ND,Severe Storm(s),Stark,2,2182
2010,ND,Severe Storm(s),Steele,1,2186
2010,IA,Severe Storm(s),Adams,3,602
2010,IA,Severe Storm(s),Boone,2,625
2010,ND,Severe Storm(s),Walsh,2,2225
2010,IA,Severe Storm(s),Dallas,4,413
2010,IA,Severe Storm(s),Greene,2,458
2010,IA,Severe Storm(s),Hardin,3,475
2010,IA,Severe Storm(s),Madison,2,550
2010,IA,Severe Storm(s),Story,5,668
2010,IA,Severe Storm(s),Union,2,675
2010,CA,Severe Storm(s),Calaveras,3,489
2010,CA,Severe Storm(s),Imperial,1,557
2010,CA,Severe Storm(s),Los Angeles,1,139
2010,CA,Severe Storm(s),Riverside,2,281
2010,CA,Severe Storm(s),San Bernardino,1,302
2010,CA,Severe Storm(s),Siskiyou,2,446
2010,KS,Severe Storm(s),Allen,3,709
2010,KS,Severe Storm(s),Anderson,4,712
2010,KS,Severe Storm(s),Bourbon,3,722
2010,KS,Severe Storm(s),Brown,4,723
2010,KS,Severe Storm(s),Butler,6,726
2010,KS,Severe Storm(s),Cherokee,5,732
2010,KS,Severe Storm(s),Cheyenne,4,736
2010,KS,Severe Storm(s),Clay,7,739
2010,KS,Severe Storm(s),Atchison,4,715
2010,KS,Severe Storm(s),Cowley,7,752
2010,KS,Severe Storm(s),Doniphan,6,765
2010,KS,Severe Storm(s),Douglas,3,767
2010,KS,Severe Storm(s),Elk,6,773
2010,KS,Severe Storm(s),Coffey,5,745
2010,KS,Severe Storm(s),Decatur,2,759
2010,KS,Severe Storm(s),Crawford,4,756
2010,KS,Severe Storm(s),Franklin,5,786
2010,KS,Severe Storm(s),Geary,4,788
2010,KS,Severe Storm(s),Gove,1,790
2010,KS,Severe Storm(s),Graham,2,791
2010,KS,Severe Storm(s),Greenwood,8,803
2010,KS,Severe Storm(s),Jackson,3,819
2010,KS,Severe Storm(s),Jefferson,4,821
