BaseYear,state,incidentType,designatedArea,Freq,FID
2010,NJ,Snow,Atlantic,3,1461
2010,NJ,Snow,Burlington,3,1470
2010,NJ,Snow,Camden,2,1472
2010,NJ,Snow,Cumberland,3,1482
2010,NJ,Snow,Ocean,2,1546
2010,NJ,Snow,Salem,2,1553
2010,VA,Snow,Albemarle,3,2728
2010,NJ,Snow,Gloucester,2,1484
2010,VA,Snow,Alleghany,1,2733
2010,VA,Snow,Arlington,3,2753
2010,VA,Snow,Augusta,2,2758
2010,VA,Snow,Bath,1,2763
2010,VA,Snow,Amherst,1,2746
2010,VA,Snow,Botetourt,1,2776
2010,VA,Snow,Buchanan,1,2784
2010,VA,Snow,Caroline,3,2793
2010,VA,Snow,Bedford County,1,2769
2010,VA,Snow,Craig,2,2820
2010,VA,Snow,Culpeper,3,2824
2010,VA,Snow,Dickenson,1,2832
2010,VA,Snow,Fairfax County,3,2849
2010,VA,Snow,Grayson,1,2896
2010,VA,Snow,Greene,3,2899
2010,VA,Snow,Hanover,1,2909
2010,VA,Snow,Highland,3,2920
2010,VA,Snow,King George,3,2938
2010,VA,Snow,Lee,1,2950
2010,VA,Snow,Louisa,3,2953
2010,VA,Snow,Madison,3,2955
2010,VA,Snow,Montgomery,1,2966
2010,VA,Snow,Nelson,2,2968
2010,VA,Snow,Orange,2,2985
2010,VA,Snow,Page,3,2986
2010,VA,Snow,Prince William,3,2992
2010,VA,Snow,Roanoke County,1,2996
2010,VA,Snow,Rockbridge,1,2997
2010,VA,Snow,Russell,1,2999
2010,VA,Snow,Scott,1,2585
2010,VA,Snow,Spotsylvania,3,2619
2010,VA,Snow,Stafford,3,2629
2010,VA,Snow,Tazewell,2,2656
2010,VA,Snow,Wise,1,2695
2010,VA,Snow,Alexandria,3,2712
2010,VA,Snow,Buena Vista,1,2720
2010,VA,Snow,Charlottesville,1,2722
2010,VA,Snow,Covington,1,2729
2010,VA,Snow,Fairfax City,3,2737
2010,VA,Snow,Falls Church,3,2740
2010,VA,Snow,Fredericksburg,3,2745
2010,VA,Snow,Galax,1,2747
2010,VA,Snow,Manassas,3,2765
2010,VA,Snow,Manassas Park,3,2768
2010,VA,Snow,Norton,1,2780
2010,VA,Snow,Radford,1,2799
2010,VA,Snow,Roanoke City,1,2805
2010,VA,Snow,Staunton,1,2812
2010,VA,Snow,Waynesboro,2,2831
2010,MD,Snow,Anne Arundel,3,1925
2010,MD,Snow,Baltimore County,3,1939
2010,MD,Snow,Caroline,3,1949
2010,MD,Snow,Cecil,3,1963
2010,MD,Snow,Charles,3,1294
2010,MD,Snow,Harford,3,1372
2010,MD,Snow,Howard,3,1379
2010,MD,Snow,Kent,3,1394
2010,MD,Snow,Montgomery,3,1398
2010,MD,Snow,Queen Anne's,3,1413
2010,MD,Snow,Baltimore City,3,1460
2010,MD,Snow,Talbot,2,1438
2010,WV,Snow,Boone,1,2977
2010,WV,Snow,Calhoun,1,2981
2010,WV,Snow,Clay,1,3000
2010,WV,Snow,Greenbrier,1,3013
2010,WV,Snow,Jefferson,2,3026
2010,WV,Snow,Kanawha,1,3027
2010,WV,Snow,Fayette,1,3006
