state,declarationDate,incidentType,designatedArea,FID
MN,2010-07-02T10:41:00.000Z,Tornado,Blue Earth,1886
MN,2010-07-02T10:41:00.000Z,Tornado,Brown,1892
MN,2010-07-02T10:41:00.000Z,Tornado,Nicollet,1948
MN,2010-07-02T10:41:00.000Z,Tornado,Polk,1959
MN,2010-07-02T10:41:00.000Z,Tornado,Sibley,1982
MN,2010-07-02T10:41:00.000Z,Tornado,Wadena,1992
MN,2010-07-02T10:41:00.000Z,Tornado,Kittson,1921
MN,2010-07-02T10:41:00.000Z,Tornado,Houston,1914
MN,2010-07-02T10:41:00.000Z,Tornado,Faribault,1908
MN,2010-07-02T10:41:00.000Z,Tornado,Steele,1985
MN,2010-07-02T10:41:00.000Z,Tornado,Freeborn,1910
MN,2010-07-02T10:41:00.000Z,Tornado,Olmsted,1953
MN,2010-07-02T10:41:00.000Z,Tornado,Otter Tail,1954
NY,2010-10-14T16:50:00.000Z,Tornado,Kings,1788
NY,2010-10-14T16:50:00.000Z,Tornado,Queens,1872
NY,2010-10-14T16:50:00.000Z,Tornado,Richmond,1876
MA,2011-06-15T12:30:00.000Z,Tornado,Worcester,1599
MA,2011-06-15T12:30:00.000Z,Tornado,Hampden,1526
OK,2013-05-20T22:30:00.000Z,Tornado,Haskell,2195
OK,2013-05-20T22:30:00.000Z,Tornado,Craig,2148
OK,2013-05-20T22:30:00.000Z,Tornado,Nowata,2290
OK,2013-05-20T22:30:00.000Z,Tornado,Ottawa,2325
OK,2013-05-20T22:30:00.000Z,Tornado,Latimer,2226
OK,2013-05-20T22:30:00.000Z,Tornado,McIntosh,2258
OK,2013-05-20T22:30:00.000Z,Tornado,Hughes,2197
OK,2013-05-20T22:30:00.000Z,Tornado,Pittsburg,2344
OK,2013-05-20T22:30:00.000Z,Tornado,Atoka,2102
OK,2013-05-20T22:30:00.000Z,Tornado,Coal,2144
OK,2013-05-20T22:30:00.000Z,Tornado,Seminole,2384
OK,2013-05-20T22:30:00.000Z,Tornado,Le Flore,2230
OK,2013-05-20T22:30:00.000Z,Tornado,Pushmataha,2362
OK,2013-05-20T22:30:00.000Z,Tornado,Canadian,2123
OK,2013-05-20T22:30:00.000Z,Tornado,Cleveland,2140
OK,2013-05-20T22:30:00.000Z,Tornado,Lincoln,2234
OK,2013-05-20T22:30:00.000Z,Tornado,McClain,2245
OK,2013-05-20T22:30:00.000Z,Tornado,Okfuskee,2297
OK,2013-05-20T22:30:00.000Z,Tornado,Oklahoma,2303
OK,2013-05-20T22:30:00.000Z,Tornado,Okmulgee,2311
OK,2013-05-20T22:30:00.000Z,Tornado,Pottawatomie,2356
IL,2013-11-26T18:08:00.000Z,Tornado,Champaign,12
IL,2013-11-26T18:08:00.000Z,Tornado,Douglas,55
IL,2013-11-26T18:08:00.000Z,Tornado,Fayette,79
IL,2013-11-26T18:08:00.000Z,Tornado,Grundy,99
IL,2013-11-26T18:08:00.000Z,Tornado,Jasper,133
IL,2013-11-26T18:08:00.000Z,Tornado,LaSalle,175
IL,2013-11-26T18:08:00.000Z,Tornado,Massac,208
IL,2013-11-26T18:08:00.000Z,Tornado,Pope,245
IL,2013-11-26T18:08:00.000Z,Tornado,Tazewell,291
IL,2013-11-26T18:08:00.000Z,Tornado,Vermilion,296
IL,2013-11-26T18:08:00.000Z,Tornado,Wabash,299
IL,2013-11-26T18:08:00.000Z,Tornado,Washington,305
IL,2013-11-26T18:08:00.000Z,Tornado,Wayne,310
IL,2013-11-26T18:08:00.000Z,Tornado,Will,320
IL,2013-11-26T18:08:00.000Z,Tornado,Woodford,328
NE,2014-06-17T10:00:00.000Z,Tornado,Clay,1336
NE,2014-06-17T10:00:00.000Z,Tornado,Fillmore,1363
NE,2014-06-17T10:00:00.000Z,Tornado,Saline,1367
NE,2014-06-17T10:00:00.000Z,Tornado,Seward,1375
NE,2014-06-17T10:00:00.000Z,Tornado,York,1392
NE,2014-06-17T10:00:00.000Z,Tornado,Saunders,1370
MS,2015-01-07T15:18:00.000Z,Tornado,Marion,1653
MT,2016-08-03T18:45:00.000Z,Tornado,Fallon,1165
MS,2017-01-25T14:35:00.000Z,Tornado,Forrest,1572
MS,2017-01-25T14:35:00.000Z,Tornado,Lamar,1623
MS,2017-01-25T14:35:00.000Z,Tornado,Lauderdale,1628
GA,2017-01-26T11:30:00.000Z,Tornado,Baker,990
GA,2017-01-26T11:30:00.000Z,Tornado,Appling,987
MS,2017-01-25T14:35:00.000Z,Tornado,Perry,1679
GA,2017-01-26T11:30:00.000Z,Tornado,Brantley,999
GA,2017-01-26T11:30:00.000Z,Tornado,Brooks,565
GA,2017-01-26T11:30:00.000Z,Tornado,Bulloch,579
GA,2017-01-26T11:30:00.000Z,Tornado,Colquitt,689
GA,2017-01-26T11:30:00.000Z,Tornado,Echols,737
GA,2017-01-26T11:30:00.000Z,Tornado,Lowndes,863
GA,2017-01-26T11:30:00.000Z,Tornado,Putnam,13
GA,2017-01-26T11:30:00.000Z,Tornado,Calhoun,592
GA,2017-01-26T11:30:00.000Z,Tornado,Clay,670
GA,2017-01-26T11:30:00.000Z,Tornado,Tattnall,63
GA,2017-01-26T11:30:00.000Z,Tornado,Randolph,23
GA,2017-01-26T11:30:00.000Z,Tornado,Upson,123
GA,2017-01-26T11:30:00.000Z,Tornado,Ware,132
GA,2017-01-26T11:30:00.000Z,Tornado,Cook,697
GA,2017-01-26T11:30:00.000Z,Tornado,Turner,108
GA,2017-01-26T11:30:00.000Z,Tornado,Thomas,83
GA,2017-01-26T11:30:00.000Z,Tornado,Worth,173
GA,2017-01-26T11:30:00.000Z,Tornado,Crisp,707
GA,2017-01-26T11:30:00.000Z,Tornado,Dougherty,728
GA,2017-01-26T11:30:00.000Z,Tornado,Berrien,996
GA,2017-01-26T11:30:00.000Z,Tornado,Wilcox,163
LA,2017-02-11T14:30:00.000Z,Tornado,Livingston,1295
LA,2017-02-11T14:30:00.000Z,Tornado,Orleans,1304
OK,2017-07-25T19:00:00.000Z,Tornado,Beckham,2106
OK,2017-07-25T19:00:00.000Z,Tornado,Cherokee,2129
OK,2017-07-25T19:00:00.000Z,Tornado,Coal,2144
OK,2017-07-25T19:00:00.000Z,Tornado,Cotton,2146
OK,2017-07-25T19:00:00.000Z,Tornado,Alfalfa,2099
OK,2017-07-25T19:00:00.000Z,Tornado,Delaware,2154
OK,2017-07-25T19:00:00.000Z,Tornado,Johnston,2211
OK,2017-07-25T19:00:00.000Z,Tornado,Le Flore,2230
OK,2017-07-25T19:00:00.000Z,Tornado,Murray,2276
OK,2017-07-25T19:00:00.000Z,Tornado,Muskogee,2281
OK,2017-07-25T19:00:00.000Z,Tornado,Okfuskee,2297
OK,2017-07-25T19:00:00.000Z,Tornado,Okmulgee,2311
OK,2017-07-25T19:00:00.000Z,Tornado,Pittsburg,2344
OK,2017-07-25T19:00:00.000Z,Tornado,Roger Mills,2369
OK,2017-07-25T19:00:00.000Z,Tornado,Pontotoc,2351
OK,2017-07-25T19:00:00.000Z,Tornado,Washita,2023
CT,2018-08-20T12:01:00.000Z,Tornado,Fairfield,410
CT,2018-08-20T12:01:00.000Z,Tornado,New Haven,466
AL,2019-03-05T17:33:00.000Z,Tornado,Lee,187
OH,2019-06-18T09:23:00.000Z,Tornado,Columbiana,2315
OH,2019-06-18T09:23:00.000Z,Tornado,Auglaize,2273
OH,2019-06-18T09:23:00.000Z,Tornado,Hocking,2461
OH,2019-06-18T09:23:00.000Z,Tornado,Miami,2558
OH,2019-06-18T09:23:00.000Z,Tornado,Mahoning,2534
OH,2019-06-18T09:23:00.000Z,Tornado,Muskingum,2010
OH,2019-06-18T09:23:00.000Z,Tornado,Perry,2027
OH,2019-06-18T09:23:00.000Z,Tornado,Pickaway,2031
OH,2019-06-18T09:23:00.000Z,Tornado,Greene,2393
OH,2019-06-18T09:23:00.000Z,Tornado,Mercer,2552
OH,2019-06-18T09:23:00.000Z,Tornado,Darke,2345
OH,2019-06-18T09:23:00.000Z,Tornado,Montgomery,2573
