BaseYear,state,incidentType,designatedArea,Freq,FID
2020,WA,Biological,Adams,2,2840
2020,WA,Biological,Asotin,2,2845
2020,WA,Biological,Benton,2,2847
2020,WA,Biological,Chelan,2,2852
2020,WA,Biological,Clallam,2,2861
2020,WA,Biological,Clark,2,2865
2020,WA,Biological,Columbia,2,2869
2020,WA,Biological,Cowlitz,2,2871
2020,WA,Biological,Douglas,2,2877
2020,WA,Biological,Ferry,2,2880
2020,WA,Biological,Franklin,2,2884
2020,WA,Biological,Garfield,2,2886
2020,WA,Biological,Grant,2,2889
2020,WA,Biological,Grays Harbor,2,2894
2020,WA,Biological,Island,2,2898
2020,WA,Biological,Jefferson,2,2905
2020,WA,Biological,King,2,2913
2020,WA,Biological,Kitsap,2,2927
2020,WA,Biological,Kittitas,2,2932
2020,WA,Biological,Klickitat,2,2935
2020,WA,Biological,Lewis,2,2940
2020,WA,Biological,Lincoln,2,2942
2020,WA,Biological,Mason,2,2946
2020,WA,Biological,Okanogan,2,2947
2020,WA,Biological,Pend Oreille,2,2951
2020,WA,Biological,Pierce,2,2956
2020,WA,Biological,Pacific,2,2949
2020,WA,Biological,Skagit,2,2958
2020,WA,Biological,Skamania,2,2959
2020,WA,Biological,Snohomish,2,2960
2020,WA,Biological,Spokane,2,2961
2020,WA,Biological,San Juan,2,2957
2020,WA,Biological,Stevens,2,2963
2020,WA,Biological,Thurston,2,2967
2020,WA,Biological,Wahkiakum,2,2969
2020,WA,Biological,Walla Walla,2,2970
2020,WA,Biological,Whatcom,2,2972
2020,WA,Biological,Whitman,2,2973
2020,CA,Biological,Alameda,2,457
2020,CA,Biological,Alpine,2,461
2020,CA,Biological,Amador,2,472
2020,CA,Biological,Butte,2,486
2020,CA,Biological,Calaveras,2,489
2020,CA,Biological,Colusa,2,497
2020,WA,Biological,Yakima,2,2974
2020,CA,Biological,Contra Costa,2,503
2020,CA,Biological,Del Norte,2,511
2020,CA,Biological,El Dorado,2,522
2020,CA,Biological,Fresno,2,527
2020,CA,Biological,Imperial,2,557
2020,CA,Biological,Kern,2,84
2020,CA,Biological,Inyo,2,562
2020,CA,Biological,Kings,2,94
2020,CA,Biological,Humboldt,2,551
2020,CA,Biological,Glenn,2,537
2020,CA,Biological,Lake,2,100
2020,CA,Biological,Mariposa,2,178
2020,CA,Biological,Marin,2,168
2020,CA,Biological,Madera,2,153
2020,CA,Biological,Mendocino,2,190
2020,CA,Biological,Los Angeles,2,139
2020,CA,Biological,Merced,2,204
2020,CA,Biological,Modoc,2,207
2020,CA,Biological,Lassen,2,104
