BaseYear,state,incidentType,designatedArea,Freq,FID
2020,LA,Coastal Storm,Acadia,1,1046
2020,LA,Coastal Storm,Allen,1,1051
2020,LA,Coastal Storm,Ascension,1,1055
2020,LA,Coastal Storm,Assumption,1,1060
2020,LA,Coastal Storm,Avoyelles,1,1062
2020,LA,Coastal Storm,Beauregard,1,1066
2020,LA,Coastal Storm,Bienville,1,1069
2020,LA,Coastal Storm,Bossier,1,1076
2020,LA,Coastal Storm,Caddo,1,1079
2020,LA,Coastal Storm,Calcasieu,1,1081
2020,LA,Coastal Storm,Caldwell,1,1084
2020,LA,Coastal Storm,Cameron,1,1089
2020,LA,Coastal Storm,Catahoula,1,1093
2020,LA,Coastal Storm,Claiborne,1,1095
2020,LA,Coastal Storm,Concordia,1,1098
2020,LA,Coastal Storm,East Baton Rouge,1,1108
2020,LA,Coastal Storm,De Soto,1,1103
2020,LA,Coastal Storm,East Carroll,1,1111
2020,LA,Coastal Storm,East Feliciana,1,1115
2020,LA,Coastal Storm,Evangeline,1,1118
2020,LA,Coastal Storm,Franklin,1,1123
2020,LA,Coastal Storm,Grant,1,1127
2020,LA,Coastal Storm,Iberia,1,1133
2020,LA,Coastal Storm,Iberville,1,1134
2020,LA,Coastal Storm,Jackson,1,1138
2020,LA,Coastal Storm,Jefferson,1,1147
2020,LA,Coastal Storm,Jefferson Davis,1,1155
2020,LA,Coastal Storm,Lafayette,1,1161
2020,LA,Coastal Storm,Lafourche,1,1280
2020,LA,Coastal Storm,La Salle,1,1289
2020,LA,Coastal Storm,Lincoln,1,1291
2020,LA,Coastal Storm,Livingston,1,1295
2020,LA,Coastal Storm,Madison,1,1297
2020,LA,Coastal Storm,Morehouse,1,1299
2020,LA,Coastal Storm,Natchitoches,1,1301
2020,LA,Coastal Storm,Orleans,1,1304
2020,LA,Coastal Storm,Ouachita,1,1306
2020,LA,Coastal Storm,Plaquemines,1,1427
2020,LA,Coastal Storm,Pointe Coupee,1,1431
2020,LA,Coastal Storm,Rapides,1,1434
2020,LA,Coastal Storm,Red River,1,1436
2020,LA,Coastal Storm,Richland,1,1439
2020,LA,Coastal Storm,Sabine,1,1441
2020,LA,Coastal Storm,St. Bernard,1,1463
2020,LA,Coastal Storm,St. Charles,1,1466
2020,LA,Coastal Storm,St. Helena,1,1467
2020,LA,Coastal Storm,St. James,1,1468
2020,LA,Coastal Storm,St. John the Baptist,1,1469
2020,LA,Coastal Storm,St. Landry,1,1471
2020,LA,Coastal Storm,St. Martin,1,1473
2020,LA,Coastal Storm,St. Mary,1,1474
2020,LA,Coastal Storm,St. Tammany,1,1475
2020,LA,Coastal Storm,Tangipahoa,1,1476
2020,LA,Coastal Storm,Tensas,1,1479
2020,LA,Coastal Storm,Terrebonne,1,1501
2020,LA,Coastal Storm,Union,1,1507
2020,LA,Coastal Storm,Vermilion,1,1510
2020,LA,Coastal Storm,Vernon,1,1513
2020,LA,Coastal Storm,Washington,1,1516
2020,LA,Coastal Storm,Webster,1,1518
2020,LA,Coastal Storm,West Baton Rouge,1,1520
2020,LA,Coastal Storm,West Carroll,1,1522
2020,LA,Coastal Storm,West Feliciana,1,1524
2020,LA,Coastal Storm,Winn,1,1529
