BaseYear,state,incidentType,designatedArea,Freq,FID
2020,PR,Earthquake,Aguada,2,3062
2020,PR,Earthquake,Aguadilla,1,3063
2020,PR,Earthquake,Aguas Buenas,1,3065
2020,PR,Earthquake,Aibonito,1,3067
2020,PR,Earthquake,Anasco,2,3069
2020,PR,Earthquake,Arecibo,2,3071
2020,PR,Earthquake,Arroyo,1,3072
2020,PR,Earthquake,Barceloneta,2,3074
2020,PR,Earthquake,Barranquitas,1,3076
2020,PR,Earthquake,Bayamon,1,3078
2020,PR,Earthquake,Cabo Rojo,2,3081
2020,PR,Earthquake,Caguas,1,3083
2020,PR,Earthquake,Canovanas,1,3088
2020,PR,Earthquake,Catano,1,3092
2020,PR,Earthquake,Camuy,1,3086
2020,PR,Earthquake,Carolina,1,3090
2020,PR,Earthquake,Comerio,1,3103
2020,PR,Earthquake,Corozal,2,3105
2020,PR,Earthquake,Culebra,1,3107
2020,PR,Earthquake,Dorado,1,3109
2020,PR,Earthquake,Coamo,2,3102
2020,PR,Earthquake,Ceiba,1,3096
2020,PR,Earthquake,Cayey,1,3094
2020,PR,Earthquake,Ciales,2,3098
2020,PR,Earthquake,Cidra,1,3100
2020,PR,Earthquake,Fajardo,1,3110
2020,PR,Earthquake,Florida,1,3112
2020,PR,Earthquake,Guanica,2,3114
2020,PR,Earthquake,Guayama,1,3118
2020,PR,Earthquake,Guayanilla,2,3121
2020,PR,Earthquake,Guaynabo,1,3123
2020,PR,Earthquake,Gurabo,1,3125
2020,PR,Earthquake,Hatillo,1,3127
2020,PR,Earthquake,Hormigueros,2,3128
2020,PR,Earthquake,Humacao,1,3129
2020,PR,Earthquake,Isabela,1,3130
2020,PR,Earthquake,Jayuya,2,3132
2020,PR,Earthquake,Juana Diaz,2,3133
2020,PR,Earthquake,Juncos,1,3136
2020,PR,Earthquake,Lares,2,3142
2020,PR,Earthquake,Las Marias,2,3144
2020,PR,Earthquake,Las Piedras,1,3146
2020,PR,Earthquake,Loiza,1,3149
2020,PR,Earthquake,Luquillo,1,3150
2020,PR,Earthquake,Lajas,2,3139
2020,PR,Earthquake,Maunabo,1,3157
2020,PR,Earthquake,Mayaguez,2,3159
2020,PR,Earthquake,Moca,2,3162
2020,PR,Earthquake,Manati,1,3152
2020,PR,Earthquake,Naranjito,2,3168
2020,PR,Earthquake,Maricao,2,3155
2020,PR,Earthquake,Naguabo,1,3167
2020,PR,Earthquake,Orocovis,2,3171
2020,PR,Earthquake,Morovis,2,3164
2020,PR,Earthquake,Patillas,1,3173
2020,PR,Earthquake,Penuelas,2,3176
2020,PR,Earthquake,Ponce,2,3178
2020,PR,Earthquake,Quebradillas,1,3180
2020,PR,Earthquake,Rincon,2,3182
2020,PR,Earthquake,Rio Grande,1,3184
2020,PR,Earthquake,Sabana Grande,2,3187
2020,PR,Earthquake,Salinas,2,3190
2020,PR,Earthquake,San German,2,3193
2020,PR,Earthquake,San Juan,1,3197
2020,PR,Earthquake,San Lorenzo,1,3201
2020,PR,Earthquake,San Sebastian,2,3204
2020,PR,Earthquake,Santa Isabel,2,3206
2020,PR,Earthquake,Toa Alta,1,3209
2020,PR,Earthquake,Toa Baja,1,3211
2020,PR,Earthquake,Trujillo Alto,1,3212
2020,PR,Earthquake,Utuado,2,3214
2020,PR,Earthquake,Vega Alta,1,3215
2020,PR,Earthquake,Villalba,2,3218
2020,PR,Earthquake,Yabucoa,1,3219
2020,PR,Earthquake,Vega Baja,1,3216
2020,PR,Earthquake,Vieques,1,3217
2020,PR,Earthquake,Yauco,2,3220
2020,PR,Earthquake,Adjuntas,1,3060
2020,UT,Earthquake,Salt Lake,1,2690
2020,UT,Earthquake,Davis,1,2671
