state,declarationDate,incidentType,designatedArea,FID
PR,2020-01-07T21:58:00.000Z,Earthquake,Aguada,3062
PR,2020-01-07T21:58:00.000Z,Earthquake,Aguadilla,3063
PR,2020-01-07T21:58:00.000Z,Earthquake,Aguas Buenas,3065
PR,2020-01-07T21:58:00.000Z,Earthquake,Aibonito,3067
PR,2020-01-07T21:58:00.000Z,Earthquake,Anasco,3069
PR,2020-01-07T21:58:00.000Z,Earthquake,Arecibo,3071
PR,2020-01-07T21:58:00.000Z,Earthquake,Arroyo,3072
PR,2020-01-07T21:58:00.000Z,Earthquake,Barceloneta,3074
PR,2020-01-07T21:58:00.000Z,Earthquake,Barranquitas,3076
PR,2020-01-07T21:58:00.000Z,Earthquake,Bayamon,3078
PR,2020-01-07T21:58:00.000Z,Earthquake,Cabo Rojo,3081
PR,2020-01-07T21:58:00.000Z,Earthquake,Caguas,3083
PR,2020-01-07T21:58:00.000Z,Earthquake,Canovanas,3088
PR,2020-01-07T21:58:00.000Z,Earthquake,Catano,3092
PR,2020-01-07T21:58:00.000Z,Earthquake,Camuy,3086
PR,2020-01-07T21:58:00.000Z,Earthquake,Carolina,3090
PR,2020-01-07T21:58:00.000Z,Earthquake,Comerio,3103
PR,2020-01-07T21:58:00.000Z,Earthquake,Corozal,3105
PR,2020-01-07T21:58:00.000Z,Earthquake,Culebra,3107
PR,2020-01-07T21:58:00.000Z,Earthquake,Dorado,3109
PR,2020-01-07T21:58:00.000Z,Earthquake,Coamo,3102
PR,2020-01-07T21:58:00.000Z,Earthquake,Ceiba,3096
PR,2020-01-07T21:58:00.000Z,Earthquake,Cayey,3094
PR,2020-01-07T21:58:00.000Z,Earthquake,Ciales,3098
PR,2020-01-07T21:58:00.000Z,Earthquake,Cidra,3100
PR,2020-01-07T21:58:00.000Z,Earthquake,Fajardo,3110
PR,2020-01-07T21:58:00.000Z,Earthquake,Florida,3112
PR,2020-01-07T21:58:00.000Z,Earthquake,Guanica,3114
PR,2020-01-07T21:58:00.000Z,Earthquake,Guayama,3118
PR,2020-01-07T21:58:00.000Z,Earthquake,Guayanilla,3121
PR,2020-01-07T21:58:00.000Z,Earthquake,Guaynabo,3123
PR,2020-01-07T21:58:00.000Z,Earthquake,Gurabo,3125
PR,2020-01-07T21:58:00.000Z,Earthquake,Hatillo,3127
PR,2020-01-07T21:58:00.000Z,Earthquake,Hormigueros,3128
PR,2020-01-07T21:58:00.000Z,Earthquake,Humacao,3129
PR,2020-01-07T21:58:00.000Z,Earthquake,Isabela,3130
PR,2020-01-07T21:58:00.000Z,Earthquake,Jayuya,3132
PR,2020-01-07T21:58:00.000Z,Earthquake,Juana Diaz,3133
PR,2020-01-07T21:58:00.000Z,Earthquake,Juncos,3136
PR,2020-01-07T21:58:00.000Z,Earthquake,Lares,3142
PR,2020-01-07T21:58:00.000Z,Earthquake,Las Marias,3144
PR,2020-01-07T21:58:00.000Z,Earthquake,Las Piedras,3146
PR,2020-01-07T21:58:00.000Z,Earthquake,Loiza,3149
PR,2020-01-07T21:58:00.000Z,Earthquake,Luquillo,3150
PR,2020-01-07T21:58:00.000Z,Earthquake,Lajas,3139
PR,2020-01-07T21:58:00.000Z,Earthquake,Maunabo,3157
PR,2020-01-07T21:58:00.000Z,Earthquake,Mayaguez,3159
PR,2020-01-07T21:58:00.000Z,Earthquake,Moca,3162
PR,2020-01-07T21:58:00.000Z,Earthquake,Manati,3152
PR,2020-01-07T21:58:00.000Z,Earthquake,Naranjito,3168
PR,2020-01-07T21:58:00.000Z,Earthquake,Maricao,3155
PR,2020-01-07T21:58:00.000Z,Earthquake,Naguabo,3167
PR,2020-01-07T21:58:00.000Z,Earthquake,Orocovis,3171
PR,2020-01-07T21:58:00.000Z,Earthquake,Morovis,3164
PR,2020-01-07T21:58:00.000Z,Earthquake,Patillas,3173
PR,2020-01-07T21:58:00.000Z,Earthquake,Penuelas,3176
PR,2020-01-07T21:58:00.000Z,Earthquake,Ponce,3178
PR,2020-01-07T21:58:00.000Z,Earthquake,Quebradillas,3180
PR,2020-01-07T21:58:00.000Z,Earthquake,Rincon,3182
PR,2020-01-07T21:58:00.000Z,Earthquake,Rio Grande,3184
PR,2020-01-07T21:58:00.000Z,Earthquake,Sabana Grande,3187
PR,2020-01-07T21:58:00.000Z,Earthquake,Salinas,3190
PR,2020-01-07T21:58:00.000Z,Earthquake,San German,3193
PR,2020-01-07T21:58:00.000Z,Earthquake,San Juan,3197
PR,2020-01-07T21:58:00.000Z,Earthquake,San Lorenzo,3201
PR,2020-01-07T21:58:00.000Z,Earthquake,San Sebastian,3204
PR,2020-01-07T21:58:00.000Z,Earthquake,Santa Isabel,3206
PR,2020-01-07T21:58:00.000Z,Earthquake,Toa Alta,3209
PR,2020-01-07T21:58:00.000Z,Earthquake,Toa Baja,3211
PR,2020-01-07T21:58:00.000Z,Earthquake,Trujillo Alto,3212
PR,2020-01-07T21:58:00.000Z,Earthquake,Utuado,3214
PR,2020-01-07T21:58:00.000Z,Earthquake,Vega Alta,3215
PR,2020-01-07T21:58:00.000Z,Earthquake,Villalba,3218
PR,2020-01-07T21:58:00.000Z,Earthquake,Yabucoa,3219
PR,2020-01-07T21:58:00.000Z,Earthquake,Vega Baja,3216
PR,2020-01-07T21:58:00.000Z,Earthquake,Vieques,3217
PR,2020-01-07T21:58:00.000Z,Earthquake,Yauco,3220
PR,2020-01-16T14:48:00.000Z,Earthquake,Anasco,3069
PR,2020-01-16T14:48:00.000Z,Earthquake,Corozal,3105
PR,2020-01-16T14:48:00.000Z,Earthquake,Aguada,3062
PR,2020-01-16T14:48:00.000Z,Earthquake,Arecibo,3071
PR,2020-01-16T14:48:00.000Z,Earthquake,Maricao,3155
PR,2020-01-16T14:48:00.000Z,Earthquake,Ciales,3098
PR,2020-01-16T14:48:00.000Z,Earthquake,Barceloneta,3074
PR,2020-01-16T14:48:00.000Z,Earthquake,Coamo,3102
PR,2020-01-16T14:48:00.000Z,Earthquake,Cabo Rojo,3081
PR,2020-01-16T14:48:00.000Z,Earthquake,Lares,3142
PR,2020-01-16T14:48:00.000Z,Earthquake,Hormigueros,3128
PR,2020-01-16T14:48:00.000Z,Earthquake,Moca,3162
PR,2020-01-16T14:48:00.000Z,Earthquake,Naranjito,3168
PR,2020-01-16T14:48:00.000Z,Earthquake,Morovis,3164
PR,2020-01-16T14:48:00.000Z,Earthquake,Orocovis,3171
PR,2020-01-16T14:48:00.000Z,Earthquake,Rincon,3182
PR,2020-01-16T14:48:00.000Z,Earthquake,Salinas,3190
PR,2020-01-16T14:48:00.000Z,Earthquake,San Sebastian,3204
PR,2020-01-16T14:48:00.000Z,Earthquake,Santa Isabel,3206
PR,2020-01-16T14:48:00.000Z,Earthquake,Guanica,3114
PR,2020-01-16T14:48:00.000Z,Earthquake,Villalba,3218
PR,2020-01-16T14:48:00.000Z,Earthquake,Guayanilla,3121
PR,2020-01-16T14:48:00.000Z,Earthquake,Adjuntas,3060
PR,2020-01-16T14:48:00.000Z,Earthquake,Jayuya,3132
PR,2020-01-16T14:48:00.000Z,Earthquake,Juana Diaz,3133
PR,2020-01-16T14:48:00.000Z,Earthquake,Lajas,3139
PR,2020-01-16T14:48:00.000Z,Earthquake,Penuelas,3176
PR,2020-01-16T14:48:00.000Z,Earthquake,Las Marias,3144
PR,2020-01-16T14:48:00.000Z,Earthquake,Sabana Grande,3187
PR,2020-01-16T14:48:00.000Z,Earthquake,Yauco,3220
PR,2020-01-16T14:48:00.000Z,Earthquake,Utuado,3214
PR,2020-01-16T14:48:00.000Z,Earthquake,San German,3193
PR,2020-01-16T14:48:00.000Z,Earthquake,Ponce,3178
PR,2020-01-16T14:48:00.000Z,Earthquake,Mayaguez,3159
UT,2020-07-09T19:25:00.000Z,Earthquake,Salt Lake,2690
UT,2020-07-09T19:25:00.000Z,Earthquake,Davis,2671
