BaseYear,state,incidentType,designatedArea,Freq,FID
2020,OR,Fire,Clackamas,5,2058
2020,OR,Fire,Douglas,3,2115
2020,OR,Fire,Jackson,4,2139
2020,OR,Fire,Klamath,4,2155
2020,OR,Fire,Lane,3,2170
2020,OR,Fire,Lincoln,3,2174
2020,OR,Fire,Marion,3,2200
2020,OR,Fire,Linn,3,2181
2020,OR,Fire,Tillamook,3,2242
2020,OR,Fire,Jefferson,3,2143
2020,OR,Fire,Washington,4,2272
2020,CA,Fire,Nevada,2,243
2020,CA,Fire,Plumas,3,275
2020,CA,Fire,Sierra,1,439
2020,CA,Fire,Tuolumne,1,513
2020,CA,Fire,Yuba,3,541
2020,CA,Fire,Lake,2,100
2020,CA,Fire,Monterey,3,228
2020,CA,Fire,Napa,4,236
2020,CA,Fire,Santa Clara,2,406
2020,CA,Fire,Santa Cruz,2,415
2020,CA,Fire,Mendocino,2,190
2020,CA,Fire,Lassen,2,104
2020,CA,Fire,Sonoma,4,463
2020,CA,Fire,Stanislaus,2,473
2020,CA,Fire,Trinity,1,500
2020,CA,Fire,Tulare,2,501
2020,CA,Fire,Yolo,2,525
2020,CA,Fire,Solano,2,453
2020,CA,Fire,San Mateo,2,368
2020,CA,Fire,Butte,2,486
2020,OR,Fire,Benton,1,2053
2020,OR,Fire,Columbia,1,2070
2020,OR,Fire,Coos,1,2083
2020,OR,Fire,Deschutes,2,2109
2020,OR,Fire,Josephine,2,2152
2020,OR,Fire,Multnomah,1,2218
2020,OR,Fire,Wasco,3,2267
2020,OR,Fire,Yamhill,2,2284
2020,OR,Fire,Lake,3,2159
2020,CA,Fire,Fresno,2,527
2020,CA,Fire,Los Angeles,2,139
2020,CA,Fire,Madera,2,153
2020,CA,Fire,Del Norte,1,511
2020,CA,Fire,San Bernardino,4,302
2020,CA,Fire,Shasta,2,431
2020,CA,Fire,Siskiyou,3,446
2020,CA,Fire,San Diego,1,315
2020,CO,Fire,Grand,2,677
2020,CO,Fire,Larimer,2,734
2020,WA,Fire,Douglas,4,2877
2020,WA,Fire,Ferry,2,2880
2020,WA,Fire,Franklin,2,2884
2020,WA,Fire,Kittitas,2,2932
2020,WA,Fire,Lincoln,2,2942
2020,WA,Fire,Pend Oreille,2,2951
2020,WA,Fire,Skamania,2,2959
2020,WA,Fire,Okanogan,6,2947
2020,WA,Fire,Whitman,3,2973
2020,WA,Fire,Yakima,4,2974
2020,FL,Fire,Santa Rosa,1,976
2020,FL,Fire,Walton,1,985
2020,NV,Fire,Washoe,5,1423
2020,AZ,Fire,Gila,3,787
2020,OK,Fire,Beaver,1,2104
2020,AZ,Fire,Maricopa,5,9
2020,FL,Fire,Collier,1,894
2020,AZ,Fire,Pima,1,21
2020,UT,Fire,Millard,1,2680
2020,UT,Fire,Utah,2,2555
2020,NV,Fire,Douglas,3,1400
2020,UT,Fire,Washington,1,2577
2020,MT,Fire,Yellowstone,3,1302
2020,MT,Fire,Stillwater,1,1286
2020,CA,Fire,Riverside,2,281
2020,CO,Fire,Garfield,2,667
2020,CO,Fire,Eagle,1,648
2020,CO,Fire,Mesa,1,751
2020,WY,Fire,Carbon,2,3022
2020,MT,Fire,Garfield,1,1182
2020,MT,Fire,Musselshell,1,1241
2020,MT,Fire,Powder River,1,1259
2020,MT,Fire,Gallatin,1,1177
2020,MT,Fire,Rosebud,1,1277
2020,MT,Fire,Custer,1,1153
2020,WA,Fire,Chelan,3,2852
2020,WA,Fire,Spokane,3,2961
2020,WA,Fire,Thurston,2,2967
2020,WA,Fire,Pierce,2,2956
2020,WY,Fire,Albany,1,3015
2020,CA,Fire,Orange,3,257
2020,NM,Fire,Lincoln,1,1613
2020,SD,Fire,Pennington,1,2497
2020,AZ,Fire,Pinal,2,26
2020,UT,Fire,San Juan,1,2694
2020,AZ,Fire,Yavapai,1,35
2020,UT,Fire,Garfield,1,2674
2020,CO,Fire,Boulder,1,570
2020,MT,Fire,Carbon,1,1137
2020,MT,Fire,Big Horn,1,1274
2020,HI,Fire,Hawaii,1,198
