BaseYear,state,incidentType,designatedArea,Freq,FID
2020,ND,Flood,Eddy,1,2017
2020,ND,Flood,Barnes,2,1828
2020,ND,Flood,Dickey,2,2004
2020,ND,Flood,Grand Forks,2,2043
2020,ND,Flood,Foster,2,2026
2020,ND,Flood,Griggs,1,2056
2020,ND,Flood,Emmons,1,2021
2020,ND,Flood,Kidder,2,2068
2020,ND,Flood,LaMoure,2,2074
2020,ND,Flood,Logan,2,2078
2020,ND,Flood,Mountrail,1,2119
2020,ND,Flood,Nelson,2,2122
2020,ND,Flood,Sargent,2,2164
2020,ND,Flood,Stutsman,2,2199
2020,ND,Flood,Traill,2,2217
2020,ND,Flood,Sheridan,2,2169
2020,ND,Flood,Walsh,2,2225
2020,ND,Flood,Wells,2,2237
2020,WI,Flood,Racine,1,3195
2020,WI,Flood,Milwaukee,1,3177
2020,WI,Flood,Kenosha,1,3158
2020,OR,Flood,Wallowa,1,2263
2020,OR,Flood,Union,1,2257
2020,OR,Flood,Umatilla,1,2251
2020,WA,Flood,Columbia,1,2869
2020,WA,Flood,Grays Harbor,1,2894
2020,WA,Flood,Garfield,1,2886
2020,WA,Flood,Island,1,2898
2020,WA,Flood,King,1,2913
2020,WA,Flood,Pacific,1,2949
2020,WA,Flood,Thurston,1,2967
2020,WA,Flood,Mason,1,2946
2020,WA,Flood,San Juan,1,2957
2020,WA,Flood,Snohomish,1,2960
2020,WA,Flood,Walla Walla,1,2970
2020,WA,Flood,Lewis,1,2940
2020,WA,Flood,Skagit,1,2958
2020,WA,Flood,Wahkiakum,1,2969
2020,WA,Flood,Whatcom,1,2972
2020,ND,Flood,Cass,1,1848
2020,ND,Flood,McIntosh,1,2090
2020,ND,Flood,Pembina,1,2131
2020,ND,Flood,Ransom,1,2147
2020,ND,Flood,Richland,1,2156
2020,ND,Flood,Steele,1,2186
2020,PR,Flood,Arecibo,1,3071
2020,KY,Flood,Bell,1,936
2020,KY,Flood,Calloway,1,1033
2020,KY,Flood,Carter,1,1044
2020,KY,Flood,Casey,1,1048
2020,KY,Flood,Cumberland,1,1067
2020,KY,Flood,Edmonson,1,1073
2020,KY,Flood,Elliott,1,1075
2020,KY,Flood,Graves,1,1097
2020,KY,Flood,Harlan,1,1114
2020,KY,Flood,Knox,1,1159
2020,KY,Flood,Marion,1,1210
2020,KY,Flood,Mason,1,1217
2020,KY,Flood,Menifee,1,1222
2020,KY,Flood,Ohio,1,1249
2020,KY,Flood,Pike,1,1267
2020,KY,Flood,Whitley,1,1034
2020,KY,Flood,Union,1,1016
2020,KY,Flood,Wolfe,1,1037
2020,KY,Flood,Anderson,1,930
2020,KY,Flood,Fayette,1,1080
2020,KY,Flood,Jessamine,1,1145
2020,KY,Flood,Laurel,1,1166
2020,KY,Flood,Warren,1,1019
2020,KY,Flood,Boyd,1,1008
2020,KY,Flood,Clark,1,1053
2020,KY,Flood,Clay,1,1056
2020,KY,Flood,Breathitt,1,1017
2020,KY,Flood,Woodford,1,1042
2020,KY,Flood,Estill,1,1077
2020,KY,Flood,Floyd,1,1085
2020,KY,Flood,Franklin,1,1086
2020,KY,Flood,Greenup,1,1105
2020,KY,Flood,Johnson,1,1148
2020,KY,Flood,Knott,1,1154
2020,KY,Flood,Lawrence,1,1167
2020,KY,Flood,Lee,1,1171
2020,KY,Flood,Leslie,1,1175
2020,KY,Flood,Letcher,1,1178
2020,KY,Flood,Madison,1,1204
2020,KY,Flood,Lincoln,1,1184
2020,KY,Flood,Jackson,1,1140
2020,KY,Flood,Magoffin,1,1206
2020,KY,Flood,Morgan,1,1235
2020,KY,Flood,Martin,1,1215
2020,KY,Flood,Owsley,1,1257
2020,KY,Flood,Perry,1,1265
2020,KY,Flood,Powell,1,1270
2020,KY,Flood,Pulaski,1,1272
2020,KY,Flood,Rockcastle,1,1276
2020,WV,Flood,Lincoln,1,3031
2020,WV,Flood,Boone,1,2977
2020,WV,Flood,Logan,1,3034
2020,WV,Flood,Wayne,1,3089
2020,WV,Flood,Cabell,1,2980
2020,WV,Flood,Kanawha,1,3027
2020,LA,Flood,Ascension,1,1055
2020,LA,Flood,Calcasieu,1,1081
2020,LA,Flood,Lafayette,1,1161
2020,LA,Flood,Iberville,1,1134
2020,WV,Flood,Mingo,1,3048
2020,LA,Flood,East Baton Rouge,1,1108
2020,HI,Flood,Maui,1,323
2020,KY,Flood,Ballard,1,932
