BaseYear,state,incidentType,designatedArea,Freq,FID
2020,TX,Severe Ice Storm,Anderson,2,2113
2020,TX,Severe Ice Storm,Andrews,2,2117
2020,TX,Severe Ice Storm,Angelina,2,2124
2020,TX,Severe Ice Storm,Aransas,2,2162
2020,TX,Severe Ice Storm,Archer,2,2168
2020,TX,Severe Ice Storm,Armstrong,2,2172
2020,TX,Severe Ice Storm,Atascosa,2,2173
2020,TX,Severe Ice Storm,Austin,2,2177
2020,TX,Severe Ice Storm,Bailey,2,2179
2020,TX,Severe Ice Storm,Bandera,2,2183
2020,TX,Severe Ice Storm,Bastrop,2,2190
2020,TX,Severe Ice Storm,Baylor,2,2192
2020,TX,Severe Ice Storm,Bee,2,2196
2020,TX,Severe Ice Storm,Bell,2,2198
2020,TX,Severe Ice Storm,Bexar,2,2203
2020,TX,Severe Ice Storm,Blanco,2,2207
2020,TX,Severe Ice Storm,Borden,2,2212
2020,TX,Severe Ice Storm,Bosque,2,2216
2020,TX,Severe Ice Storm,Bowie,2,2224
2020,TX,Severe Ice Storm,Brazoria,2,2240
2020,TX,Severe Ice Storm,Brazos,2,2253
2020,TX,Severe Ice Storm,Brewster,2,2262
2020,TX,Severe Ice Storm,Briscoe,2,2269
2020,TX,Severe Ice Storm,Brooks,2,2279
2020,TX,Severe Ice Storm,Brown,2,2296
2020,TX,Severe Ice Storm,Burleson,2,2304
2020,TX,Severe Ice Storm,Burnet,2,2312
2020,TX,Severe Ice Storm,Calhoun,2,2327
2020,TX,Severe Ice Storm,Callahan,2,2331
2020,TX,Severe Ice Storm,Cameron,2,2359
2020,TX,Severe Ice Storm,Camp,2,2373
2020,TX,Severe Ice Storm,Carson,2,2377
2020,TX,Severe Ice Storm,Caldwell,2,2320
2020,TX,Severe Ice Storm,Cass,2,2382
2020,TX,Severe Ice Storm,Castro,2,2386
2020,TX,Severe Ice Storm,Chambers,2,2395
2020,TX,Severe Ice Storm,Cherokee,2,2400
2020,TX,Severe Ice Storm,Childress,2,2405
2020,TX,Severe Ice Storm,Clay,2,2409
2020,TX,Severe Ice Storm,Cochran,2,2413
2020,TX,Severe Ice Storm,Coke,2,2418
2020,TX,Severe Ice Storm,Coleman,2,2423
2020,TX,Severe Ice Storm,Collin,2,2429
2020,TX,Severe Ice Storm,Collingsworth,2,2434
2020,TX,Severe Ice Storm,Colorado,2,2441
2020,TX,Severe Ice Storm,Comal,2,2449
2020,TX,Severe Ice Storm,Comanche,2,2455
2020,TX,Severe Ice Storm,Concho,2,2458
2020,TX,Severe Ice Storm,Cooke,2,2463
2020,TX,Severe Ice Storm,Coryell,2,2469
2020,TX,Severe Ice Storm,Cottle,2,2473
2020,TX,Severe Ice Storm,Crane,2,2478
2020,TX,Severe Ice Storm,Crockett,2,2483
2020,TX,Severe Ice Storm,Crosby,2,2487
2020,TX,Severe Ice Storm,Dallam,2,2498
2020,TX,Severe Ice Storm,Dallas,2,2507
2020,TX,Severe Ice Storm,Dawson,2,2512
2020,TX,Severe Ice Storm,Deaf Smith,2,2515
2020,TX,Severe Ice Storm,Culberson,2,2491
2020,TX,Severe Ice Storm,Denton,2,2532
2020,TX,Severe Ice Storm,DeWitt,2,2538
2020,TX,Severe Ice Storm,Dickens,2,2542
2020,TX,Severe Ice Storm,Dimmit,2,2548
2020,TX,Severe Ice Storm,Delta,2,2524
2020,TX,Severe Ice Storm,Donley,2,2551
2020,TX,Severe Ice Storm,Duval,2,2556
2020,TX,Severe Ice Storm,Eastland,2,2562
2020,TX,Severe Ice Storm,Ector,2,2568
2020,TX,Severe Ice Storm,Edwards,2,2574
2020,TX,Severe Ice Storm,Ellis,2,2579
2020,TX,Severe Ice Storm,El Paso,2,2588
2020,TX,Severe Ice Storm,Erath,2,2597
2020,TX,Severe Ice Storm,Falls,2,2601
2020,TX,Severe Ice Storm,Fannin,2,2621
2020,TX,Severe Ice Storm,Fayette,2,2624
2020,TX,Severe Ice Storm,Fisher,2,2628
2020,TX,Severe Ice Storm,Floyd,2,2630
2020,TX,Severe Ice Storm,Foard,2,2002
2020,TX,Severe Ice Storm,Fort Bend,2,2009
2020,TX,Severe Ice Storm,Franklin,2,2016
2020,TX,Severe Ice Storm,Freestone,2,2022
2020,TX,Severe Ice Storm,Frio,2,2028
2020,TX,Severe Ice Storm,Gaines,2,2032
2020,TX,Severe Ice Storm,Galveston,2,2059
2020,TX,Severe Ice Storm,Garza,2,2060
2020,TX,Severe Ice Storm,Gillespie,2,2066
2020,TX,Severe Ice Storm,Glasscock,2,2072
2020,TX,Severe Ice Storm,Gonzales,2,2086
2020,TX,Severe Ice Storm,Gray,2,2088
2020,TX,Severe Ice Storm,Grayson,2,2094
2020,TX,Severe Ice Storm,Gregg,2,2101
2020,TX,Severe Ice Storm,Goliad,2,2079
2020,TX,Severe Ice Storm,Grimes,2,2108
2020,TX,Severe Ice Storm,Guadalupe,2,2116
2020,TX,Severe Ice Storm,Hale,2,2120
2020,TX,Severe Ice Storm,Hall,2,2125
2020,TX,Severe Ice Storm,Hamilton,2,2128
2020,TX,Severe Ice Storm,Hansford,2,2132
2020,TX,Severe Ice Storm,Hardeman,2,2137
2020,TX,Severe Ice Storm,Hardin,2,2142
2020,TX,Severe Ice Storm,Harris,2,2149
2020,TX,Severe Ice Storm,Harrison,2,2157
2020,TX,Severe Ice Storm,Hartley,2,2160
2020,TX,Severe Ice Storm,Haskell,2,2163
2020,TX,Severe Ice Storm,Hays,2,2166
2020,TX,Severe Ice Storm,Hemphill,2,2171
2020,TX,Severe Ice Storm,Henderson,2,2178
2020,TX,Severe Ice Storm,Hidalgo,2,2188
2020,TX,Severe Ice Storm,Hill,2,2201
2020,TX,Severe Ice Storm,Hood,2,2213
2020,TX,Severe Ice Storm,Hopkins,2,2221
2020,TX,Severe Ice Storm,Houston,2,2228
2020,TX,Severe Ice Storm,Howard,2,2231
2020,TX,Severe Ice Storm,Hockley,2,2208
2020,TX,Severe Ice Storm,Hunt,2,2246
2020,TX,Severe Ice Storm,Hutchinson,2,2249
2020,TX,Severe Ice Storm,Irion,2,2255
2020,TX,Severe Ice Storm,Jack,2,2256
2020,TX,Severe Ice Storm,Jackson,2,2264
2020,TX,Severe Ice Storm,Hudspeth,2,2241
2020,TX,Severe Ice Storm,Jasper,2,2271
2020,TX,Severe Ice Storm,Jeff Davis,2,2275
2020,TX,Severe Ice Storm,Jefferson,2,2285
2020,TX,Severe Ice Storm,Jim Hogg,2,2288
2020,TX,Severe Ice Storm,Jim Wells,2,2294
2020,TX,Severe Ice Storm,Johnson,2,2299
2020,TX,Severe Ice Storm,Jones,2,2301
