BaseYear,state,incidentType,designatedArea,Freq,FID
2020,VT,Severe Storm(s),Chittenden,1,2599
2020,VT,Severe Storm(s),Franklin,1,2607
2020,VT,Severe Storm(s),Lamoille,1,2611
2020,VT,Severe Storm(s),Addison,1,2590
2020,VT,Severe Storm(s),Essex,1,2604
2020,VT,Severe Storm(s),Washington,1,2617
2020,VT,Severe Storm(s),Orange,1,2612
2020,VT,Severe Storm(s),Orleans,1,2614
2020,MS,Severe Storm(s),Bolivar,2,1547
2020,MS,Severe Storm(s),Choctaw,2,1552
2020,MS,Severe Storm(s),Chickasaw,2,1550
2020,MS,Severe Storm(s),DeSoto,1,1571
2020,MS,Severe Storm(s),Oktibbeha,1,1668
2020,MS,Severe Storm(s),Clay,3,1559
2020,MS,Severe Storm(s),Prentiss,1,1684
2020,MS,Severe Storm(s),Sunflower,2,1721
2020,MS,Severe Storm(s),Tishomingo,1,1732
2020,MS,Severe Storm(s),Tallahatchie,2,1725
2020,MS,Severe Storm(s),Panola,2,1671
2020,SC,Severe Storm(s),Bamberg,1,2592
2020,MS,Severe Storm(s),Quitman,2,1685
2020,SC,Severe Storm(s),Oconee,2,2822
2020,SC,Severe Storm(s),Chester,1,2704
2020,MS,Severe Storm(s),Washington,1,1750
2020,SC,Severe Storm(s),Hampton,2,2767
2020,SC,Severe Storm(s),Anderson,1,2559
2020,SC,Severe Storm(s),Newberry,1,2818
2020,SC,Severe Storm(s),Pickens,2,2834
2020,SC,Severe Storm(s),Greenville,1,2759
2020,SC,Severe Storm(s),Spartanburg,1,2851
2020,SC,Severe Storm(s),Barnwell,2,2605
2020,MS,Severe Storm(s),Carroll,2,1549
2020,MS,Severe Storm(s),Calhoun,1,1548
2020,MS,Severe Storm(s),Coahoma,1,1562
2020,MS,Severe Storm(s),Holmes,2,1593
2020,MS,Severe Storm(s),Lafayette,1,1620
2020,MS,Severe Storm(s),Leake,1,1636
2020,MS,Severe Storm(s),Noxubee,1,1666
2020,MS,Severe Storm(s),Tate,1,1727
2020,MS,Severe Storm(s),Tunica,1,1735
2020,MS,Severe Storm(s),Smith,2,1709
2020,MS,Severe Storm(s),Montgomery,1,1658
2020,MS,Severe Storm(s),Webster,1,1756
2020,MS,Severe Storm(s),Yalobusha,1,1759
2020,MS,Severe Storm(s),Grenada,2,1581
2020,MS,Severe Storm(s),Jasper,1,1607
2020,MS,Severe Storm(s),Covington,2,1567
2020,MS,Severe Storm(s),Lawrence,2,1632
2020,MS,Severe Storm(s),Jones,2,1615
