state,declarationDate,incidentType,designatedArea,FID
VT,2020-01-17T10:25:00.000Z,Severe Storm(s),Chittenden,2599
VT,2020-01-17T10:25:00.000Z,Severe Storm(s),Franklin,2607
VT,2020-01-17T10:25:00.000Z,Severe Storm(s),Lamoille,2611
VT,2020-01-17T10:25:00.000Z,Severe Storm(s),Addison,2590
VT,2020-01-17T10:25:00.000Z,Severe Storm(s),Essex,2604
VT,2020-01-17T10:25:00.000Z,Severe Storm(s),Washington,2617
VT,2020-01-17T10:25:00.000Z,Severe Storm(s),Orange,2612
VT,2020-01-17T10:25:00.000Z,Severe Storm(s),Orleans,2614
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Bolivar,1547
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Choctaw,1552
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Chickasaw,1550
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),DeSoto,1571
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Oktibbeha,1668
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Clay,1559
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Prentiss,1684
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Sunflower,1721
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Tishomingo,1732
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Tallahatchie,1725
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Panola,1671
SC,2020-03-17T10:00:00.000Z,Severe Storm(s),Bamberg,2592
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Quitman,1685
SC,2020-03-17T10:00:00.000Z,Severe Storm(s),Oconee,2822
SC,2020-03-17T10:00:00.000Z,Severe Storm(s),Chester,2704
MS,2020-03-12T17:00:00.000Z,Severe Storm(s),Washington,1750
SC,2020-03-17T10:00:00.000Z,Severe Storm(s),Hampton,2767
SC,2020-03-17T10:00:00.000Z,Severe Storm(s),Anderson,2559
SC,2020-03-17T10:00:00.000Z,Severe Storm(s),Newberry,2818
SC,2020-03-17T10:00:00.000Z,Severe Storm(s),Pickens,2834
SC,2020-03-17T10:00:00.000Z,Severe Storm(s),Greenville,2759
SC,2020-03-17T10:00:00.000Z,Severe Storm(s),Spartanburg,2851
SC,2020-03-17T10:00:00.000Z,Severe Storm(s),Barnwell,2605
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Carroll,1549
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Chickasaw,1550
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Calhoun,1548
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Choctaw,1552
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Bolivar,1547
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Coahoma,1562
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Holmes,1593
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Lafayette,1620
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Leake,1636
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Noxubee,1666
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Tallahatchie,1725
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Quitman,1685
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Tate,1727
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Clay,1559
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Tunica,1735
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Sunflower,1721
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Smith,1709
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Montgomery,1658
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Webster,1756
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Yalobusha,1759
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Grenada,1581
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Jasper,1607
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Covington,1567
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Lawrence,1632
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Jones,1615
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Jefferson Davis,1612
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Walthall,1740
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Panola,1671
MS,2020-04-16T21:25:00.000Z,Severe Storm(s),Clarke,1557
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Grenada,1581
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Issaquena,1598
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Warren,1746
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Hinds,1591
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Carroll,1549
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Attala,1541
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Holmes,1593
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Wilkinson,1757
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Yazoo,1760
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Claiborne,1555
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Sharkey,1695
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Copiah,1564
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Marion,1653
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Leflore,1643
MS,2020-04-23T15:20:00.000Z,Severe Storm(s),Clay,1559
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Boyd,1008
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Clay,1056
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Harlan,1114
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Henderson,1126
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Butler,1026
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Bell,936
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Johnson,1148
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Hickman,1130
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Knott,1154
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Knox,1159
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Lawrence,1167
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Letcher,1178
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),McCracken,1196
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),McCreary,1198
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Leslie,1175
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Lewis,1180
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Menifee,1222
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Magoffin,1206
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Perry,1265
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Union,1016
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Monroe,1230
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Morgan,1235
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Metcalfe,1228
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Powell,1270
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Owsley,1257
SC,2020-05-01T21:25:00.000Z,Severe Storm(s),Georgetown,2752
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Pike,1267
KY,2020-04-24T11:25:00.000Z,Severe Storm(s),Whitley,1034
TN,2020-04-24T11:55:00.000Z,Severe Storm(s),Campbell,2633
TN,2020-04-24T11:55:00.000Z,Severe Storm(s),Marion,2844
TN,2020-04-24T11:55:00.000Z,Severe Storm(s),Polk,2883
TN,2020-04-24T11:55:00.000Z,Severe Storm(s),Scott,2020
TN,2020-04-24T11:55:00.000Z,Severe Storm(s),Unicoi,2069
TN,2020-04-24T11:55:00.000Z,Severe Storm(s),Bradley,2627
TN,2020-04-24T11:55:00.000Z,Severe Storm(s),Monroe,2857
SC,2020-05-01T21:25:00.000Z,Severe Storm(s),Berkeley,2631
TN,2020-04-24T11:55:00.000Z,Severe Storm(s),Washington,2085
SC,2020-05-01T21:25:00.000Z,Severe Storm(s),Aiken,2503
TN,2020-04-24T11:55:00.000Z,Severe Storm(s),Hamilton,2761
SC,2020-05-01T21:25:00.000Z,Severe Storm(s),Orangeburg,2829
SC,2020-05-01T21:25:00.000Z,Severe Storm(s),Pickens,2834
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Alexander,1968
SC,2020-05-01T21:25:00.000Z,Severe Storm(s),Hampton,2767
SC,2020-05-01T21:25:00.000Z,Severe Storm(s),Oconee,2822
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Ashe,1975
SC,2020-05-01T21:25:00.000Z,Severe Storm(s),Barnwell,2605
SC,2020-05-01T21:25:00.000Z,Severe Storm(s),Colleton,2718
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Cherokee,1452
SC,2020-05-01T21:25:00.000Z,Severe Storm(s),Marlboro,2813
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Pender,1718
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Cleveland,1458
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Mitchell,1568
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Graham,1502
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Madison,1560
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Gaston,1499
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Perquimans,1724
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Randolph,1741
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Polk,1738
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Rutherford,1764
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Stanly,1775
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Stokes,1777
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Swain,1784
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Wayne,1814
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Yadkin,1821
NC,2020-05-08T15:05:00.000Z,Severe Storm(s),Yancey,1823
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Blount,33
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Butler,39
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Choctaw,58
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Colbert,73
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Covington,88
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Crenshaw,90
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Cullman,98
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Dallas,110
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Chambers,47
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Fayette,134
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Greene,148
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Lamar,174
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Limestone,197
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Macon,210
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Marion,224
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Perry,264
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Wilcox,326
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Benton,2598
HI,2020-07-09T19:55:00.000Z,Severe Storm(s),Kauai,261
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Davidson,2698
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Randolph,284
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Carroll,2648
AL,2020-05-21T13:27:00.000Z,Severe Storm(s),Tuscaloosa,313
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Decatur,2705
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Dickson,2717
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Hardin,2773
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Dyer,2723
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Henderson,2786
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Henry,2789
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Houston,2796
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Hickman,2792
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Lawrence,2823
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Lewis,2825
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Madison,2841
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Lake,2817
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Weakley,2096
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Obion,2872
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Maury,2850
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Humphreys,2798
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),Amite,1539
TN,2020-07-09T20:00:00.000Z,Severe Storm(s),Perry,2878
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),George,1577
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),Jefferson Davis,1612
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),Lawrence,1632
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),Jones,1615
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),Covington,1567
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),Claiborne,1555
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),Smith,1709
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),Simpson,1698
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),Wayne,1753
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Bates,1776
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Carter,1001
MS,2020-07-09T20:10:00.000Z,Severe Storm(s),Pike,1680
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Douglas,1043
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Dunklin,1045
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Henry,1061
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Hickory,1063
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Dallas,1032
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Butler,1792
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Laclede,1096
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Howell,1070
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Polk,1183
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Stoddard,1236
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Pemiscot,1170
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Shannon,1229
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Wright,1263
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),New Madrid,1149
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Oregon,1158
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Wayne,1256
MO,2020-07-09T20:20:00.000Z,Severe Storm(s),Ripley,1203
AL,2020-07-10T15:10:00.000Z,Severe Storm(s),Barbour,25
AL,2020-07-10T15:10:00.000Z,Severe Storm(s),Chilton,56
AL,2020-07-10T15:10:00.000Z,Severe Storm(s),Coffee,70
AL,2020-07-10T15:10:00.000Z,Severe Storm(s),Coosa,82
AL,2020-07-10T15:10:00.000Z,Severe Storm(s),Covington,88
AL,2020-07-10T15:10:00.000Z,Severe Storm(s),Crenshaw,90
AL,2020-07-10T15:10:00.000Z,Severe Storm(s),Dale,101
AL,2020-07-10T15:10:00.000Z,Severe Storm(s),Henry,158
AL,2020-07-10T15:10:00.000Z,Severe Storm(s),Pike,279
AL,2020-07-10T15:10:00.000Z,Severe Storm(s),Tallapoosa,308
AL,2020-07-10T15:20:00.000Z,Severe Storm(s),Blount,33
AL,2020-07-10T15:20:00.000Z,Severe Storm(s),Cullman,98
AL,2020-07-10T15:20:00.000Z,Severe Storm(s),DeKalb,112
AL,2020-07-10T15:20:00.000Z,Severe Storm(s),Etowah,131
AL,2020-07-10T15:20:00.000Z,Severe Storm(s),Jackson,164
AL,2020-07-10T15:20:00.000Z,Severe Storm(s),Marshall,231
AL,2020-07-10T15:20:00.000Z,Severe Storm(s),Walker,317
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Dallas,413
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Grundy,460
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Guthrie,467
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Hardin,475
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Greene,458
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Johnson,508
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Jones,516
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Muscatine,600
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Washington,687
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Benton,619
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Iowa,495
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Jackson,499
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Boone,625
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Cedar,379
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Clinton,404
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Jasper,505
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Linn,535
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Marshall,568
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Polk,629
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Poweshiek,640
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Scott,657
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Story,668
IA,2020-08-17T16:20:00.000Z,Severe Storm(s),Tama,671
ND,2020-10-02T10:45:00.000Z,Severe Storm(s),Benson,1831
ND,2020-10-02T10:45:00.000Z,Severe Storm(s),Grand Forks,2043
ND,2020-10-02T10:45:00.000Z,Severe Storm(s),McKenzie,2097
ND,2020-10-02T10:45:00.000Z,Severe Storm(s),Mountrail,2119
ND,2020-10-02T10:45:00.000Z,Severe Storm(s),Nelson,2122
ND,2020-10-02T10:45:00.000Z,Severe Storm(s),Wells,2237
UT,2021-01-12T13:10:00.000Z,Severe Storm(s),Morgan,2681
UT,2021-01-12T13:10:00.000Z,Severe Storm(s),Davis,2671
UT,2021-01-12T13:10:00.000Z,Severe Storm(s),Salt Lake,2690
UT,2021-01-12T13:10:00.000Z,Severe Storm(s),Weber,2587
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Alleghany,1970
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Alexander,1968
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Beaufort,1981
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Ashe,1975
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Burke,1424
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Edgecombe,1495
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Duplin,1492
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Davidson,1489
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Caldwell,1429
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Davie,1490
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Iredell,1525
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Sampson,1769
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Wilson,1819
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Yadkin,1821
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Robeson,1747
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Rowan,1754
ID,2021-03-04T15:24:00.000Z,Severe Storm(s),Bonner,387
ID,2021-03-04T15:24:00.000Z,Severe Storm(s),Kootenai,552
ID,2021-03-04T15:24:00.000Z,Severe Storm(s),Shoshone,621
ID,2021-03-04T15:24:00.000Z,Severe Storm(s),Benewah,354
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Hertford,1515
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Stokes,1777
NC,2021-03-03T23:00:00.000Z,Severe Storm(s),Wilkes,1817
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Clallam,2861
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Columbia,2869
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Grays Harbor,2894
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Jefferson,2905
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Lewis,2940
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Klickitat,2935
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Mason,2946
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Island,2898
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Pacific,2949
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Snohomish,2960
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Skagit,2958
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Okanogan,2947
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Wahkiakum,2969
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Skamania,2959
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Pend Oreille,2951
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Spokane,2961
WA,2021-04-08T08:08:00.000Z,Severe Storm(s),Cowlitz,2871
AL,2021-04-26T12:22:00.000Z,Severe Storm(s),Bibb,29
AL,2021-04-26T12:22:00.000Z,Severe Storm(s),Calhoun,43
AL,2021-04-26T12:22:00.000Z,Severe Storm(s),Clay,65
AL,2021-04-26T12:22:00.000Z,Severe Storm(s),Jefferson,171
AL,2021-04-26T12:22:00.000Z,Severe Storm(s),Hale,150
AL,2021-04-26T12:22:00.000Z,Severe Storm(s),Perry,264
AL,2021-04-26T12:22:00.000Z,Severe Storm(s),Randolph,284
AL,2021-04-26T12:22:00.000Z,Severe Storm(s),Shelby,298
OR,2021-05-04T12:06:00.000Z,Severe Storm(s),Benton,2053
OR,2021-05-04T12:06:00.000Z,Severe Storm(s),Polk,2223
OR,2021-05-04T12:06:00.000Z,Severe Storm(s),Marion,2200
OR,2021-05-04T12:06:00.000Z,Severe Storm(s),Yamhill,2284
OR,2021-05-04T12:06:00.000Z,Severe Storm(s),Clackamas,2058
GA,2021-05-05T17:25:00.000Z,Severe Storm(s),Coweta,700
GA,2021-05-05T17:25:00.000Z,Severe Storm(s),Fannin,755
GA,2021-05-05T17:25:00.000Z,Severe Storm(s),Gilmer,781
GA,2021-05-05T17:25:00.000Z,Severe Storm(s),Gordon,796
OR,2021-05-04T12:06:00.000Z,Severe Storm(s),Linn,2181
GA,2021-05-05T17:25:00.000Z,Severe Storm(s),Heard,817
GA,2021-05-05T17:25:00.000Z,Severe Storm(s),Lumpkin,865
GA,2021-05-05T17:25:00.000Z,Severe Storm(s),Rabun,18
GA,2021-05-05T17:25:00.000Z,Severe Storm(s),Pickens,912
GA,2021-05-05T17:25:00.000Z,Severe Storm(s),White,157
FL,2021-07-04T21:25:00.000Z,Severe Storm(s),Hernando,945
FL,2021-07-04T21:25:00.000Z,Severe Storm(s),Citrus,843
