BaseYear,state,incidentType,designatedArea,Freq,FID
2020,TN,Tornado,Carroll,1,2648
2020,TN,Tornado,Benton,1,2598
2020,TN,Tornado,Davidson,2,2698
2020,TN,Tornado,Smith,2,2037
2020,TN,Tornado,Putnam,1,2890
2020,TN,Tornado,Wilson,2,2111
2020,AR,Tornado,Craighead,1,114
2020,AR,Tornado,Arkansas,1,46
2020,AR,Tornado,Bradley,1,68
2020,AR,Tornado,Cleveland,1,103
2020,AR,Tornado,Dallas,1,128
2020,AR,Tornado,Desha,1,130
2020,AR,Tornado,Drew,1,136
2020,AR,Tornado,Grant,1,155
2020,AR,Tornado,Jefferson,1,213
2020,AR,Tornado,Lincoln,1,244
2020,AR,Tornado,Ouachita,1,316
2020,AR,Tornado,Monroe,1,300
2020,AR,Tornado,Phillips,1,322
2020,TN,Tornado,Campbell,1,2633
2020,TN,Tornado,Cannon,1,2638
2020,TN,Tornado,Cheatham,1,2660
2020,TN,Tornado,Claiborne,1,2670
2020,TN,Tornado,Clay,1,2679
2020,TN,Tornado,Decatur,1,2705
2020,TN,Tornado,Fentress,1,2731
2020,TN,Tornado,Hardeman,1,2770
2020,TN,Tornado,Henderson,1,2786
2020,TN,Tornado,Hickman,1,2792
2020,TN,Tornado,Grainger,1,2748
2020,TN,Tornado,Jackson,1,2801
2020,TN,Tornado,McNairy,1,2836
2020,TN,Tornado,Madison,1,2841
2020,TN,Tornado,Maury,1,2850
2020,TN,Tornado,Moore,1,2863
2020,TN,Tornado,Overton,1,2875
2020,TN,Tornado,Scott,1,2020
2020,TN,Tornado,Wayne,1,2089
2020,TN,Tornado,Williamson,1,2105
2020,TN,Tornado,Marion,1,2844
