state,declarationDate,incidentType,designatedArea,FID
TN,2020-03-05T18:28:00.000Z,Tornado,Carroll,2648
TN,2020-03-05T18:28:00.000Z,Tornado,Benton,2598
TN,2020-03-05T18:28:00.000Z,Tornado,Davidson,2698
TN,2020-03-05T18:28:00.000Z,Tornado,Smith,2037
TN,2020-03-05T18:28:00.000Z,Tornado,Putnam,2890
TN,2020-03-05T18:28:00.000Z,Tornado,Wilson,2111
AR,2020-05-08T15:20:00.000Z,Tornado,Craighead,114
AR,2020-07-10T14:25:00.000Z,Tornado,Arkansas,46
AR,2020-07-10T14:25:00.000Z,Tornado,Bradley,68
AR,2020-07-10T14:25:00.000Z,Tornado,Cleveland,103
AR,2020-07-10T14:25:00.000Z,Tornado,Dallas,128
AR,2020-07-10T14:25:00.000Z,Tornado,Desha,130
AR,2020-07-10T14:25:00.000Z,Tornado,Drew,136
AR,2020-07-10T14:25:00.000Z,Tornado,Grant,155
AR,2020-07-10T14:25:00.000Z,Tornado,Jefferson,213
AR,2020-07-10T14:25:00.000Z,Tornado,Lincoln,244
AR,2020-07-10T14:25:00.000Z,Tornado,Ouachita,316
AR,2020-07-10T14:25:00.000Z,Tornado,Monroe,300
AR,2020-07-10T14:25:00.000Z,Tornado,Phillips,322
TN,2021-05-08T10:15:00.000Z,Tornado,Campbell,2633
TN,2021-05-08T10:15:00.000Z,Tornado,Cannon,2638
TN,2021-05-08T10:15:00.000Z,Tornado,Cheatham,2660
TN,2021-05-08T10:15:00.000Z,Tornado,Claiborne,2670
TN,2021-05-08T10:15:00.000Z,Tornado,Clay,2679
TN,2021-05-08T10:15:00.000Z,Tornado,Decatur,2705
TN,2021-05-08T10:15:00.000Z,Tornado,Fentress,2731
TN,2021-05-08T10:15:00.000Z,Tornado,Hardeman,2770
TN,2021-05-08T10:15:00.000Z,Tornado,Henderson,2786
TN,2021-05-08T10:15:00.000Z,Tornado,Hickman,2792
TN,2021-05-08T10:15:00.000Z,Tornado,Grainger,2748
TN,2021-05-08T10:15:00.000Z,Tornado,Jackson,2801
TN,2021-05-08T10:15:00.000Z,Tornado,McNairy,2836
TN,2021-05-08T10:15:00.000Z,Tornado,Madison,2841
TN,2021-05-08T10:15:00.000Z,Tornado,Maury,2850
TN,2021-05-08T10:15:00.000Z,Tornado,Moore,2863
TN,2021-05-08T10:15:00.000Z,Tornado,Overton,2875
TN,2021-05-08T10:15:00.000Z,Tornado,Scott,2020
TN,2021-05-08T10:15:00.000Z,Tornado,Smith,2037
TN,2021-05-08T10:15:00.000Z,Tornado,Wayne,2089
TN,2021-05-08T10:15:00.000Z,Tornado,Wilson,2111
TN,2021-05-08T10:15:00.000Z,Tornado,Williamson,2105
TN,2021-05-08T10:15:00.000Z,Tornado,Davidson,2698
TN,2021-05-08T10:15:00.000Z,Tornado,Marion,2844
