BaseYear,state,incidentType,designatedArea,Freq,FID
2000,MN,Severe Storm(s),White Earth,2,172
2000,ND,Severe Storm(s),Fort Berthold,4,224
2000,ND,Severe Storm(s),Turtle Mountain,6,159
2000,AZ,Severe Storm(s),Gila River,4,233
2000,MT,Severe Storm(s),Crow,1,34
2000,MT,Severe Storm(s),Blackfeet,1,19
2000,AK,Severe Storm(s),Chignik Lagoon,1,430
2000,AK,Severe Storm(s),Chignik Lake,1,431
2000,ND,Severe Storm(s),Standing Rock,4,324
2000,ND,Severe Storm(s),Spirit Lake,3,322
2000,SD,Severe Storm(s),Rosebud,1,118
2000,AZ,Severe Storm(s),Hopi,4,57
2000,AZ,Severe Storm(s),Navajo Nation,4,93
2000,AZ,Severe Storm(s),Havasupai,2,238
2000,AZ,Severe Storm(s),San Carlos,3,309
2000,NV,Severe Storm(s),Pyramid Lake Paiute,1,298
2000,OR,Severe Storm(s),Warm Springs,1,171
2000,NM,Severe Storm(s),Navajo Nation Reservation,1,94
2000,AZ,Severe Storm(s),Tohono O'odham Nation,2,152
2000,OR,Severe Storm(s),Siletz,2,132
2000,SD,Severe Storm(s),Crow Creek,2,212
2000,SD,Severe Storm(s),Lake Traverse,1,74
2000,SD,Severe Storm(s),Pine Ridge,1,293
2000,OR,Severe Storm(s),"Coos, Lower Umpqua,and Siuslaw",1,30
2000,OR,Severe Storm(s),Grand Ronde,1,50
2000,SD,Severe Storm(s),Cheyenne River,2,27
2000,SD,Severe Storm(s),Lower Brule,1,78
2000,MN,Severe Storm(s),Red Lake,1,302
2000,SD,Severe Storm(s),Standing Rock,1,325
