state,declarationDate,incidentType,designatedArea,FID
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Acadia,1046
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Ascension,1055
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Allen,1051
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Assumption,1060
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Avoyelles,1062
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Beauregard,1066
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Calcasieu,1081
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Cameron,1089
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Catahoula,1093
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Concordia,1098
LA,2019-07-11T20:58:00.000Z,Coastal Storm,East Feliciana,1115
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Evangeline,1118
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Iberia,1133
LA,2019-07-11T20:58:00.000Z,Coastal Storm,East Baton Rouge,1108
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Iberville,1134
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Jefferson,1147
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Jefferson Davis,1155
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Lafayette,1161
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Livingston,1295
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Orleans,1304
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Plaquemines,1427
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Ouachita,1306
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Pointe Coupee,1431
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Lafourche,1280
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Rapides,1434
LA,2019-07-11T20:58:00.000Z,Coastal Storm,St. Bernard,1463
LA,2019-07-11T20:58:00.000Z,Coastal Storm,St. Charles,1466
LA,2019-07-11T20:58:00.000Z,Coastal Storm,St. Helena,1467
LA,2019-07-11T20:58:00.000Z,Coastal Storm,St. James,1468
LA,2019-07-11T20:58:00.000Z,Coastal Storm,St. John the Baptist,1469
LA,2019-07-11T20:58:00.000Z,Coastal Storm,St. Landry,1471
LA,2019-07-11T20:58:00.000Z,Coastal Storm,St. Martin,1473
LA,2019-07-11T20:58:00.000Z,Coastal Storm,St. Mary,1474
LA,2019-07-11T20:58:00.000Z,Coastal Storm,St. Tammany,1475
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Tangipahoa,1476
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Terrebonne,1501
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Washington,1516
LA,2019-07-11T20:58:00.000Z,Coastal Storm,West Baton Rouge,1520
LA,2019-07-11T20:58:00.000Z,Coastal Storm,West Feliciana,1524
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Vermilion,1510
LA,2019-07-11T20:58:00.000Z,Coastal Storm,Vernon,1513
LA,2011-10-28T10:49:00.000Z,Coastal Storm,East Feliciana,1115
LA,2011-10-28T10:49:00.000Z,Coastal Storm,Lafourche,1280
LA,2011-10-28T10:49:00.000Z,Coastal Storm,Plaquemines,1427
LA,2011-10-28T10:49:00.000Z,Coastal Storm,St. Bernard,1463
LA,2011-10-28T10:49:00.000Z,Coastal Storm,Jefferson,1147
LA,2011-10-28T10:49:00.000Z,Coastal Storm,Terrebonne,1501
LA,2011-10-28T10:49:00.000Z,Coastal Storm,West Feliciana,1524
LA,2011-10-28T10:49:00.000Z,Coastal Storm,St. Charles,1466
AK,2015-10-30T17:44:00.000Z,Coastal Storm,North Slope,614
ME,2018-05-30T09:17:00.000Z,Coastal Storm,York,1901
AK,2018-06-08T19:05:00.000Z,Coastal Storm,Kenai Peninsula,494
NH,2018-06-08T19:13:00.000Z,Coastal Storm,Rockingham,1448
