BaseYear,state,incidentType,designatedArea,Freq,FID
2010,VA,Hurricane,Pamunkey,1,364
2010,VA,Hurricane,Mattaponi,1,362
2010,SC,Hurricane,Catawba,5,24
2010,AL,Hurricane,Poarch Creek,3,104
2010,FL,Hurricane,Hollywood,3,239
2010,NC,Hurricane,Eastern Cherokee,2,217
2010,FL,Hurricane,Big Cypress,2,188
2010,FL,Hurricane,Brighton,2,192
2010,FL,Hurricane,Fort Pierce,2,229
2010,FL,Hurricane,Immokalee,2,242
2010,FL,Hurricane,Tampa,2,330
2010,MS,Hurricane,Mississippi Choctaw,1,87
2010,CT,Hurricane,Mashantucket Pequot,1,82
