state,declarationDate,incidentType,designatedArea,FID
WA,2020-03-13T16:00:00.000Z,Biological,Adams,2840
WA,2020-03-13T16:00:00.000Z,Biological,Asotin,2845
WA,2020-03-13T16:00:00.000Z,Biological,Benton,2847
WA,2020-03-13T16:00:00.000Z,Biological,Chelan,2852
WA,2020-03-13T16:00:00.000Z,Biological,Clallam,2861
WA,2020-03-13T16:00:00.000Z,Biological,Clark,2865
WA,2020-03-13T16:00:00.000Z,Biological,Columbia,2869
WA,2020-03-13T16:00:00.000Z,Biological,Cowlitz,2871
WA,2020-03-13T16:00:00.000Z,Biological,Douglas,2877
WA,2020-03-13T16:00:00.000Z,Biological,Ferry,2880
WA,2020-03-13T16:00:00.000Z,Biological,Franklin,2884
WA,2020-03-13T16:00:00.000Z,Biological,Garfield,2886
WA,2020-03-13T16:00:00.000Z,Biological,Grant,2889
WA,2020-03-13T16:00:00.000Z,Biological,Grays Harbor,2894
WA,2020-03-13T16:00:00.000Z,Biological,Island,2898
WA,2020-03-13T16:00:00.000Z,Biological,Jefferson,2905
WA,2020-03-13T16:00:00.000Z,Biological,King,2913
WA,2020-03-13T16:00:00.000Z,Biological,Kitsap,2927
WA,2020-03-13T16:00:00.000Z,Biological,Kittitas,2932
WA,2020-03-13T16:00:00.000Z,Biological,Klickitat,2935
WA,2020-03-13T16:00:00.000Z,Biological,Lewis,2940
WA,2020-03-13T16:00:00.000Z,Biological,Lincoln,2942
WA,2020-03-13T16:00:00.000Z,Biological,Mason,2946
WA,2020-03-13T16:00:00.000Z,Biological,Okanogan,2947
WA,2020-03-13T16:00:00.000Z,Biological,Pend Oreille,2951
WA,2020-03-13T16:00:00.000Z,Biological,Pierce,2956
WA,2020-03-13T16:00:00.000Z,Biological,Pacific,2949
WA,2020-03-13T16:00:00.000Z,Biological,Skagit,2958
WA,2020-03-13T16:00:00.000Z,Biological,Skamania,2959
WA,2020-03-13T16:00:00.000Z,Biological,Snohomish,2960
WA,2020-03-13T16:00:00.000Z,Biological,Spokane,2961
WA,2020-03-13T16:00:00.000Z,Biological,San Juan,2957
WA,2020-03-13T16:00:00.000Z,Biological,Stevens,2963
WA,2020-03-13T16:00:00.000Z,Biological,Thurston,2967
WA,2020-03-13T16:00:00.000Z,Biological,Wahkiakum,2969
WA,2020-03-13T16:00:00.000Z,Biological,Walla Walla,2970
WA,2020-03-13T16:00:00.000Z,Biological,Whatcom,2972
WA,2020-03-13T16:00:00.000Z,Biological,Whitman,2973
CA,2020-03-13T16:00:00.000Z,Biological,Alameda,457
CA,2020-03-13T16:00:00.000Z,Biological,Alpine,461
CA,2020-03-13T16:00:00.000Z,Biological,Amador,472
CA,2020-03-13T16:00:00.000Z,Biological,Butte,486
CA,2020-03-13T16:00:00.000Z,Biological,Calaveras,489
CA,2020-03-13T16:00:00.000Z,Biological,Colusa,497
WA,2020-03-13T16:00:00.000Z,Biological,Yakima,2974
CA,2020-03-13T16:00:00.000Z,Biological,Contra Costa,503
CA,2020-03-13T16:00:00.000Z,Biological,Del Norte,511
CA,2020-03-13T16:00:00.000Z,Biological,El Dorado,522
CA,2020-03-13T16:00:00.000Z,Biological,Fresno,527
CA,2020-03-13T16:00:00.000Z,Biological,Imperial,557
CA,2020-03-13T16:00:00.000Z,Biological,Kern,84
CA,2020-03-13T16:00:00.000Z,Biological,Inyo,562
CA,2020-03-13T16:00:00.000Z,Biological,Kings,94
CA,2020-03-13T16:00:00.000Z,Biological,Humboldt,551
CA,2020-03-13T16:00:00.000Z,Biological,Glenn,537
CA,2020-03-13T16:00:00.000Z,Biological,Lake,100
CA,2020-03-13T16:00:00.000Z,Biological,Mariposa,178
CA,2020-03-13T16:00:00.000Z,Biological,Marin,168
CA,2020-03-13T16:00:00.000Z,Biological,Madera,153
CA,2020-03-13T16:00:00.000Z,Biological,Mendocino,190
CA,2020-03-13T16:00:00.000Z,Biological,Los Angeles,139
CA,2020-03-13T16:00:00.000Z,Biological,Merced,204
CA,2020-03-13T16:00:00.000Z,Biological,Modoc,207
CA,2020-03-13T16:00:00.000Z,Biological,Lassen,104
