BaseYear,state,incidentType,designatedArea,Freq,FID
2020,HI,Hurricane,Hawaii,1,198
2020,HI,Hurricane,Honolulu,1,234
2020,HI,Hurricane,Kauai,1,261
2020,HI,Hurricane,Maui,1,323
2020,TX,Hurricane,Aransas,2,2162
2020,TX,Hurricane,Bee,1,2196
2020,TX,Hurricane,Bexar,2,2203
2020,TX,Hurricane,Brazoria,2,2240
2020,TX,Hurricane,Calhoun,2,2327
2020,TX,Hurricane,Cameron,2,2359
2020,TX,Hurricane,Dimmit,1,2548
2020,TX,Hurricane,Brooks,1,2279
2020,TX,Hurricane,Goliad,1,2079
2020,TX,Hurricane,Harris,2,2149
2020,TX,Hurricane,Hidalgo,1,2188
2020,TX,Hurricane,Fort Bend,2,2009
2020,TX,Hurricane,Duval,1,2556
2020,TX,Hurricane,Galveston,3,2059
2020,TX,Hurricane,Jackson,2,2264
2020,TX,Hurricane,Jim Hogg,1,2288
2020,TX,Hurricane,Jim Wells,1,2294
2020,TX,Hurricane,Kenedy,2,2330
2020,TX,Hurricane,La Salle,1,2388
2020,TX,Hurricane,Live Oak,1,2416
2020,TX,Hurricane,McMullen,1,2494
2020,TX,Hurricane,Kleberg,2,2358
2020,TX,Hurricane,Matagorda,2,2637
2020,TX,Hurricane,Nueces,2,2194
2020,TX,Hurricane,Refugio,2,2334
2020,TX,Hurricane,San Patricio,2,2415
2020,TX,Hurricane,Starr,1,2474
2020,TX,Hurricane,Victoria,2,2595
2020,TX,Hurricane,Webb,1,2616
2020,TX,Hurricane,Wharton,2,2618
2020,TX,Hurricane,Willacy,2,2639
2020,TX,Hurricane,Zapata,1,2650
2020,PR,Hurricane,Adjuntas,2,3060
2020,PR,Hurricane,Aguada,3,3062
2020,PR,Hurricane,Aguadilla,2,3063
2020,PR,Hurricane,Aibonito,2,3067
2020,PR,Hurricane,Anasco,2,3069
2020,PR,Hurricane,Arecibo,2,3071
2020,PR,Hurricane,Arroyo,2,3072
2020,PR,Hurricane,Barceloneta,2,3074
2020,PR,Hurricane,Barranquitas,2,3076
2020,PR,Hurricane,Aguas Buenas,2,3065
2020,PR,Hurricane,Bayamon,2,3078
2020,PR,Hurricane,Cabo Rojo,2,3081
2020,PR,Hurricane,Caguas,2,3083
2020,PR,Hurricane,Camuy,2,3086
2020,PR,Hurricane,Canovanas,2,3088
2020,PR,Hurricane,Carolina,2,3090
2020,PR,Hurricane,Catano,2,3092
2020,PR,Hurricane,Cayey,2,3094
2020,PR,Hurricane,Ceiba,2,3096
2020,PR,Hurricane,Ciales,2,3098
2020,PR,Hurricane,Cidra,2,3100
2020,PR,Hurricane,Coamo,2,3102
2020,PR,Hurricane,Comerio,2,3103
2020,PR,Hurricane,Corozal,2,3105
2020,PR,Hurricane,Culebra,2,3107
2020,PR,Hurricane,Dorado,2,3109
2020,PR,Hurricane,Fajardo,2,3110
2020,PR,Hurricane,Florida,2,3112
2020,PR,Hurricane,Guanica,2,3114
2020,PR,Hurricane,Guayama,2,3118
2020,PR,Hurricane,Guayanilla,2,3121
2020,PR,Hurricane,Gurabo,2,3125
2020,PR,Hurricane,Hatillo,2,3127
2020,PR,Hurricane,Hormigueros,3,3128
2020,PR,Hurricane,Guaynabo,2,3123
2020,PR,Hurricane,Humacao,2,3129
2020,PR,Hurricane,Isabela,2,3130
2020,PR,Hurricane,Jayuya,2,3132
2020,PR,Hurricane,Juana Diaz,2,3133
