BaseYear,state,incidentType,designatedArea,Freq,FID
2000,WV,Flood,Barbour,1,2975
2000,WV,Flood,Braxton,1,2978
2000,WV,Flood,Cabell,1,2980
2000,WV,Flood,Pocahontas,1,3066
2000,WV,Flood,Calhoun,1,2981
2000,WV,Flood,Doddridge,1,3002
2000,WV,Flood,Gilmer,1,3008
2000,WV,Flood,Jackson,1,3023
2000,WV,Flood,Harrison,1,3021
2000,WV,Flood,Kanawha,1,3027
2000,WV,Flood,Lincoln,1,3031
2000,WV,Flood,Marion,1,3039
2000,WV,Flood,Monongalia,1,3050
2000,WV,Flood,Mason,1,3042
2000,WV,Flood,Preston,1,3068
2000,WV,Flood,Putnam,1,3070
2000,WV,Flood,Randolph,1,3075
2000,WV,Flood,Ritchie,1,3077
2000,WV,Flood,Lewis,1,3029
2000,WV,Flood,Roane,1,3079
2000,WV,Flood,Taylor,1,3082
2000,WV,Flood,Tyler,1,3085
2000,WV,Flood,Wirt,1,3095
2000,WV,Flood,Upshur,1,3087
2000,WV,Flood,Tucker,1,3084
2000,WV,Flood,Wetzel,1,3093
2000,MO,Flood,St. Charles,1,1205
2000,MO,Flood,Ste. Genevieve,1,1209
2000,MO,Flood,St. Francois,1,1212
2000,MO,Flood,Crawford,1,1028
2000,MO,Flood,St. Louis County,1,1216
2000,MO,Flood,Warren,1,1251
2000,MO,Flood,Washington,1,1253
2000,MO,Flood,Franklin,1,1047
2000,MO,Flood,Gasconade,1,1049
2000,MO,Flood,Jefferson,1,1082
2000,IL,Flood,Adams,1,650
2000,IL,Flood,Calhoun,1,4
2000,IL,Flood,Carroll,1,6
2000,IL,Flood,Henderson,1,117
2000,IL,Flood,Jo Daviess,1,145
2000,IL,Flood,Mercer,1,216
2000,IL,Flood,Pike,1,241
2000,IL,Flood,Rock Island,1,265
2000,IL,Flood,Whiteside,1,314
2000,WI,Flood,Adams,1,3101
2000,WI,Flood,Ashland,1,3104
2000,IL,Flood,Hancock,1,111
2000,WI,Flood,Clark,1,3119
2000,WI,Flood,Dunn,1,3135
2000,WI,Flood,Iron,1,3151
2000,WI,Flood,Jackson,1,3153
2000,WI,Flood,Juneau,1,3156
2000,WI,Flood,Chippewa,1,3117
2000,WI,Flood,Portage,1,3192
2000,WI,Flood,Polk,1,3191
2000,WI,Flood,Wood,1,3014
2000,WI,Flood,Taylor,1,3208
2000,WI,Flood,Waupaca,1,3009
2000,WI,Flood,Waushara,1,3010
2000,WI,Flood,Barron,1,3106
2000,WI,Flood,Bayfield,1,3108
2000,WI,Flood,Buffalo,1,3113
2000,WI,Flood,Burnett,1,3115
2000,WI,Flood,Calumet,1,3116
2000,WI,Flood,Crawford,1,3122
2000,WI,Flood,Douglas,1,3134
2000,WI,Flood,Grant,1,3143
2000,WI,Flood,La Crosse,1,3161
2000,WI,Flood,Outagamie,1,3185
2000,WI,Flood,Pepin,1,3188
2000,WI,Flood,Pierce,1,3189
2000,WI,Flood,Rusk,1,3199
2000,WI,Flood,St. Croix,1,3200
2000,WI,Flood,Vernon,1,3213
2000,WI,Flood,Washburn,1,3004
2000,WI,Flood,Winnebago,1,3012
2000,WI,Flood,Trempealeau,1,3210
2000,MN,Flood,Becker,1,1878
2000,MN,Flood,Dodge,1,1906
2000,MN,Flood,Faribault,1,1908
2000,MN,Flood,Le Sueur,1,1929
