BaseYear,state,incidentType,designatedArea,Freq,FID
2000,LA,Hurricane,Assumption,7,1060
2000,LA,Hurricane,East Baton Rouge,7,1108
2000,LA,Hurricane,St. Mary,6,1474
2000,LA,Hurricane,Iberia,6,1133
2000,LA,Hurricane,St. James,7,1468
2000,LA,Hurricane,Livingston,7,1295
2000,LA,Hurricane,Tangipahoa,7,1476
2000,LA,Hurricane,Jefferson,7,1147
2000,LA,Hurricane,Lafourche,7,1280
2000,LA,Hurricane,Orleans,7,1304
2000,LA,Hurricane,Plaquemines,7,1427
2000,LA,Hurricane,St. Charles,7,1466
2000,LA,Hurricane,St. John the Baptist,7,1469
2000,LA,Hurricane,St. Tammany,7,1475
2000,LA,Hurricane,Terrebonne,7,1501
2000,MS,Hurricane,Copiah,3,1564
2000,MS,Hurricane,George,4,1577
2000,MS,Hurricane,Greene,4,1579
2000,LA,Hurricane,St. Bernard,7,1463
2000,MS,Hurricane,Lincoln,3,1645
2000,MS,Hurricane,Stone,5,1712
2000,MS,Hurricane,Amite,3,1539
2000,MS,Hurricane,Harrison,5,1587
2000,MS,Hurricane,Jackson,5,1605
2000,MS,Hurricane,Pearl River,5,1676
2000,MS,Hurricane,Pike,3,1680
2000,LA,Hurricane,Caldwell,5,1084
2000,LA,Hurricane,Catahoula,5,1093
2000,MS,Hurricane,Hancock,5,1583
2000,LA,Hurricane,Vernon,5,1513
2000,LA,Hurricane,West Feliciana,6,1524
2000,LA,Hurricane,Natchitoches,5,1301
2000,LA,Hurricane,Grant,6,1127
2000,LA,Hurricane,La Salle,5,1289
2000,LA,Hurricane,Ouachita,6,1306
2000,LA,Hurricane,Acadia,5,1046
2000,LA,Hurricane,Allen,5,1051
2000,LA,Hurricane,Ascension,6,1055
2000,LA,Hurricane,Avoyelles,6,1062
2000,LA,Hurricane,Beauregard,6,1066
2000,LA,Hurricane,Calcasieu,5,1081
2000,LA,Hurricane,Cameron,5,1089
2000,LA,Hurricane,East Feliciana,6,1115
2000,LA,Hurricane,Evangeline,5,1118
2000,LA,Hurricane,Iberville,5,1134
2000,LA,Hurricane,Jefferson Davis,5,1155
2000,LA,Hurricane,Lafayette,5,1161
2000,LA,Hurricane,Pointe Coupee,5,1431
2000,LA,Hurricane,Rapides,6,1434
2000,LA,Hurricane,St. Helena,6,1467
2000,LA,Hurricane,St. Landry,5,1471
2000,LA,Hurricane,St. Martin,6,1473
2000,LA,Hurricane,Vermilion,5,1510
2000,LA,Hurricane,Washington,6,1516
2000,LA,Hurricane,West Baton Rouge,5,1520
2000,AL,Hurricane,Baldwin,6,20
2000,AL,Hurricane,Mobile,6,240
2000,TX,Hurricane,Aransas,5,2162
2000,TX,Hurricane,Atascosa,5,2173
2000,TX,Hurricane,Bee,5,2196
2000,TX,Hurricane,Brazoria,5,2240
2000,TX,Hurricane,DeWitt,5,2538
2000,TX,Hurricane,Calhoun,5,2327
2000,TX,Hurricane,Galveston,5,2059
2000,TX,Hurricane,Goliad,5,2079
2000,TX,Hurricane,Jackson,5,2264
2000,TX,Hurricane,Frio,5,2028
2000,TX,Hurricane,Live Oak,5,2416
2000,TX,Hurricane,McMullen,5,2494
2000,TX,Hurricane,Matagorda,5,2637
2000,TX,Hurricane,Karnes,5,2307
2000,TX,Hurricane,Refugio,5,2334
2000,TX,Hurricane,San Patricio,5,2415
2000,TX,Hurricane,Victoria,5,2595
2000,TX,Hurricane,Zavala,5,2651
2000,NC,Hurricane,Orange,2,1630
2000,NC,Hurricane,Bladen,4,1986
2000,NC,Hurricane,Columbus,4,1459
2000,NC,Hurricane,Cumberland,4,1464
2000,NC,Hurricane,Davidson,3,1489
2000,NC,Hurricane,Duplin,3,1492
2000,NC,Hurricane,Durham,2,1494
2000,NC,Hurricane,Harnett,2,1509
2000,NC,Hurricane,Johnston,3,1530
2000,NC,Hurricane,Wake,2,1805
2000,NC,Hurricane,Beaufort,3,1981
2000,NC,Hurricane,Bertie,3,1983
2000,NC,Hurricane,Brunswick,4,1995
2000,NC,Hurricane,Camden,3,1433
2000,NC,Hurricane,Robeson,3,1747
2000,NC,Hurricane,Sampson,3,1769
2000,NC,Hurricane,Carteret,4,1447
2000,NC,Hurricane,Chowan,3,1455
2000,NC,Hurricane,Craven,4,1462
2000,NC,Hurricane,Currituck,3,1481
2000,NC,Hurricane,Dare,4,1485
2000,NC,Hurricane,Edgecombe,3,1495
2000,NC,Hurricane,Gates,3,1500
2000,NC,Hurricane,Granville,2,1503
2000,NC,Hurricane,Greene,3,1505
2000,NC,Hurricane,Halifax,3,1508
2000,NC,Hurricane,Franklin,2,1498
2000,NC,Hurricane,Hertford,3,1515
2000,NC,Hurricane,Hyde,4,1521
2000,NC,Hurricane,Jones,4,1536
2000,NC,Hurricane,Lenoir,3,1542
2000,NC,Hurricane,Martin,3,1563
2000,NC,Hurricane,Nash,3,1588
2000,NC,Hurricane,New Hanover,4,1602
2000,NC,Hurricane,Northampton,3,1606
2000,NC,Hurricane,Onslow,4,1625
2000,NC,Hurricane,Pamlico,4,1703
2000,NC,Hurricane,Pasquotank,3,1714
2000,NC,Hurricane,Pender,4,1718
2000,NC,Hurricane,Perquimans,3,1724
2000,NC,Hurricane,Person,2,1729
2000,NC,Hurricane,Pitt,3,1733
2000,NC,Hurricane,Tyrrell,3,1794
2000,NC,Hurricane,Vance,2,1801
2000,NC,Hurricane,Warren,2,1809
2000,NC,Hurricane,Washington,3,1811
2000,NC,Hurricane,Wayne,3,1814
2000,VA,Hurricane,Highland,2,2920
2000,VA,Hurricane,Albemarle,2,2728
2000,VA,Hurricane,Amelia,2,2741
2000,VA,Hurricane,Accomack,2,2719
2000,NC,Hurricane,Wilson,3,1819
2000,VA,Hurricane,Arlington,2,2753
2000,VA,Hurricane,Appomattox,2,2749
2000,VA,Hurricane,Augusta,2,2758
2000,VA,Hurricane,Amherst,2,2746
2000,VA,Hurricane,Bedford County,2,2769
2000,VA,Hurricane,Brunswick,2,2777
2000,VA,Hurricane,Buckingham,2,2785
2000,VA,Hurricane,Campbell,2,2788
2000,VA,Hurricane,Caroline,2,2793
2000,VA,Hurricane,Charles City,2,2806
2000,VA,Hurricane,Charlotte,2,2810
2000,VA,Hurricane,Chesterfield,2,2816
2000,VA,Hurricane,Clarke,2,2819
2000,VA,Hurricane,Culpeper,2,2824
2000,VA,Hurricane,Cumberland,2,2827
2000,VA,Hurricane,Dinwiddie,2,2838
2000,VA,Hurricane,Essex,2,2842
2000,VA,Hurricane,Fairfax County,2,2849
2000,VA,Hurricane,Fauquier,2,2853
2000,VA,Hurricane,Fluvanna,2,2858
2000,VA,Hurricane,Frederick,2,2868
2000,VA,Hurricane,Gloucester,2,2887
2000,VA,Hurricane,Goochland,2,2892
2000,VA,Hurricane,Greene,2,2899
2000,VA,Hurricane,Greensville,2,2902
2000,VA,Hurricane,Halifax,2,2904
2000,VA,Hurricane,Henrico,2,2915
2000,VA,Hurricane,Isle of Wight,2,2925
2000,VA,Hurricane,James City,2,2930
2000,VA,Hurricane,Hanover,2,2909
2000,VA,Hurricane,King George,2,2938
2000,VA,Hurricane,King and Queen,2,2936
2000,VA,Hurricane,Loudoun,2,2952
2000,VA,Hurricane,Louisa,2,2953
2000,VA,Hurricane,Lunenburg,2,2954
2000,VA,Hurricane,King William,2,2943
2000,VA,Hurricane,Lancaster,2,2948
2000,VA,Hurricane,Mathews,2,2962
2000,VA,Hurricane,Madison,2,2955
2000,VA,Hurricane,Mecklenburg,2,2964
2000,VA,Hurricane,Middlesex,2,2965
2000,VA,Hurricane,Nelson,2,2968
2000,VA,Hurricane,New Kent,2,2971
2000,VA,Hurricane,Northampton,2,2982
2000,VA,Hurricane,Northumberland,2,2983
2000,VA,Hurricane,Nottoway,2,2984
2000,VA,Hurricane,Orange,2,2985
2000,VA,Hurricane,Page,2,2986
2000,VA,Hurricane,Pittsylvania,2,2988
2000,VA,Hurricane,Prince Edward,2,2990
2000,VA,Hurricane,Powhatan,2,2989
2000,VA,Hurricane,Prince George,2,2991
2000,VA,Hurricane,Prince William,2,2992
2000,VA,Hurricane,Richmond County,2,2995
2000,VA,Hurricane,Rappahannock,2,2994
2000,VA,Hurricane,Rockbridge,2,2997
2000,VA,Hurricane,Rockingham,2,2998
2000,VA,Hurricane,Shenandoah,2,2594
2000,VA,Hurricane,Southampton,2,2608
2000,VA,Hurricane,Spotsylvania,2,2619
2000,VA,Hurricane,Stafford,2,2629
2000,VA,Hurricane,Surry,2,2636
2000,VA,Hurricane,Sussex,2,2647
2000,VA,Hurricane,Westmoreland,2,2684
2000,VA,Hurricane,Warren,2,2662
2000,VA,Hurricane,York,2,2709
2000,VA,Hurricane,Alexandria,2,2712
2000,VA,Hurricane,Bedford City,2,2713
2000,VA,Hurricane,Charlottesville,2,2722
2000,VA,Hurricane,Chesapeake,2,2724
2000,VA,Hurricane,Danville,2,2732
2000,VA,Hurricane,Fairfax City,2,2737
2000,VA,Hurricane,Falls Church,2,2740
2000,VA,Hurricane,Franklin City,2,2744
2000,VA,Hurricane,Hampton,2,2751
2000,VA,Hurricane,Harrisonburg,2,2755
2000,VA,Hurricane,Colonial Heights,2,2727
2000,VA,Hurricane,Fredericksburg,2,2745
2000,VA,Hurricane,Buena Vista,2,2720
2000,VA,Hurricane,Manassas,2,2765
2000,VA,Hurricane,Emporia,2,2736
2000,VA,Hurricane,Hopewell,2,2756
