BaseYear,state,incidentType,designatedArea,Freq,FID
2000,NY,Other,Albany,3,1673
2000,NY,Other,Allegany,3,1674
2000,NY,Other,Bronx,3,1681
2000,NY,Other,Broome,3,1683
2000,NY,Other,Cattaraugus,3,1687
2000,NY,Other,Cayuga,3,1689
2000,NY,Other,Chautauqua,3,1694
2000,NY,Other,Chemung,3,1696
2000,NY,Other,Chenango,3,1699
2000,NY,Other,Clinton,3,1702
2000,NY,Other,Columbia,3,1704
2000,NY,Other,Cortland,3,1706
2000,NY,Other,Delaware,3,1707
2000,NY,Other,Dutchess,3,1711
2000,NY,Other,Erie,3,1723
2000,NY,Other,Essex,3,1728
2000,NY,Other,Franklin,3,1731
2000,NY,Other,Fulton,3,1734
2000,NY,Other,Genesee,3,1736
2000,NY,Other,Greene,3,1739
2000,NY,Other,Hamilton,3,1742
2000,NY,Other,Herkimer,3,1745
2000,NY,Other,Jefferson,3,1782
2000,NY,Other,Kings,3,1788
2000,NY,Other,Lewis,3,1790
2000,NY,Other,Madison,3,1796
2000,NY,Other,Monroe,3,1804
2000,NY,Other,Nassau,3,1839
2000,NY,Other,Livingston,3,1791
2000,NY,Other,New York,3,1847
2000,NY,Other,Niagara,3,1850
2000,NY,Other,Oneida,3,1852
2000,NY,Other,Montgomery,3,1807
2000,NY,Other,Ontario,3,1856
2000,NY,Other,Orange,3,1859
2000,NY,Other,Orleans,3,1862
2000,NY,Other,Oswego,3,1864
2000,NY,Other,Otsego,3,1868
2000,NY,Other,Putnam,3,1870
2000,NY,Other,Onondaga,3,1853
2000,NY,Other,Queens,3,1872
2000,NY,Other,Rensselaer,3,1874
2000,NY,Other,Richmond,3,1876
2000,NY,Other,St. Lawrence,3,1883
2000,NY,Other,Saratoga,3,1885
2000,NY,Other,Schenectady,3,1887
2000,NY,Other,Schoharie,3,1888
2000,NY,Other,Schuyler,3,1889
2000,NY,Other,Seneca,3,1890
2000,NY,Other,Rockland,3,1879
2000,NY,Other,Suffolk,3,1924
2000,NY,Other,Sullivan,3,1928
2000,NY,Other,Tompkins,3,1933
2000,NY,Other,Ulster,3,1935
2000,NY,Other,Warren,3,1938
2000,NY,Other,Washington,3,1942
2000,NY,Other,Tioga,3,1930
2000,NY,Other,Wayne,3,1952
2000,NY,Other,Westchester,3,1960
2000,NY,Other,Wyoming,3,1962
2000,NY,Other,Yates,3,1965
2000,NJ,Other,Atlantic,1,1461
2000,NJ,Other,Bergen,2,1465
2000,NJ,Other,Burlington,1,1470
2000,NJ,Other,Camden,1,1472
2000,NJ,Other,Cape May,1,1477
2000,NJ,Other,Cumberland,1,1482
2000,NJ,Other,Essex,2,1483
2000,NJ,Other,Gloucester,1,1484
2000,NJ,Other,Hudson,2,1487
2000,NJ,Other,Hunterdon,1,1488
2000,NJ,Other,Mercer,1,1493
2000,NJ,Other,Middlesex,1,1497
2000,NJ,Other,Monmouth,1,1504
2000,NJ,Other,Morris,1,1511
2000,NJ,Other,Passaic,2,1551
2000,NJ,Other,Salem,1,1553
2000,NJ,Other,Somerset,1,1558
2000,NJ,Other,Sussex,1,1561
2000,NJ,Other,Ocean,1,1546
2000,NJ,Other,Union,2,1566
2000,NJ,Other,Warren,1,1570
2000,TX,Other,Anderson,1,2113
2000,TX,Other,Andrews,1,2117
2000,TX,Other,Angelina,1,2124
2000,TX,Other,Bell,1,2198
2000,TX,Other,Bowie,1,2224
2000,TX,Other,Cameron,1,2359
2000,TX,Other,Camp,1,2373
2000,TX,Other,Chambers,1,2395
2000,TX,Other,Cherokee,1,2400
2000,TX,Other,Collin,1,2429
2000,TX,Other,Comanche,1,2455
2000,TX,Other,Dallas,1,2507
2000,TX,Other,Denton,1,2532
2000,TX,Other,Eastland,1,2562
2000,TX,Other,Ellis,1,2579
2000,TX,Other,El Paso,1,2588
2000,TX,Other,Franklin,1,2016
2000,TX,Other,Freestone,1,2022
2000,TX,Other,Grayson,1,2094
2000,TX,Other,Gregg,1,2101
2000,TX,Other,Hardin,1,2142
2000,TX,Other,Harrison,1,2157
2000,TX,Other,Henderson,1,2178
2000,TX,Other,Hood,1,2213
2000,TX,Other,Houston,1,2228
2000,TX,Other,Hunt,1,2246
2000,TX,Other,Jackson,1,2264
2000,TX,Other,Johnson,1,2299
2000,TX,Other,Kaufman,1,2314
2000,TX,Other,Leon,1,2402
2000,TX,Other,Limestone,1,2408
2000,TX,Other,McLennan,1,2477
2000,TX,Other,Milam,1,2659
2000,TX,Other,Montgomery,1,2682
2000,TX,Other,Nacogdoches,1,2701
2000,TX,Other,Orange,1,2214
2000,TX,Other,Panola,1,2227
2000,TX,Other,Parker,1,2229
2000,TX,Other,Polk,1,2243
2000,TX,Other,Navarro,1,2706
2000,TX,Other,Rockwall,1,2355
2000,TX,Other,Jefferson,1,2285
2000,TX,Other,Rusk,1,2367
2000,TX,Other,Sabine,1,2370
2000,TX,Other,San Augustine,1,2380
2000,TX,Other,Shelby,1,2448
2000,TX,Other,Smith,1,2465
