BaseYear,state,incidentType,designatedArea,Freq,FID
2000,AR,Severe Ice Storm,Boone,1,62
2000,AR,Severe Ice Storm,Sharp,2,394
2000,AR,Severe Ice Storm,Greene,2,162
2000,AR,Severe Ice Storm,Independence,2,200
2000,AR,Severe Ice Storm,Baxter,2,54
2000,AR,Severe Ice Storm,Benton,2,59
2000,AR,Severe Ice Storm,Bradley,2,68
2000,AR,Severe Ice Storm,Calhoun,2,72
2000,AR,Severe Ice Storm,Clark,2,86
2000,AR,Severe Ice Storm,Cleburne,2,97
2000,AR,Severe Ice Storm,Cleveland,2,103
2000,AR,Severe Ice Storm,Columbia,2,107
2000,AR,Severe Ice Storm,Conway,1,109
2000,AR,Severe Ice Storm,Crawford,2,115
2000,AR,Severe Ice Storm,Crittenden,2,119
2000,AR,Severe Ice Storm,Cross,2,124
2000,AR,Severe Ice Storm,Dallas,2,128
2000,AR,Severe Ice Storm,Drew,2,136
2000,AR,Severe Ice Storm,Faulkner,2,141
2000,AR,Severe Ice Storm,Franklin,2,144
2000,AR,Severe Ice Storm,Fulton,2,146
2000,AR,Severe Ice Storm,Garland,2,151
2000,AR,Severe Ice Storm,Desha,2,130
2000,AR,Severe Ice Storm,Hempstead,2,172
2000,AR,Severe Ice Storm,Hot Spring,2,184
2000,AR,Severe Ice Storm,Howard,2,191
2000,AR,Severe Ice Storm,Izard,2,203
2000,AR,Severe Ice Storm,Jackson,3,209
2000,AR,Severe Ice Storm,Jefferson,2,213
2000,AR,Severe Ice Storm,Grant,2,155
2000,AR,Severe Ice Storm,Johnson,2,218
2000,AR,Severe Ice Storm,Lafayette,2,222
2000,AR,Severe Ice Storm,Lee,2,237
2000,AR,Severe Ice Storm,Lincoln,2,244
2000,AR,Severe Ice Storm,Little River,2,251
2000,AR,Severe Ice Storm,Lonoke,2,268
2000,AR,Severe Ice Storm,Madison,2,277
2000,AR,Severe Ice Storm,Marion,1,282
2000,AR,Severe Ice Storm,Miller,2,287
2000,AR,Severe Ice Storm,Mississippi,2,294
2000,AR,Severe Ice Storm,Logan,2,258
2000,AR,Severe Ice Storm,Monroe,2,300
2000,AR,Severe Ice Storm,Montgomery,2,304
2000,AR,Severe Ice Storm,Nevada,2,307
2000,AR,Severe Ice Storm,Ouachita,2,316
2000,AR,Severe Ice Storm,Perry,2,318
2000,AR,Severe Ice Storm,Pike,2,327
2000,AR,Severe Ice Storm,Poinsett,3,333
2000,AR,Severe Ice Storm,Newton,2,311
2000,AR,Severe Ice Storm,Polk,2,337
2000,AR,Severe Ice Storm,Pope,1,340
2000,AR,Severe Ice Storm,Prairie,2,345
2000,AR,Severe Ice Storm,Pulaski,2,350
2000,AR,Severe Ice Storm,St. Francis,2,357
2000,AR,Severe Ice Storm,Saline,2,360
2000,AR,Severe Ice Storm,Scott,2,364
2000,AR,Severe Ice Storm,Searcy,2,372
2000,AR,Severe Ice Storm,Sebastian,2,378
2000,AR,Severe Ice Storm,Sevier,2,390
2000,AR,Severe Ice Storm,Stone,2,399
2000,AR,Severe Ice Storm,Union,2,403
2000,AR,Severe Ice Storm,Van Buren,2,407
2000,AR,Severe Ice Storm,Washington,2,417
2000,AR,Severe Ice Storm,White,3,428
2000,AR,Severe Ice Storm,Woodruff,2,435
