BaseYear,state,incidentType,designatedArea,Freq,FID
2006,CA,Freezing,Fresno,1,527
2006,CA,Freezing,Imperial,1,557
2006,CA,Freezing,Kern,1,84
2006,CA,Freezing,Kings,1,94
2006,CA,Freezing,Madera,1,153
2006,CA,Freezing,Los Angeles,1,139
2006,CA,Freezing,Merced,1,204
2006,CA,Freezing,Monterey,1,228
2006,CA,Freezing,San Bernardino,1,302
2006,CA,Freezing,San Diego,1,315
2006,CA,Freezing,San Luis Obispo,1,351
2006,CA,Freezing,Stanislaus,1,473
2006,CA,Freezing,Santa Barbara,1,391
2006,CA,Freezing,Riverside,1,281
2006,CA,Freezing,Ventura,1,521
2006,CA,Freezing,Tulare,1,501
