BaseYear,state,incidentType,designatedArea,Freq,FID
2006,ND,Severe Storm(s),Cass,5,1848
2006,ND,Severe Storm(s),Ransom,5,2147
2006,ND,Severe Storm(s),Richland,4,2156
2006,ND,Severe Storm(s),Sargent,4,2164
2006,MN,Severe Storm(s),Clay,3,1898
2006,MN,Severe Storm(s),Lac qui Parle,2,1923
2006,MN,Severe Storm(s),Lincoln,3,1931
2006,MN,Severe Storm(s),Norman,3,1951
2006,MN,Severe Storm(s),Stevens,3,1987
2006,MN,Severe Storm(s),Traverse,4,1990
2006,MN,Severe Storm(s),Big Stone,2,1882
2006,MN,Severe Storm(s),Yellow Medicine,4,1531
2006,MN,Severe Storm(s),Wilkin,4,1997
2006,KS,Severe Storm(s),Cheyenne,5,736
2006,KS,Severe Storm(s),Decatur,6,759
2006,KS,Severe Storm(s),Edwards,10,770
2006,KS,Severe Storm(s),Graham,6,791
2006,KS,Severe Storm(s),Hodgeman,7,818
2006,KS,Severe Storm(s),Pawnee,9,872
2006,KS,Severe Storm(s),Phillips,8,873
2006,KS,Severe Storm(s),Rooks,8,889
2006,KS,Severe Storm(s),Rawlins,4,880
2006,KS,Severe Storm(s),Ness,5,864
2006,KS,Severe Storm(s),Gove,5,790
2006,KS,Severe Storm(s),Norton,6,866
2006,KS,Severe Storm(s),Rush,8,891
2006,KS,Severe Storm(s),Sheridan,6,904
2006,KS,Severe Storm(s),Trego,4,919
2006,NE,Severe Storm(s),Antelope,4,1305
2006,NE,Severe Storm(s),Boone,5,1310
2006,KS,Severe Storm(s),Thomas,4,917
2006,KS,Severe Storm(s),Sherman,4,907
2006,NE,Severe Storm(s),Custer,7,1342
2006,NE,Severe Storm(s),Dawson,5,1349
2006,NE,Severe Storm(s),Dundy,5,1360
2006,NE,Severe Storm(s),Boyd,4,1317
2006,NE,Severe Storm(s),Garfield,6,1391
2006,NE,Severe Storm(s),Gosper,4,1393
2006,NE,Severe Storm(s),Greeley,7,1397
2006,NE,Severe Storm(s),Frontier,6,1371
2006,NE,Severe Storm(s),Furnas,6,1374
2006,NE,Severe Storm(s),Hayes,6,1411
2006,NE,Severe Storm(s),Holt,6,1416
2006,NE,Severe Storm(s),Kearney,5,1314
2006,NE,Severe Storm(s),Lincoln,6,1327
2006,NE,Severe Storm(s),Logan,6,1328
2006,NE,Severe Storm(s),Loup,7,1331
2006,NE,Severe Storm(s),Knox,5,1322
2006,NE,Severe Storm(s),Madison,5,1335
2006,NE,Severe Storm(s),McPherson,4,1332
2006,NE,Severe Storm(s),Nance,5,1341
2006,NE,Severe Storm(s),Perkins,5,1352
2006,NE,Severe Storm(s),Pierce,4,1356
2006,NE,Severe Storm(s),Red Willow,4,1364
2006,NE,Severe Storm(s),Rock,7,1366
2006,NE,Severe Storm(s),Phelps,6,1355
2006,NE,Severe Storm(s),Wayne,6,1388
2006,NE,Severe Storm(s),Wheeler,7,1390
2006,CA,Severe Storm(s),Alameda,2,457
2006,NE,Severe Storm(s),Valley,6,1386
2006,CA,Severe Storm(s),Amador,2,472
2006,CA,Severe Storm(s),Butte,1,486
2006,CA,Severe Storm(s),Colusa,1,497
2006,CA,Severe Storm(s),Alpine,1,461
2006,CA,Severe Storm(s),Lassen,1,104
2006,CA,Severe Storm(s),Placer,2,266
2006,CA,Severe Storm(s),Plumas,1,275
2006,CA,Severe Storm(s),Humboldt,1,551
2006,CA,Severe Storm(s),San Mateo,2,368
2006,CA,Severe Storm(s),Santa Cruz,2,415
2006,CA,Severe Storm(s),Sierra,1,439
2006,CA,Severe Storm(s),Sutter,1,483
2006,CA,Severe Storm(s),San Joaquin,2,339
2006,CA,Severe Storm(s),San Luis Obispo,1,351
2006,CA,Severe Storm(s),Yuba,1,541
2006,CA,Severe Storm(s),Shasta,1,431
2006,CA,Severe Storm(s),Yolo,1,525
2006,CA,Severe Storm(s),Trinity,1,500
2006,CA,Severe Storm(s),Lake,2,100
2006,CA,Severe Storm(s),El Dorado,2,522
2006,CA,Severe Storm(s),Marin,2,168
2006,CA,Severe Storm(s),Contra Costa,1,503
2006,CA,Severe Storm(s),Del Norte,1,511
2006,CA,Severe Storm(s),Napa,2,236
2006,CA,Severe Storm(s),Mendocino,1,190
2006,CA,Severe Storm(s),Nevada,2,243
2006,CA,Severe Storm(s),Sacramento,1,289
2006,CA,Severe Storm(s),Solano,1,453
2006,CA,Severe Storm(s),Sonoma,2,463
2006,CA,Severe Storm(s),Siskiyou,2,446
2006,NV,Severe Storm(s),Elko,1,1401
2006,NV,Severe Storm(s),Lyon,2,1412
2006,NV,Severe Storm(s),Douglas,1,1400
2006,NV,Severe Storm(s),Carson City,1,1428
2006,ID,Severe Storm(s),Owyhee,1,601
2006,NV,Severe Storm(s),Washoe,1,1423
2006,NV,Severe Storm(s),Storey,1,1420
2006,MO,Severe Storm(s),Daviess,6,1036
2006,MO,Severe Storm(s),Ray,8,1197
2006,MO,Severe Storm(s),Cass,6,1004
2006,MO,Severe Storm(s),Bollinger,7,1781
2006,MO,Severe Storm(s),Washington,7,1253
2006,MO,Severe Storm(s),Crawford,5,1028
2006,MO,Severe Storm(s),Cooper,4,1025
2006,MO,Severe Storm(s),Johnson,4,1087
2006,MO,Severe Storm(s),Lincoln,6,1106
2006,MO,Severe Storm(s),Mississippi,7,1131
2006,MO,Severe Storm(s),Newton,8,1152
2006,MO,Severe Storm(s),Phelps,7,1176
2006,MO,Severe Storm(s),Ste. Genevieve,9,1209
2006,MO,Severe Storm(s),New Madrid,7,1149
2006,MO,Severe Storm(s),Scott,7,1227
2006,MO,Severe Storm(s),Bates,5,1776
2006,MO,Severe Storm(s),Benton,3,1778
2006,MO,Severe Storm(s),Cedar,6,1007
2006,MO,Severe Storm(s),Taney,8,1242
2006,MO,Severe Storm(s),Christian,7,1014
